id;creationdate;score;title;tags;notes
23217002;22.04.2014 10:31;196;How do I tell Spring Boot which main class to use for the executable jar?;<java><spring><maven><executable-jar><spring-boot>;nothing found
36151421;22.03.2016 10:08;140;Could not autowire field:RestTemplate in Spring boot application;<spring><maven><spring-boot><resttemplate>;nothing found
33483697;02.11.2015 17:45;130;Re-run Spring Boot Configuration Annotation Processor to update generated metadata;<java><spring><maven><intellij-idea>;nothing found
13533700;23.11.2012 17:45;112;Maven dependency spring-web vs spring-webmvc;<spring><maven><spring-mvc>;nothing found
19537396;23.10.2013 09:03;107;Missing artifact com.microsoft.sqlserver:sqljdbc4:jar:4.0;<sql-server><spring><maven><pom.xml>;nothing found
22063533;2014-02-27 08:57:14.090;104;intellij - spring is not being recognized (Unmapped Spring configuration);<spring><maven><intellij-idea>;nothing found
20735205;22.12.2013 23:31;103;Launching Spring application Address already in use;<java><spring><maven><tomcat><spring-mvc>;port dependency
11227395;27.06.2012 13:30;92;java.lang.ClassNotFoundException: org.springframework.web.servlet.DispatcherServlet;<spring><maven><spring-mvc><maven-2>;nothing found
30855864;15.06.2015 22:14;90;Maven- No plugin found for prefix 'spring-boot' in the current project and in the plugin groups;<java><spring><maven><spring-mvc>;nothing found
46999940;29.10.2017 12:02;87;Spring Boot: How to specify the PasswordEncoder?;<spring><maven><spring-boot><spring-security>;nothing found
28466207;11.02.2015 22:58;85;"""Could not find acceptable representation"" using spring-boot-starter-web";<java><json><spring><maven><spring-mvc>;nothing found
44718345;23.06.2017 09:49;80;Java.lang.NoClassDefFoundError: com/fasterxml/jackson/databind/exc/InvalidDefinitionException;<java><spring><maven>;nothing found
19489720;21.10.2013 08:39;78;maven... Failed to clean project: Failed to delete ..\org.ow2.util.asm-asm-tree-3.1.jar;<java><eclipse><spring><maven><spring-tool-suite>;nothing found
27904594;12.01.2015 14:44;75;Spring Boot War deployed to Tomcat;<spring><maven><tomcat><spring-boot>;nothing found
