id;creationdate;score;title;tags;note
21128478;15.01.2014 03:15;43;Run grunt build command on Travis CI;<node.js><gruntjs><travis-ci>;node version in travis
42521884;01.03.2017 01:59;34;Should I have Travis cache node_modules or $HOME/.npm;<node.js><npm><travis-ci><yarnpkg>;nothing found
44965071;07.07.2017 07:33;29;Error: TSError: ⨯ Unable to compile TypeScript;<node.js><angular><typescript><protractor><travis-ci>;nothing found
62246824;07.06.2020 14:29;26;"Error [ERR_PACKAGE_PATH_NOT_EXPORTED]: No ""exports"" main resolved in /app/node_modules/@babel/helper-compilation-targets/package.json";<node.js><docker><travis-ci><nuxt.js>;docker service in travis, node version in travis
44249044;29.05.2017 19:05;10;How can I install a specific node.js version on a PHP container on Travis CI?;<php><node.js><travis-ci>;node version in travis
12336566;09.09.2012 04:44;10;Travis-CI with jasmine-node;<node.js><travis-ci><jasmine-node>;node version in travis
45192449;2017-07-19 13:43:07.057;9;Cross-platform install of npm package sqlite3;<node.js><npm><cross-platform><travis-ci><node-sqlite3>;nothing found
37168209;11.05.2016 16:19;8;Travis CI: Karma testing passing but always get errored build;<node.js><karma-runner><travis-ci>;node version in travis
32319074;31.08.2015 20:04;8;Grunticon & TravisCI;<ruby-on-rails><node.js><npm><travis-ci>;nothing found
42473384;26.02.2017 19:49;8;Travis CI not using correct node.js version;<node.js><testing><travis-ci>;node version in travis
33572756;2015-11-06 17:52:59.077;7;Travis CI cache: ignore specific folder/file from cache;<node.js><caching><travis-ci>;node version in travis
27583347;20.12.2014 18:58;7;Travis CI. NetworkingError: CERT_UNTRUSTED error between Node.js and AWS S3 bucket;<node.js><amazon-web-services><amazon-s3><travis-ci>;nothing found
32064862;18.08.2015 06:17;7;Travis-CI Node.js Defaulting to Ruby Build? No RakeFile found;<node.js><travis-ci>;node version in travis
36224163;25.03.2016 16:44;7;travis-ci ruby build with node 5;<ruby><node.js><travis-ci>;nothing found
60217417;13.02.2020 22:27;7;Jest tests hang due to open Sequelize connections;<node.js><postgresql><jestjs><sequelize.js><travis-ci>;nothing found
36197855;2016-03-24 10:21:33.087;6;Run node app in Travis;<node.js><travis-ci>;docker service in travis, node version in travis
25108072;03.08.2014 19:03;6;Send data to Coveralls only from Travis, not when testing locally;<node.js><npm><travis-ci><coveralls>;nothing found
43974531;15.05.2017 08:20;6;Why does Chrome 59-Beta with real Headless option fail in use with Protractor?;<node.js><angular><google-chrome><protractor><travis-ci>;nothing found
20127174;21.11.2013 16:55;6;How can I update node.js and install grunt/bower in a python project in Travis CI?;<node.js><npm><gruntjs><bower><travis-ci>;nothing found
31235146;05.07.2015 21:26;6;How to run Node.js and Ruby tests within one project on Travis CI;<node.js><ruby><rspec><travis-ci><ruby-mocha>;node version in travis
14471666;23.01.2013 02:51;6;How to use travis-ci's .travis.yml to provide environment parameters for Node.js Application?;<node.js><environment-variables><travis-ci>;node version in travis
28289672;03.02.2015 01:05;5;Coveralls shows 0% coverage for node.js project;<node.js><mocha.js><travis-ci><istanbul><coveralls>;node version in travis
46184599;12.09.2017 20:09;5;How can I have Travis-CI build my electron app for multiple OSes in parallel?;<node.js><electron><travis-ci>;node version in travis
37335910;19.05.2016 23:57;5;How to speed up CI build times when using docker?;<node.js><jenkins><docker><continuous-integration><travis-ci>;nothing found
13489301;21.11.2012 08:39;5;Failed to build and deploy node.js project with Travis-ci - No Rakefile found;<node.js><heroku><travis-ci><heroku-toolbelt>;node version in travis
28729184;25.02.2015 20:43;5;use velocity, meteor, and travis ci;<javascript><node.js><meteor><travis-ci>;node version in travis
21755461;13.02.2014 13:20;5;Is there a way to use ruby in a node environment on Travis CI?;<ruby><node.js><travis-ci>;node version in travis
22024789;25.02.2014 19:56;5;Speeding up Travis-CI dependencies installation for AngularJs project;<node.js><angularjs><continuous-integration><travis-ci>;nothing found
32418722;2015-09-05 23:51:57.037;5;TravisCI is not failing my build when tests fail;<javascript><node.js><travis-ci><nodeunit>;node version in travis
32453147;08.09.2015 08:44;5;Does Travis CI support PhoneGap application?;<javascript><node.js><cordova><ionic><travis-ci>;nothing found
49861126;16.04.2018 15:34;5;How to configure Travis CI to build Node.js without tests?;<javascript><node.js><github><travis-ci>;node version in travis
33060069;10.10.2015 23:33;5;Why is `npm version` not committing the updated package.json?;<node.js><git><npm><travis-ci>;nothing found
24364361;23.06.2014 11:07;5;Permission denied when running npm test via mocha on Travis-CI;<node.js><mocha.js><travis-ci>;nothing found
36426062;05.04.2016 12:11;5;Karma won't run (socket.io throwing error);<node.js><angular><karma-runner><travis-ci>;nothing found
22361462;12.03.2014 19:07;4;Coveralls.io with Travis-CI;<node.js><mocha.js><travis-ci><test-coverage><coveralls>;nothing found
38414245;16.07.2016 18:24;4;Accessing Travis Secure Environment Variables Node.js/PostgreSQL;<node.js><travis-ci>;node version in travis
31412752;14.07.2015 16:52;4;Travis - Control Which Node Version is used for NPM Installs;<node.js><npm><continuous-integration><build-process><travis-ci>;node version in travis
50058931;27.04.2018 09:04;4;Travis failed with status code 127;<javascript><node.js><travis-ci>;nothing found
28431595;10.02.2015 12:22;4;Travis-CI cannot find relative module require;<node.js><travis-ci><commonjs>;nothing found
28405217;09.02.2015 08:01;4;How to setup OpenCL on Travis CI?;<node.js><ubuntu><opencl><travis-ci><apt-get>;nothing found
20387609;04.12.2013 22:39;4;Travis CI times out on node jasmine tests, but passes locally;<javascript><node.js><jasmine><travis-ci><jasmine-node>;node version in travis
41399546;30.12.2016 16:36;4;Why does Travis CI report a build success even though the npm publish failed?;<node.js><travis-ci><npm-publish>;nothing found
28973210;10.03.2015 20:11;4;Testing against multiple node module versions;<node.js><npm><travis-ci>;nothing found
43120305;2017-03-30 14:07:51.083;4;How to 'skip' npm install in travis build?;<node.js><travis-ci>;nothing found
40823548;26.11.2016 21:54;4;Travis CI : unable to upgrade npm version;<node.js><npm><travis-ci><npm-install>;node version in travis
40802732;25.11.2016 10:26;4;TravisCI failing on Node BCrypt with node-gyp errors;<node.js><travis-ci><node-gyp>;nothing found
40280924;2016-10-27 09:26:42.050;4;How to build my docker (nodejs) container in travis and run in production;<node.js><docker><travis-ci>;nothing found
48250235;14.01.2018 13:48;4;How to setup travis to skip script on particular nodejs version;<node.js><travis-ci>;node version in travis
40192994;2016-10-22 13:56:05.017;4;Build webpack on travis ci;<node.js><travis-ci><yarnpkg>;node version in travis
44830835;29.06.2017 16:45;4;Stop a node server in Travis CI;<node.js><travis-ci>;node version in travis
27467861;14.12.2014 09:10;3;No api key after npm login for travis;<node.js><npm><travis-ci>;nothing found
44468867;10.06.2017 02:11;3;Travis CI, error on npm test using mocha;<node.js><mocha.js><travis-ci>;node version in travis
44514844;13.06.2017 07:22;3;TRAVIS_PULL_REQUEST_BRANCH is not defined during Travis build;<javascript><node.js><amazon-s3><travis-ci>;node version in travis
29494154;2015-04-07 14:33:11.053;3;npmlog accessing superCtor.prototype;<node.js><npm><travis-ci>;nothing found
55060279;08.03.2019 09:31;3;Running Jest tests cause 'TypeError: Cannot read property 'Symbol(Symbol.toStringTag)' of undefined';<node.js><jestjs><travis-ci>;node version in travis
9753022;17.03.2012 19:27;3;Using Travis-CI for Node.js project;<node.js><travis-ci>;node version in travis
32461456;2015-09-08 15:15:55.020;3;Travis-CI: Can the version of Node installed on all VM images match the latest (stable) on the node.js images?;<node.js><gulp><travis-ci>;nothing found
32769004;24.09.2015 19:04;3;How to run mocha using sudo on Travis;<node.js><mocha.js><travis-ci><sudo>;nothing found
47317549;15.11.2017 21:28;3;`react-scripts test` return code always zero;<node.js><reactjs><testing><continuous-integration><travis-ci>;nothing found
