occurred_at,conflict_type,conflict_id,link
e9736efb75fabaf15f12557016408623498e542b,MultiValueConflict,1c9d499ab21ec3e533477e578ea1e0d1,flutter::::fix_data.yaml::::transforms::::transforms_18::::element::::uris::::services.dart <-> flutter::::fix_data.yaml::::transforms::::transforms_19::::element::::uris::::services.dart
80f88a79814610565f0787479807fadeb829f641,MultiValueConflict,b9d540cb5e8a09130906bb759708f73c,flutter::::fix_data.yaml::::transforms::::transforms_10::::element::::uris::::material.dart <-> flutter::::fix_data.yaml::::transforms::::transforms_3::::element::::uris::::material.dart
128c723445880dc7ad848fea86d03fe9bd3da1da,MissingOptionConflict,362863dbc366fa4abda9adfa4fbfeda4,flutter::::fix_data.yaml::::transforms::::transforms_1::::changes::::changes_0::::kind::::removeParameter <-> flutter::::fix_data.yaml::::transforms::::transforms_96::::oneOf::::oneOf_7::::changes::::changes_0::::kind::::removeParameter
29292ba428ba03c4196e321b19d8ff4779391889,MultiValueConflict,3219410a93233ff7510e5bc86d768042,flutter::::fix_data.yaml::::transforms::::transforms_12::::element::::uris::::material.dart <-> flutter::::fix_data.yaml::::transforms::::transforms_43::::element::::uris::::material.dart
e9736efb75fabaf15f12557016408623498e542b,MultiValueConflict,ecb92f2618fcf2f56c2a54899da1e82a,flutter::::fix_data.yaml::::transforms::::transforms_0::::element::::uris::::material.dart <-> flutter::::fix_data.yaml::::transforms::::transforms_109::::element::::uris::::material.dart
29292ba428ba03c4196e321b19d8ff4779391889,MultiValueConflict,7ccd25c09d43546a642cd75484b5dca2,flutter::::fix_data.yaml::::transforms::::transforms_12::::element::::uris::::widgets.dart <-> flutter::::fix_data.yaml::::transforms::::transforms_14::::element::::uris::::widgets.dart
128c723445880dc7ad848fea86d03fe9bd3da1da,MissingOptionConflict,7e1bbd6e6b459e89e84d055521eccba9,flutter::::fix_data.yaml::::transforms::::transforms_1::::changes::::changes_0::::kind::::removeParameter <-> flutter::::fix_data.yaml::::transforms::::transforms_97::::oneOf::::oneOf_3::::changes::::changes_1::::kind::::removeParameter
e9736efb75fabaf15f12557016408623498e542b,MultiValueConflict,9fc08205cc3c77d9e4faa212f4d88121,flutter::::fix_data.yaml::::transforms::::transforms_16::::element::::uris::::widgets.dart <-> flutter::::fix_data.yaml::::transforms::::transforms_80::::element::::uris::::widgets.dart
fe37426becfccfd6b340165a8dcab16af13525d7,MissingOptionConflict,1a7b0996bf739a7f9c965e8a833b2c17,flutter::::fix_data.yaml::::transforms::::transforms_1::::changes::::changes_0::::kind::::rename <-> flutter::::fix_data.yaml::::transforms::::transforms_62::::oneOf::::oneOf_0::::changes::::changes_0::::kind::::rename
e74c15cac49af6fa4cad8670cff033219f5a4982,MultiValueConflict,86a9b6dc305268da6407021fb6ddb928,flutter::::fix_data.yaml::::transforms::::transforms_0::::element::::uris::::cupertino.dart <-> flutter::::fix_data.yaml::::transforms::::transforms_39::::element::::uris::::cupertino.dart
