occurred_at,conflict_type,conflict_id,link
a381a64b313e3be4715ae3fa592961ce29232786,MultiValueConflict,e6bbf6a98c6157a1c3a3446cd48c597d,PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_1::::artifacts::::artifacts_1::::include::::BugReportTool\BugReportTool.exe <-> PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_2::::artifacts::::artifacts_0::::include::::BugReportTool\BugReportTool.exe
60959338479f44e4982604fbcad54d45df609482,MissingArtifactConflict,0ecc83d9008b24452d95eb02006622d8,PowerToys::::appveyor.yml::::platform::::Any CPU <-> PowerToys::::azure-pipelines.yml::::variables::::buildPlatform::::Any CPU
70b9c0f879c217db05e42763a308450125fe1550,ModifiedOptionConflict,f5151d2b6f0705318ecd1ec2766e7ebe,PowerToys::::feature_request.yml::::body::::body_1::::type::::markdown <-> PowerToys::::translation_issue.yml::::body::::body_0::::type::::markdown
8a78e4e9f4b53740ef133b38e42ca7f852559d82,ModifiedOptionConflict,577bb72790d419bd8957946462e19d86,PowerToys::::appveyor.yml::::assembly_info::::assembly_file_version::::{version} <-> PowerToys::::appveyor.yml::::assembly_info::::assembly_informational_version::::{version}
8a78e4e9f4b53740ef133b38e42ca7f852559d82,MissingOptionConflict,434535732ad7825fd1824daac006c7ba,PowerToys::::appveyor.yml::::artifacts::::artifacts_1::::name::::nugetpackage <-> PowerToys::::appveyor.yml::::deploy::::artifact::::nugetpackage
b12b3576a87af7e88fb6f24a114907abeed11b35,MissingOptionConflict,7bc9bc4c66950189a1c6e2f5c005a5dc,PowerToys::::pipeline.user.windows.buddy.yml::::static_analysis_options::::moderncop_options::::files_to_scan::::files_to_scan_0::::exclude::::**/just.config.js <-> PowerToys::::pipeline.user.windows.yml::::static_analysis_options::::moderncop_options::::files_to_scan::::files_to_scan_0::::exclude::::**/just.config.js
a925d9e6e121b874d81978b1572a30fc2aa06e7d,MissingOptionConflict,52dd37c637d02381328a7b8b68c2e2ab,PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_3::::artifacts::::artifacts_0::::to::::Build_Installer_Output <-> PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_4::::artifacts::::artifacts_1::::to::::Build_Installer_Output
4484727c693ad2e7b6bf4ac20c5d40cf4a828968,MissingArtifactConflict,caafaab6ba3de0c5fd45884646e0f92a,PowerToys::::pipeline.user.windows.yml::::version::::major::::1 <-> PowerToys::::spelling2.yml::::jobs::::spelling::::steps::::steps_2::::with::::suppress_push_for_open_pull_request::::1
c3d22335e2db3d2b26f88637a6de50ce75901671,MissingOptionConflict,690d9a5a853ff65a7b30640cb4f299e4,PowerToys::::appveyor.yml::::artifacts::::artifacts_2::::name::::installer <-> PowerToys::::appveyor.yml::::artifacts::::artifacts_4::::name::::installer
b12b3576a87af7e88fb6f24a114907abeed11b35,MissingOptionConflict,4763849d05835e6e136a4bb1be414992,PowerToys::::pipeline.user.windows.buddy.yml::::static_analysis_options::::moderncop_options::::files_to_scan::::files_to_scan_0::::from::::src <-> PowerToys::::pipeline.user.windows.yml::::static_analysis_options::::moderncop_options::::files_to_scan::::files_to_scan_0::::from::::src
15f3c2ff664bc58f502d0b98c5b10bb92c7b4ff5,MultiValueConflict,1b0b44d5ceba13ba098395de90c66b42,PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_1::::artifacts::::artifacts_1::::include::::modules\VideoConference\VideoConferenceProxyFilter_x86.dll <-> PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_1::::artifacts::::artifacts_2::::include::::modules\VideoConference\VideoConferenceProxyFilter_x86.dll
b12b3576a87af7e88fb6f24a114907abeed11b35,MissingOptionConflict,61622da57937018dde49dd51c3d38356,PowerToys::::pipeline.user.windows.buddy.yml::::static_analysis_options::::binskim_options::::files_to_scan::::files_to_scan_0::::from::::installer/packages <-> PowerToys::::pipeline.user.windows.yml::::static_analysis_options::::binskim_options::::files_to_scan::::files_to_scan_0::::from::::installer/packages
f2a93887c95d08b63b0051134c0b67f7a4e41fde,MissingOptionConflict,58169a2c7a032eb61dbc269bbadfa757,PowerToys::::appveyor.yml::::branches::::only::::master <-> PowerToys::::appveyor.yml::::deploy::::deploy_0::::on::::branch::::master
1911fc2e6590dd582fd7f77740b9049473a7f722,MultiValueConflict,42a5d693e54b38244daf16df038bb377,PowerToys::::pipeline.user.windows.buddy.yml::::static_analysis_options::::binskim_options::::files_to_scan::::files_to_scan_0::::exclude::::Wix.3.11.1/**/*.exe <-> PowerToys::::pipeline.user.windows.yml::::static_analysis_options::::binskim_options::::files_to_scan::::files_to_scan_0::::exclude::::Wix.3.11.1/**/*.exe
c3d22335e2db3d2b26f88637a6de50ce75901671,MissingOptionConflict,649b9aabd11a0dc7e1c3e06a940c5658,PowerToys::::appveyor.yml::::artifacts::::artifacts_2::::name::::installer <-> PowerToys::::appveyor.yml::::artifacts::::artifacts_3::::name::::installer
1911fc2e6590dd582fd7f77740b9049473a7f722,MultiValueConflict,c08d2bfa1f052ff8288669eafc07ec04,PowerToys::::pipeline.user.windows.buddy.yml::::static_analysis_options::::binskim_options::::files_to_scan::::files_to_scan_0::::exclude::::WiX.3.11.1/**/*.dll <-> PowerToys::::pipeline.user.windows.yml::::static_analysis_options::::binskim_options::::files_to_scan::::files_to_scan_0::::exclude::::WiX.3.11.1/**/*.dll
8a78e4e9f4b53740ef133b38e42ca7f852559d82,ModifiedOptionConflict,82c8232d751a96b68fc533dcf5e8c421,PowerToys::::appveyor.yml::::assembly_info::::assembly_file_version::::{version} <-> PowerToys::::appveyor.yml::::assembly_info::::assembly_version::::{version}
a925d9e6e121b874d81978b1572a30fc2aa06e7d,ModifiedOptionConflict,eb683b773061c107788b988d7e22f6bf,PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_1::::artifacts::::artifacts_0::::to::::Symbols <-> PowerToys::::pipeline.user.windows.yml::::build::::commands::::commands_4::::artifacts::::artifacts_0::::to::::Symbols
c34afae250f4f2690b2079b7b66b31d96d1db2e1,MissingOptionConflict,da2e4d05fd6f261eee0f4f212a1e060b,PowerToys::::appveyor.yml::::artifacts::::artifacts_1::::name::::nugetpackage <-> PowerToys::::appveyor.yml::::deploy::::artifact::::nugetpackage
919f7bacfe958c90dc34784b5fa53f56c0990108,MissingArtifactConflict,8627bd151f258cd6f25c80e6edd0b8e1,PowerToys::::feature_request.yml::::body::::body_0::::type::::textarea <-> PowerToys::::translation_issue.yml::::body::::body_5::::type::::textarea
e0b9a81c9b12de226b8428d93ed916095e818798,MissingOptionConflict,028502ae51df153dba3dab5ab7eeeecd,PowerToys::::appveyor.yml::::artifacts::::artifacts_1::::name::::nuget_package <-> PowerToys::::appveyor.yml::::deploy::::deploy_0::::artifact::::nuget_package
