occurred_at,conflict_type,conflict_id,link
a66cdb469f56f8ebab2e5f2e44d59b53effd0489,MissingOptionConflict,ebf3cf2d3616f09b86b3c1ea402879eb,angular::::.travis.yml::::env::::matrix::::MODE=saucelabs_optional <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=saucelabs_optional::::env::::MODE=saucelabs_optional
347e71af7d69dd3be0c5df036a95e2130e062b26,MissingOptionConflict,a881b45f2ab52953beb3ad46fbddf43b,angular::::.travis.yml::::env::::matrix::::MODE=typescript_next <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=typescript_next::::env::::MODE=typescript_next
a66cdb469f56f8ebab2e5f2e44d59b53effd0489,MissingOptionConflict,d877444c3e3dd2d5377fe5209623b125,angular::::.travis.yml::::env::::matrix::::MODE=browserstack_optional <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=browserstack_optional::::env::::MODE=browserstack_optional
be3e7050d597d5b3145b5b94a3228c62c12002ef,MultiValueConflict,a89ef16e64687aebab827a8efd06b5fe,"angular::::.pullapprove.yml::::groups::::circular-dependencies::::conditions::::len(groups.rejected.exclude(""required-minimum-review"").exclude(""global-approvers"").exclude(""global-docs-approvers"")) == 0 <-> angular::::.pullapprove.yml::::meta::::no-groups-above-this-rejected::::len(groups.rejected.exclude(""required-minimum-review"").exclude(""global-approvers"").exclude(""global-docs-approvers"")) == 0"
85bfbc13c168ca4165e759b40de12f45e9fc169a,MissingOptionConflict,8a5c1ddb0cf405bc524946eee9200804,angular::::.travis.yml::::env::::matrix::::MODE=saucelabs_optional DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=saucelabs_optional DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION::::env::::MODE=saucelabs_optional DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION
5d66b4aee61541dc93d0cebb8b4099ee1ea073aa,MissingOptionConflict,90dec7d07556c9ef1f7d634d97ae4771,angular::::dev-infra.yml::::jobs::::commit_message_based_labels::::runs-on::::ubuntu-latest <-> angular::::lock-closed.yml::::jobs::::lock_closed::::runs-on::::ubuntu-latest
be3e7050d597d5b3145b5b94a3228c62c12002ef,MultiValueConflict,53597bb8d5d64b17b654f19bb5c4a640,"angular::::.pullapprove.yml::::groups::::circular-dependencies::::conditions::::len(groups.pending.exclude(""required-minimum-review"").exclude(""global-approvers"").exclude(""global-docs-approvers"")) == 0 <-> angular::::.pullapprove.yml::::meta::::no-groups-above-this-pending::::len(groups.pending.exclude(""required-minimum-review"").exclude(""global-approvers"").exclude(""global-docs-approvers"")) == 0"
5621452ff00ed55a91f312a281e97f870df05685,MultiValueConflict,7661705d15480318b766870b530d2a31,angular::::.pullapprove.yml::::groups::::circular-dependencies::::reviewers::::users::::josephperrott <-> angular::::.pullapprove.yml::::groups::::dev-infra::::reviewers::::users::::josephperrott
5621452ff00ed55a91f312a281e97f870df05685,MultiValueConflict,6ef177479544515bfb2688c0885c2f9e,angular::::.pullapprove.yml::::groups::::circular-dependencies::::reviewers::::users::::josephperrott <-> angular::::.pullapprove.yml::::groups::::required-minimum-review::::reviewers::::users::::josephperrott
619e625ee201d096f1c0801fd4d8d2d5d17c6ac0,MultiValueConflict,e365ec860ee3db966ae5519606f21b2e,angular::::.pullapprove.yml::::groups::::build-and-ci::::conditions::::files::::exclude::::tools/@angular/tsc-wrapped/* <-> angular::::.pullapprove.yml::::groups::::compiler-cli::::conditions::::files::::tools/@angular/tsc-wrapped/*
27cc56b359a542761af5d9fba61db26d4f3f30b1,MultiValueConflict,9e56fd69429b8ef3c397ed83785a1d56,angular::::angular-robot.yml::::triage::::l1TriageLabels::::comp: * <-> angular::::angular-robot.yml::::triage::::l2TriageLabels::::comp: *
5621452ff00ed55a91f312a281e97f870df05685,MultiValueConflict,7a60a110878e6e0e9b22bed9cc207f92,angular::::.pullapprove.yml::::groups::::benchpress::::reviewers::::users::::josephperrott <-> angular::::.pullapprove.yml::::groups::::circular-dependencies::::reviewers::::users::::josephperrott
ed2dbf2db781739d15a102f386bf39f81246927f,MultiValueConflict,a985ba97d3c4f3a605ec10d33f4ee2d0,angular::::.travis.yml::::env::::matrix::::MODE=dart DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=dart DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION::::env::::MODE=dart DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION
5621452ff00ed55a91f312a281e97f870df05685,ModifiedOptionConflict,62c25dc949f8bcd617b3e99090d1b9e8,angular::::.pullapprove.yml::::groups::::fw-security::::reviews::::request::::-1 <-> angular::::.pullapprove.yml::::groups::::size-tracking::::reviews::::request::::-1
c5f8c9586ff188ed7d13ae8e95245b7a972bb4a7,MultiValueConflict,d7362bf1ff2b7f0324c5be8f913918e4,angular::::.travis.yml::::env::::matrix::::MODE=saucelabs DART_CHANNEL=dev <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=saucelabs DART_CHANNEL=dev::::env::::MODE=saucelabs DART_CHANNEL=dev
43cca2de769d958600ba24cca00332d2c62597f5,MissingOptionConflict,c1583374af32191b3a387cd86de12e2b,angular::::.travis.yml::::env::::matrix::::MODE=saucelabs DART_CHANNEL=dev <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=saucelabs DART_CHANNEL=dev::::env::::MODE=saucelabs DART_CHANNEL=dev
800c8f196f6fbddf094a77f7dc6e3e04c39b6849,MissingOptionConflict,4602a2229c9e3cc69cd81120eb71c572,angular::::.travis.yml::::env::::matrix::::MODE=dart_experimental DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=dart_experimental DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION::::env::::MODE=dart_experimental DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION
48e73c1558b6b867ae03df699a1634554f7a3de7,MissingArtifactConflict,4b496c7ccffefb8b2e373e0a5228474e,angular::::config.yml::::workflows::::default_workflow::::jobs::::jobs_1::::publish_snapshot::::requires::::test <-> angular::::package.json::::directories::::test::::test
e28f097fc2c14208e3a2bcf2698e30ddd4079d03,MissingOptionConflict,0b519bc4b7414db63e71b0f4be268486,angular::::.pullapprove.yml::::groups::::angular.io-guide-and-tutorial::::conditions::::files::::include::::aio/content/guide/* <-> angular::::.pullapprove.yml::::groups::::angular.io-marketing::::conditions::::files::::exclude::::aio/content/guide/*
49fce3701355be15a385a18f38ec340b9ad4c6c5,MissingOptionConflict,c3fb28b21b95f3047239e2698e94f666,angular::::.pullapprove.yml::::groups::::angular.io::::conditions::::files::::angular.io/* <-> angular::::.pullapprove.yml::::groups::::root::::conditions::::files::::excludes::::angular.io/*
