occurred_at,conflict_type,conflict_id,link
6cdb140a60d6296a5b6e00bf249c6a425e1c8524,MissingOptionConflict,de37f3db5f717aa739022c2b3d0a9a8f,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_13::::task::::PublishBuildArtifacts@1 <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_20::::task::::PublishBuildArtifacts@1
10dc9ef861bc82ec7fd3df8baa34eaa85b1013de,MissingOptionConflict,4a56adcb6d476b4416a44afa6d56a5ce,atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_3::::template::::templates/download-unzip.yml <-> atom::::windows.yml::::jobs::::jobs_1::::steps::::steps_4::::template::::templates/download-unzip.yml
6cdb140a60d6296a5b6e00bf249c6a425e1c8524,MissingOptionConflict,39034a02a2d7f48f883e2ac47e673b78,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_10::::env::::TEST_JUNIT_XML_ROOT::::$(Common.TestResultsDirectory)/junit <-> atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_10::::inputs::::searchFolder::::$(Common.TestResultsDirectory)/junit
a4cfd8494b1a821349b72ce84d61ad3d89d766ef,ModifiedOptionConflict,09de67333d8d5bff6d056e681b540008,atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_8::::displayName::::Run tests <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_11::::displayName::::Run tests
6b323c3d79431a55569f2b8c0ac78c1c29bee4f0,MissingOptionConflict,348afb17fad3fce5c37dd632a877c8ce,atom::::nightly-release.yml::::phases::::phases_4::::steps::::steps_3::::env::::ATOM_RELEASE_VERSION::::$(ReleaseVersion) <-> atom::::release-branch-build.yml::::phases::::phases_3::::steps::::steps_3::::env::::ATOM_RELEASE_VERSION::::$(ReleaseVersion)
bcbf7c6343f99d397f4059b4c4efd95fad68f154,ModifiedOptionConflict,07ad21462312a112786f072085ab9779,"atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_13::::condition::::ne(variables['Atom.SkipTests'], 'true') <-> atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_10::::condition::::ne(variables['Atom.SkipTests'], 'true')"
33cf97e271d67fd56d888f7528b5922f7efd3891,MissingOptionConflict,29d944e107a7aa9b5221b0fe52c9bb2d,atom::::release-branch-build.yml::::jobs::::jobs_5::::steps::::steps_4::::env::::ATOM_RELEASES_S3_KEY::::$(ATOM_RELEASES_S3_KEY) <-> atom::::test.yml::::steps::::steps_5::::env::::ATOM_RELEASES_S3_KEY::::$(ATOM_RELEASES_S3_KEY)
fe5bdeed2116a660482b7c1e26780c611d00e8bb,ModifiedOptionConflict,27ef1e55e7b62b99ab4623bc6f9d333e,atom::::appveyor.yml::::artifacts::::artifacts_2::::name::::RELEASES <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_13::::inputs::::ArtifactName::::RELEASES
a0cabdaade6b28d1239f084f02b5fb48fae41b40,MissingOptionConflict,cf091fd9ad81b33d4b148d813d5945f7,atom::::nightly-release.yml::::jobs::::jobs_4::::steps::::steps_2::::inputs::::downloadType::::specific <-> atom::::release-branch-build.yml::::jobs::::jobs_4::::steps::::steps_2::::inputs::::downloadType::::specific
fce5a8974f21300f0397c9f8427f0619045c8440,ModifiedOptionConflict,f9f1a4516209cb65d5234cd5c94a84ab,atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_16::::task::::PublishBuildArtifacts@1 <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_9::::task::::PublishBuildArtifacts@1
a3c320dd707b915da2192427bcceea166edbd6d4,MissingArtifactConflict,1264e07493bc5f4a2ce43a5aa11295c3,atom::::macos.yml::::jobs::::jobs_0::::timeoutInMinutes::::180 <-> atom::::no-response.yml::::daysUntilClose::::180
fe7df52a5e31cb29fe6b2239fbd789c5e2b4e7cc,ModifiedOptionConflict,f81a660834ed8a41456c0bd708487dd3,atom::::linux.yml::::phases::::phases_0::::steps::::steps_4::::script::::script/lint <-> atom::::macos.yml::::phases::::phases_0::::steps::::steps_3::::script::::script/lint
2406f2c66bc1a29cb7baac656a263d10f148af9f,MissingOptionConflict,8cfaad55853cf15a72cc81969acd0525,"atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_5::::inputs::::targetfolder::::**/node_modules, !**/node_modules/**/node_modules <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_8::::inputs::::targetfolder::::**/node_modules, !**/node_modules/**/node_modules"
a4cfd8494b1a821349b72ce84d61ad3d89d766ef,MissingOptionConflict,d2c6b61d9b6d329f2de03cfbac227aef,atom::::macos.yml::::jobs::::jobs_0::::steps::::steps_9::::inputs::::ArtifactName::::atom-mac-symbols.zip <-> atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_6::::inputs::::artifactName::::atom-mac-symbols.zip
7124233ea3ee1f543a03a30a76bdea4b28287984,MissingOptionConflict,7b1335ea465eb55c628725d546aad522,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_5::::env::::CI_PROVIDER::::VSTS <-> atom::::macos.yml::::jobs::::jobs_0::::steps::::steps_5::::env::::CI_PROVIDER::::VSTS
b03d49973e1e9f1db4b3939c66e24ccdbae270e9,MissingOptionConflict,f69fdbe172efb2a58d25f4ad1a003abc,atom::::macos.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName::::Post-process test results <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_8::::displayName::::Post-process test results
b37b22b256351afd5484776e5073c60cad9bdeb1,ModifiedOptionConflict,3bd52f4f622c1e2a2acdf8419862bec7,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_7::::displayName::::Run linter <-> atom::::macos.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName::::Run linter
69932be7d8db8712310a869deda2423adafee529,MissingOptionConflict,e07ff65b4e5b50601d9045be09e71cef,atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_10::::inputs::::ArtifactType::::Container <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_8::::inputs::::ArtifactType::::Container
