occurred_at,conflict_type,conflict_id,link
58aca2823404d6dc18fd44ae15f7ff2f34f64705,ModifiedOptionConflict,2a072b2720381cd49e133ecfbe04c953,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_30::::origin::::Bootstrap#19984
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_7::::origin::::Bootstrap#19984
"
aa62428cdf574cd42c105d966e7153dd69d80101,ModifiedOptionConflict,6b60e2da0fee7000d1bcb3528e8e5fe2,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_14::::summary::::Focus ring of image map within a modal is displayed in the wrong location.
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_25::::summary::::Focus ring of image map within a modal is displayed in the wrong location.
"
edc43a4ea63312d95bd0779832c534cd3c14895b,ModifiedOptionConflict,ee8f24dc679d720ee6fae8ebf2c9cf50,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_25::::summary::::Don't make `:hover` sticky on touch-friendly webpages
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_43::::summary::::Don't make `:hover` sticky on touch-friendly webpages
"
833125b5fec362d32fbdfbe03a1b319896a299f2,MissingOptionConflict,7d874a01c31533b5fb2466180ec6b238,bootstrap::::lint.yml::::on::::push::::branches::::master <-> bootstrap::::release-notes.yml::::on::::push::::branches::::master
3dc4b3647ce2b27b0216fe8103253ffe9633fde9,ModifiedOptionConflict,5df7d70a578307803d3299c8e8ffe3f4,"bootstrap::::browser-features.yml::::browser-features.yml_0::::summary::::Implement the [`:dir()` pseudo-class](https://developer.mozilla.org/en-US/docs/Web/CSS/:dir) from Selectors Level 4
 <-> bootstrap::::browser-features.yml::::browser-features.yml_10::::summary::::Implement the [`:dir()` pseudo-class](https://developer.mozilla.org/en-US/docs/Web/CSS/:dir) from Selectors Level 4
"
2c2a33566801f4e17537047740b982232bca0a8b,ModifiedOptionConflict,ae46f493150cb8ff91aac55e363217eb,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_10::::origin::::Bootstrap#16180
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_23::::origin::::Bootstrap#16180
"
d39e24347c2dea7bb526a144610ed532f167bd40,ModifiedOptionConflict,a0f3b0017f3bbf81ceac53a4efa3f3df,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_23::::origin::::Bootstrap#19984
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_27::::origin::::Bootstrap#19984
"
aa62428cdf574cd42c105d966e7153dd69d80101,ModifiedOptionConflict,1ccd7e2395135b78077fcae026e7b453,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_17::::browser::::Chrome
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_19::::browser::::Chrome
"
ab54151ed3faa9b27c6a9227a9bcb667719e1c5c,ModifiedOptionConflict,c1e0cc567ba6d65122f8e5ddd458fd61,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_31::::browser::::Safari (OS X)
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_32::::browser::::Safari (OS X)
"
152c491898bfbcaed93d0c69e6e4dcca9e4e07cd,ModifiedOptionConflict,4531c5a2b4676a094dc53abb48605fc3,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_21::::browser::::Safari (OS X)
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_24::::browser::::Safari (OS X)
"
