occurred_at,conflict_type,conflict_id,link
ca5998326deebf79845ca00f616b8dad11d90509,MissingOptionConflict,eb1d7a0d6792dc4d6798e02a3253735b,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::test_suite::::monorepos <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_9::::test_suite::::monorepos
ca5998326deebf79845ca00f616b8dad11d90509,MultiValueConflict,97c251daca02e571f995242b6f70a44d,create-react-app::::.travis.yml::::node_js::::8 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_5::::nodejs_version::::8
7556997fcf1f72ea9fe4a4efaa772aa596d9b065,MissingOptionConflict,1b58bc2241aff5741e178bcdd1d82b62,create-react-app::::.travis.yml::::env::::matrix::::TEST_SUITE=simple <-> create-react-app::::.travis.yml::::matrix::::include::::node_js/0.10::::env::::TEST_SUITE=simple
ca5998326deebf79845ca00f616b8dad11d90509,ModifiedOptionConflict,61f595723d327ffc21c2d81a4ff23d12,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::nodejs_version::::10 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::10
f0a837c1f07ebd963ddbba2c2937d04fc1b79d40,MissingOptionConflict,8abed9770809d39e10e5f5706b5bb3f9,create-react-app::::azure-pipelines-test-job.yml::::file::::azure-pipelines-test-job.yml <-> create-react-app::::azure-pipelines.yml::::jobs::::jobs_3::::template::::azure-pipelines-test-job.yml
0c0c5c1f24c38feb57bea54795a11c0e0d0a2300,MultiValueConflict,2c75cc3aa8df73060c2d9801348ea7d2,create-react-app::::.travis.yml::::node_js::::4 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_3::::nodejs_version::::4
12d05447b925f121c9b03954b59c6378bf783693,MultiValueConflict,a39ab7142d701754e4a30b098a12b74e,create-react-app::::.travis.yml::::node_js::::6 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::6
a452ddcd4114dc17442ee294a6b9d009f38feb16,ModifiedOptionConflict,8a4cbf9e0268b274884e0b5c5397a458,create-react-app::::azure-pipelines-test-job.yml::::parameters::::configurations::::LinuxNode8::::vmImage::::ubuntu-16.04 <-> create-react-app::::azure-pipelines.yml::::jobs::::jobs_4::::parameters::::configurations::::LinuxNode8::::vmImage::::ubuntu-16.04
92d9c5ada40c815dde8948acb96ccbd5636a4e7f,MultiValueConflict,cffce9b8954b0da8398a5df7899c2dab,create-react-app::::.travis.yml::::node_js::::8 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::nodejs_version::::8
ece4dbf3a58168f07b8cad631aef569cd89d3c2f,ModifiedOptionConflict,6d0f964726b04c8fa0a0b61840f1128a,create-react-app::::build.yml::::jobs::::build::::steps::::steps_2::::name::::Build <-> create-react-app::::build.yml::::name::::Build
ca5998326deebf79845ca00f616b8dad11d90509,MultiValueConflict,4cf818051a3ab275058b0287f473c26a,create-react-app::::.travis.yml::::node_js::::10 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::10
577a274d8cf829941d848ce10f69d2a4935a9f2a,ModifiedOptionConflict,0b5e5c51a0111b6a3b933984063d36d3,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_1::::test_suite::::installs <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::test_suite::::installs
0c0c5c1f24c38feb57bea54795a11c0e0d0a2300,MultiValueConflict,a6e7b1279b88bb40c6770017b2a86af9,create-react-app::::.travis.yml::::node_js::::4 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::4
577a274d8cf829941d848ce10f69d2a4935a9f2a,ModifiedOptionConflict,a17f1a8f1faf34924f3f0e98bbc01e6d,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::test_suite::::kitchensink <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_5::::test_suite::::kitchensink
