occurred_at,conflict_type,conflict_id,link
79b698f88b5f8e247df7280ccb52c2a8271a426c,ModifiedOptionConflict,3d3cdab1199674ec052dca8be8b2d492,"deno::::ci.yml::::jobs::::build::::steps::::steps_40::::if::::runner.os == 'Linux' &&
matrix.job == 'test' &&
matrix.profile == 'release' &&
github.repository == 'denoland/deno' &&
github.ref == 'refs/heads/main' && !startsWith(github.ref, 'refs/tags/')
 <-> deno::::ci.yml::::jobs::::build::::steps::::steps_41::::if::::runner.os == 'Linux' &&
matrix.job == 'test' &&
matrix.profile == 'release' &&
github.repository == 'denoland/deno' &&
github.ref == 'refs/heads/main' && !startsWith(github.ref, 'refs/tags/')
"
0473d832c138a7acc25372441cfa01848e6b9915,ModifiedOptionConflict,b69da5c8669fa64b72e23a51228d6d7d,deno::::package.json::::devDependencies::::@types/flatbuffers::::^1.9.0 <-> deno::::package.json::::devDependencies::::flatbuffers::::^1.9.0
4f93cf9d758e54de0fad0787b0de20ae81b1e14b,MissingOptionConflict,b77630080bb06f9d2bc8a16bf22da6f0,deno::::ci.yml::::jobs::::build::::steps::::steps_19::::if::::matrix.kind == 'lint' <-> deno::::ci.yml::::jobs::::build::::steps::::steps_20::::if::::matrix.kind == 'lint'
105a5193b5aa231f0169d1113792f5c80e7438de,MissingOptionConflict,12f266e7d60750fbaa7d198bd0e60428,deno::::.appveyor.yml::::deploy::::on::::APPVEYOR_REPO_NAME::::denoland/deno <-> deno::::.travis.yml::::deploy::::provider/pages::::on::::repo::::denoland/deno
17d35fdd7ef11cadf7951fc4d25868adfecf130b,MissingOptionConflict,42775c53a7a50c4ed52f1b08edb09983,deno::::ci.yml::::jobs::::build::::steps::::steps_12::::shell::::bash <-> deno::::ci.yml::::jobs::::build::::steps::::steps_37::::shell::::bash
0473d832c138a7acc25372441cfa01848e6b9915,ModifiedOptionConflict,b67b9a4527917dbde144094bf10c91f3,deno::::package.json::::devDependencies::::rollup-plugin-analyzer::::^2.1.0 <-> deno::::package.json::::devDependencies::::rollup-plugin-replace::::^2.1.0
17d35fdd7ef11cadf7951fc4d25868adfecf130b,ModifiedOptionConflict,924a2d0e43e19e0261bfafad2e0313db,deno::::ci.yml::::jobs::::build::::steps::::steps_27::::if::::matrix.kind == 'test' && matrix.profile == 'release' <-> deno::::ci.yml::::jobs::::build::::steps::::steps_31::::if::::matrix.kind == 'test' && matrix.profile == 'release'
acaff6d05622ec54b37b7f378c2d2b2f723ba8d5,MissingOptionConflict,c58af5a2981540bcd5e50a2a612c91fb,deno::::.travis.yml::::jobs::::include::::name/asan/lsan linux::::script::::./tools/lint.py <-> deno::::.travis.yml::::script::::./tools/lint.py
ddbfe9b5aa13e469eb8f2e074352bcdbb9e8c71b,ModifiedOptionConflict,c7b1972e693e5d4ac897e9619e48b18b,deno::::build.yml::::jobs::::build::::strategy::::matrix::::exclude::::exclude_0::::os::::windows-2016 <-> deno::::build.yml::::jobs::::build::::strategy::::matrix::::exclude::::exclude_1::::os::::windows-2016
e02403bb4590da6823eb956bcbc89e9a937d431d,MissingOptionConflict,ca99bc494c0b479c19ddd2d783555706,"deno::::ci.yml::::jobs::::build::::steps::::steps_16::::with::::path::::./target
 <-> deno::::ci.yml::::jobs::::build::::steps::::steps_17::::with::::path::::./target
"
