occurred_at,conflict_type,conflict_id,link
f2bbd10ae7abadae174b3cf9beb5d944dea4a90b,ModifiedOptionConflict,450e659019b15eff65f21fd76e8ebdfd,express::::package.json::::dependencies::::etag::::~1.7.0 <-> express::::package.json::::devDependencies::::morgan::::~1.7.0
276db8c49a4f363d27bc948e554ac375ae92eb0a,ModifiedOptionConflict,cc9f01ae244483f1f304320f0b9f7049,express::::package.json::::dependencies::::debug::::~2.0.0 <-> express::::package.json::::devDependencies::::connect-redis::::~2.0.0
4ce1ee458ec1e0580d53a1b9d060b900176b023b,MissingOptionConflict,ce0c3704a5ed2b4e7f9009fb027b9b65,express::::package.json::::dependencies::::range-parser::::1.0.0 <-> express::::package.json::::devDependencies::::vhost::::1.0.0
952484f73a84743c53abfc4b51a6614f2d1e13cd,ModifiedOptionConflict,3a96b8b3d9c4b6c2c1300bcf7a5ab7f1,express::::package.json::::dependencies::::content-disposition::::0.5.2 <-> express::::package.json::::dependencies::::fresh::::0.5.2
c610902b671a1449aa15d9d7c3b051c9c01f221e,ModifiedOptionConflict,48891b64346df95965e7787747565339,express::::package.json::::dependencies::::accepts::::1.0.0 <-> express::::package.json::::dependencies::::range-parser::::1.0.0
3fb7c4e1db7b3aabc1cc77e8c18805b60055d5d4,MissingOptionConflict,7e14bad57470077cf7c71efd179fb012,express::::package.json::::devDependencies::::jade::::* <-> express::::package.json::::devDependencies::::marked::::*
ec5b9f5c618d4f73fb3c211ed1936c89911acca3,ModifiedOptionConflict,0096fdc951a2358ccba8f1f6d08e21b3,express::::package.json::::dependencies::::depd::::0.3.0 <-> express::::package.json::::devDependencies::::istanbul::::0.3.0
2594f3103b0a0410aaaa8c1385f82c326afb839e,ModifiedOptionConflict,131c2e28aab83ddcf77101c702b80d2d,express::::package.json::::dependencies::::serve-static::::~1.5.0 <-> express::::package.json::::devDependencies::::jade::::~1.5.0
a38bdf67585764290a4a2d18110f365d2ab6f481,ModifiedOptionConflict,ec7dc24cd94cc3c96f1ab45748634199,express::::package.json::::dependencies::::fresh::::0.1.0 <-> express::::package.json::::dependencies::::send::::0.1.0
203fb05d3e90b7e22d3660aee6046b77577ff62c,ModifiedOptionConflict,b5ce7ddf711c5ff7207f089128a06a41,express::::package.json::::devDependencies::::morgan::::1.0.0 <-> express::::package.json::::devDependencies::::static-favicon::::1.0.0
1589ce215348197f4c6a19effe7a07feff991c1d,ModifiedOptionConflict,197fbce219515cdd10495baacc2b3739,express::::package.json::::dependencies::::merge-descriptors::::1.0.0 <-> express::::package.json::::dependencies::::utils-merge::::1.0.0
f8a9cbe0745478a806da1311b5d36dc69255af51,MissingOptionConflict,487afcd5fce4fafa72d349f67c477844,express::::package.json::::dependencies::::debug::::* <-> express::::package.json::::devDependencies::::mocha::::*
76bf96e9ce3369d2f9329adefb9ac75407f93493,ModifiedOptionConflict,81d68aa8cf22d193c952689c9859f372,express::::package.json::::dependencies::::finalhandler::::1.1.0 <-> express::::package.json::::dependencies::::setprototypeof::::1.1.0
84f8228b8c20fef8fd8821194299eaa30797781f,ModifiedOptionConflict,3730e527ed79fd8c56f9b246ee8ccdc3,express::::package.json::::dependencies::::range-parser::::0.0.4 <-> express::::package.json::::dependencies::::send::::0.0.4
54d3ffa9a0e987bf3eee2d0d715fdb1fb8619832,ModifiedOptionConflict,60d7780bf02e578fd2dd0fb16102d39e,express::::package.json::::devDependencies::::body-parser::::~1.5.0 <-> express::::package.json::::devDependencies::::jade::::~1.5.0
f11024846215e8024e4d29daba9f6ca7733dc3b6,MissingOptionConflict,d886861a0bdb312bf00a49d3c8a3d2a0,express::::package.json::::dependencies::::response-send::::0.0.1 <-> express::::package.json::::devDependencies::::supertest::::0.0.1
a802405e19bb36e648a7e33601a6d10333b82dee,ModifiedOptionConflict,7354c4b8c4a014b1642b69453d8e2c8e,express::::package.json::::dependencies::::type-is::::1.0.0 <-> express::::package.json::::dependencies::::utils-merge::::1.0.0
8fe8d740565bdedd3cb12bcb6d8f8648e455eccf,ModifiedOptionConflict,083f77ae234e66450bc96d09a85da20f,express::::package.json::::dependencies::::serve-static::::1.1.0 <-> express::::package.json::::dependencies::::type-is::::1.1.0
cbe25d66b3ad397c52c6a66b77f18b483f8ed47e,ModifiedOptionConflict,7accdd5798bab67db4622d5a62b1e22d,express::::package.json::::dependencies::::array-flatten::::1.1.1 <-> express::::package.json::::dependencies::::setprototypeof::::1.1.1
b32fd0bee4868e75f7f686c82298da45237e3031,MissingOptionConflict,61b0d90af6d0d38b885dbfaa499eabc7,express::::package.json::::devDependencies::::connect-redis::::>= 0.0.1 <-> express::::package.json::::devDependencies::::node-markdown::::>= 0.0.1
577cc1d1a065e3a36816de067e328d4486135fbc,ModifiedOptionConflict,1c7e3ad2c46231c7b00a49867c5e37f8,express::::package.json::::dependencies::::parseurl::::1.0.1 <-> express::::package.json::::dependencies::::proxy-addr::::1.0.1
c5193536e5c1082e0eea7517e4dc326d9a0767e5,ModifiedOptionConflict,ff2b7b7874ff014fec388ecfdc8afd7e,express::::package.json::::dependencies::::parseurl::::~1.3.0 <-> express::::package.json::::devDependencies::::morgan::::~1.3.0
b9ecb9afe336ad00eb6e2dbc055e838649fe784f,MissingOptionConflict,4c586c59fa2d8b99fd47839e947edb5c,express::::.travis.yml::::matrix::::allow_failures::::env/NVM_NODEJS_ORG_MIRROR=https://nodejs.org/download/nightly::::env::::NVM_NODEJS_ORG_MIRROR=https://nodejs.org/download/nightly <-> express::::.travis.yml::::matrix::::include::::node_js/12::::env::::NVM_NODEJS_ORG_MIRROR=https://nodejs.org/download/nightly
d2b1a89b4a0caa59abc6808b6311cb34cdbf43c8,ModifiedOptionConflict,c19af46ef8c0b27a5deef0359e3bca3f,express::::package.json::::dependencies::::type-is::::~1.3.2 <-> express::::package.json::::devDependencies::::cookie-parser::::~1.3.2
dc94f305cc18b32135f1cbfb43735a2b074ede83,ModifiedOptionConflict,d4b6e6c57f121aee35f97dd66c8d309e,express::::package.json::::dependencies::::debug::::1.0.0 <-> express::::package.json::::dependencies::::range-parser::::1.0.0
980a15d847e32ff06159815a77edf53f995acae3,ModifiedOptionConflict,e099db8e4cd30b47a0bd9dbf3101bdd0,express::::package.json::::dependencies::::debug::::1.0.0 <-> express::::package.json::::dependencies::::range-parser::::1.0.0
20a25489de13f3726d68c606411861a73acfa6b5,ModifiedOptionConflict,9a47902824d092159e1958619bc8b173,express::::package.json::::devDependencies::::ejs::::2.3.4 <-> express::::package.json::::devDependencies::::mocha::::2.3.4
ff0384e610b6fa30f97ddaa6f30c19d14cad459d,ModifiedOptionConflict,9e251f164f9d7a784ee3171c2e75845d,express::::package.json::::dependencies::::cookie::::0.0.4 <-> express::::package.json::::dependencies::::range-parser::::0.0.4
e382e6adc7d397d0a8b60702fede89929c31e531,ModifiedOptionConflict,7ce2210606fada463cd70350ec8cb9f7,express::::package.json::::dependencies::::methods::::0.0.1 <-> express::::package.json::::devDependencies::::supertest::::0.0.1
c754c8ad7b33a1d9ec6bec88bc44734c16c36167,MissingOptionConflict,27ad53ff26783c3ccebfe2ef8f504c55,express::::.travis.yml::::matrix::::allow_failures::::env/NVM_NODEJS_ORG_MIRROR=https://nodejs.org/download/nightly::::env::::NVM_NODEJS_ORG_MIRROR=https://nodejs.org/download/nightly <-> express::::.travis.yml::::matrix::::include::::node_js/11::::env::::NVM_NODEJS_ORG_MIRROR=https://nodejs.org/download/nightly
d34d60ce92f363b703fdc7a030e7cd38f17caacc,ModifiedOptionConflict,5e96fef253bcf38848818cb343899bf1,express::::package.json::::dependencies::::merge-descriptors::::1.0.0 <-> express::::package.json::::dependencies::::utils-merge::::1.0.0
3428543bb876baeb9b2c68fd620bb52e8f9e9d16,ModifiedOptionConflict,2ab68ca890c5f180304323f45b1cf83f,express::::package.json::::dependencies::::accepts::::1.0.2 <-> express::::package.json::::dependencies::::debug::::1.0.2
dfefea5e9db42c90d8f2c5ff591316ed642c17f4,ModifiedOptionConflict,f42dcf6ddc66b2a98e1a0e3b41d0a0c5,express::::package.json::::dependencies::::type-is::::1.2.0 <-> express::::package.json::::devDependencies::::body-parser::::1.2.0
