occurred_at,conflict_type,conflict_id,link
787f43973318f9eba3996e989f46f1cb93b7a5f4,ModifiedOptionConflict,d45ed6df03acca9b9d5cf3204e8976b1,go::::app.yaml::::api_version::::1 <-> go::::app.yaml::::version::::1
12c3afc1ae55dffbac2f9dc28d55c1f53ca4cf65,MissingOptionConflict,2888beb0a1dcda9bd10a967aaaae12dc,go::::index.yaml::::indexes::::indexes_4::::properties::::properties_2::::name::::name <-> go::::index.yaml::::indexes::::indexes_5::::properties::::properties_1::::name::::name
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,ModifiedOptionConflict,a3a8b9ff37cb1c3b63b03fc11005aa7f,go::::index.yaml::::indexes::::indexes_1::::properties::::properties_0::::name::::__key__ <-> go::::index.yaml::::indexes::::indexes_3::::properties::::properties_0::::name::::__key__
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,ModifiedOptionConflict,38e484343ca4c3c624788918704a6b47,go::::index.yaml::::indexes::::indexes_0::::properties::::properties_0::::name::::builder <-> go::::index.yaml::::indexes::::indexes_2::::properties::::properties_0::::name::::builder
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,MissingOptionConflict,8b08ab8d83256eed30e164bc9b7da53d,go::::index.yaml::::indexes::::indexes_1::::properties::::properties_0::::direction::::desc <-> go::::index.yaml::::indexes::::indexes_2::::properties::::properties_1::::direction::::desc
12c3afc1ae55dffbac2f9dc28d55c1f53ca4cf65,ModifiedOptionConflict,2e9fbdbe810c8e1a3f9a6dec10858f2d,go::::index.yaml::::indexes::::indexes_4::::kind::::Project <-> go::::index.yaml::::indexes::::indexes_5::::kind::::Project
666abfb64c6c61a215cea58092d0e1dd6c8e7c7b,MissingOptionConflict,cc1aa935f0c0479d02eaf5deeeea27f1,go::::index.yaml::::indexes::::indexes_0::::properties::::properties_0::::direction::::desc <-> go::::index.yaml::::indexes::::indexes_1::::properties::::properties_0::::direction::::desc
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,MissingOptionConflict,252d9a6b238ad1201cdfc175c236bc43,go::::index.yaml::::indexes::::indexes_1::::properties::::properties_0::::name::::__key__ <-> go::::index.yaml::::indexes::::indexes_4::::properties::::properties_0::::name::::__key__
d5b946f43dd9078baac61400559a67557a9dfc53,ModifiedOptionConflict,b58ee3c4db004039a0618e60ef895894,go::::app.yaml::::api_version::::1 <-> go::::app.yaml::::version::::1
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,MissingOptionConflict,02bc23c618736653d3f5644f68df1970,go::::index.yaml::::indexes::::indexes_3::::kind::::Commit <-> go::::index.yaml::::indexes::::indexes_4::::kind::::Commit
c426427b89413157fe83bea862cf225e869eaf6f,ModifiedOptionConflict,64916d71693ff408b3d6774928a98bbf,go::::index.yaml::::indexes::::indexes_0::::properties::::properties_1::::name::::__key__ <-> go::::index.yaml::::indexes::::indexes_2::::properties::::properties_0::::name::::__key__
787f43973318f9eba3996e989f46f1cb93b7a5f4,ModifiedOptionConflict,c71d5f0da3b5e7f996507aab91b28ea2,go::::app.yaml::::handlers::::handlers_0::::url::::/.* <-> go::::app.yaml::::handlers::::handlers_5::::url::::/.*
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,MissingOptionConflict,accb82462f31eeec8d60c8cedf6e2351,go::::index.yaml::::indexes::::indexes_1::::properties::::properties_1::::direction::::desc <-> go::::index.yaml::::indexes::::indexes_4::::properties::::properties_0::::direction::::desc
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,ModifiedOptionConflict,47b98a1b06b2f56a76e445729914833e,go::::index.yaml::::indexes::::indexes_0::::properties::::properties_1::::name::::__key__ <-> go::::index.yaml::::indexes::::indexes_1::::properties::::properties_0::::name::::__key__
12c3afc1ae55dffbac2f9dc28d55c1f53ca4cf65,MissingOptionConflict,00b81e972c863b4c8035fd7d71114040,go::::index.yaml::::indexes::::indexes_4::::properties::::properties_1::::name::::category <-> go::::index.yaml::::indexes::::indexes_5::::properties::::properties_0::::name::::category
c426427b89413157fe83bea862cf225e869eaf6f,MissingOptionConflict,1068fcc74b0162f4ebb03d23f6162dfd,go::::index.yaml::::indexes::::indexes_0::::properties::::properties_1::::direction::::desc <-> go::::index.yaml::::indexes::::indexes_2::::properties::::properties_0::::direction::::desc
666abfb64c6c61a215cea58092d0e1dd6c8e7c7b,ModifiedOptionConflict,1266ff50fb0bea7287128fe6f32b1fa0,go::::index.yaml::::indexes::::indexes_0::::properties::::properties_0::::name::::__key__ <-> go::::index.yaml::::indexes::::indexes_1::::properties::::properties_0::::name::::__key__
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,MissingOptionConflict,76bbc93cab7d9b3226d3a52c658a33cb,go::::index.yaml::::indexes::::indexes_1::::properties::::properties_1::::direction::::desc <-> go::::index.yaml::::indexes::::indexes_3::::properties::::properties_0::::direction::::desc
60b9cd535cd0c8cacdfe178463f9b8d280479e0f,MissingArtifactConflict,ce90a89408835a3d4026b06a26f25121,go::::app.yaml::::api_version::::1 <-> go::::queue.yaml::::queue::::queue_0::::bucket_size::::1
