occurred_at,conflict_type,conflict_id,link
ea6e7a9e1bbf00cc65bb4ac39e0f5c2c00a053f2,MissingOptionConflict,d130744c0a11e39b6c11bed775f626f6,material-ui::::.eslintrc.yaml::::rules::::no-extra-boolean-cast::::2 <-> material-ui::::.eslintrc.yaml::::rules::::no-unused-expressions::::2
78c1227233d4bc12f7ea9cad9ecadb3326f9b7af,MissingOptionConflict,b912096e73d0fd6b337dd5c3d32d547f,material-ui::::azure-pipelines.yml::::steps::::steps_4::::inputs::::filesAcl::::public-read <-> material-ui::::azure-pipelines.yml::::steps::::steps_9::::inputs::::filesAcl::::public-read
ea6e7a9e1bbf00cc65bb4ac39e0f5c2c00a053f2,MissingOptionConflict,57a4d0e48bff1efa55d0ed1af742f41f,material-ui::::.eslintrc.yaml::::rules::::no-unused-expressions::::2 <-> material-ui::::.eslintrc.yaml::::rules::::react/prop-types::::2
ea6e7a9e1bbf00cc65bb4ac39e0f5c2c00a053f2,MissingOptionConflict,0eefc3e4cfd3852a1b51f9b8e388b2ba,material-ui::::.eslintrc.yaml::::rules::::no-unused-expressions::::2 <-> material-ui::::.eslintrc.yaml::::rules::::react/require-extension::::2
3a2edf64f3ce4bab182da17bb91e0be3d1a0315b,MissingOptionConflict,3fcda4b830ab82ad869e507a1cd65e96,material-ui::::config.yml::::jobs::::checkout_code::::steps::::steps_0::::persist_to_workspace::::paths::::. <-> material-ui::::config.yml::::jobs::::javascript::::steps::::steps_0::::persist_to_workspace::::paths::::.
9d4dfd1a5b4a1f7d75cf9e644eed62df9506066f,MissingOptionConflict,1448ce335bbe8e476ef56653f5f209d4,material-ui::::package.json::::dependencies::::babel-plugin-transform-class-properties::::latest <-> material-ui::::package.json::::dependencies::::typescript::::latest
ea6e7a9e1bbf00cc65bb4ac39e0f5c2c00a053f2,MissingOptionConflict,26dbd4559eaca13ff41cbfad94164a0d,material-ui::::.eslintrc.yaml::::rules::::no-extra-semi::::2 <-> material-ui::::.eslintrc.yaml::::rules::::no-unused-expressions::::2
ea6e7a9e1bbf00cc65bb4ac39e0f5c2c00a053f2,MissingOptionConflict,dccbf32bcf8dbf76378ae0b7f14f582f,material-ui::::.eslintrc.yaml::::rules::::no-unused-expressions::::2 <-> material-ui::::.eslintrc.yaml::::rules::::space-before-function-paren::::2
a927c9f842cbebed7edffe58dee51f08e0ad8054,ModifiedOptionConflict,1dbed49a21d43a8f6f6dec78faee3794,"material-ui::::azure-pipelines.yml::::steps::::steps_10::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest')) <-> material-ui::::azure-pipelines.yml::::steps::::steps_11::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest'))"
0e2c974737da2608a1652dbbeb4a53ed1ed02364,MissingOptionConflict,7efe1bb2350558eea98b3edc0aec1481,material-ui::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_10::::inputs::::contentType::::application/json <-> material-ui::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_11::::inputs::::contentType::::application/json
cfa329aa9198e247d6cf9cec65d4ec3de419852f,MissingArtifactConflict,2cac0ba0a5aecc9ffe84fc5643cab30f,material-ui::::config.yml::::jobs::::test_types_next::::steps::::steps_0::::run::::environment::::TYPESCRIPT_DIST_TAG::::next <-> material-ui::::package.json::::scripts::::dev::::next
0e2c974737da2608a1652dbbeb4a53ed1ed02364,MissingOptionConflict,daccbf642b34d133628b908395f65a45,material-ui::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_10::::inputs::::filesAcl::::public-read <-> material-ui::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_6::::inputs::::filesAcl::::public-read
b3218e77e5b4e62e1cf06f6745f7640d0276dc2d,MissingOptionConflict,a1046230a19a0f9c1e378a93e1407313,"material-ui::::config.yml::::commands::::install_js::::steps::::steps_0::::restore_cache::::keys::::v2-yarn-sha-{{ checksum ""yarn.lock"" }} <-> material-ui::::config.yml::::jobs::::checkout::::steps::::steps_1::::save_cache::::key::::v2-yarn-sha-{{ checksum ""yarn.lock"" }}"
ea6e7a9e1bbf00cc65bb4ac39e0f5c2c00a053f2,MissingOptionConflict,59789c690e19a6d87ac647eefcbaf145,material-ui::::.eslintrc.yaml::::rules::::no-unused-expressions::::2 <-> material-ui::::.eslintrc.yaml::::rules::::no-var::::2
9122b600f5671c7a3563f2ca73d64ef8fdf3fc1b,MissingOptionConflict,a45f2f9fcdf50d40438cb86a38852df5,material-ui::::azure-pipelines.yml::::steps::::steps_10::::task::::AmazonWebServices.aws-vsts-tools.S3Upload.S3Upload@1 <-> material-ui::::azure-pipelines.yml::::steps::::steps_9::::task::::AmazonWebServices.aws-vsts-tools.S3Upload.S3Upload@1
10646a59c28bca5302c7aae4e2ce68958560cf0b,MissingOptionConflict,051e4a414c4942de64cd5759a120e12b,material-ui::::azure-pipelines.yml::::steps::::steps_5::::task::::PublishPipelineArtifact@1 <-> material-ui::::azure-pipelines.yml::::steps::::steps_9::::task::::PublishPipelineArtifact@1
32ef293a28375a128c408eeda625f0654ee0e63d,MissingOptionConflict,828b524b2dabb01c69e76c47d9435722,material-ui::::config.yml::::defaults::::working_directory::::/tmp/material-ui <-> material-ui::::config.yml::::jobs::::checkout::::<<::::working_directory::::/tmp/material-ui
3f1bc616a8847f48f25b5ec575f49d17d3635f87,MultiValueConflict,0102020d3a8eb364bd2be03c8268d100,material-ui::::config.yml::::jobs::::checkout_code::::<<::::working_directory::::~/material-ui-pickers <-> material-ui::::config.yml::::jobs::::checkout_code::::steps::::steps_0::::persist_to_workspace::::paths::::~/material-ui-pickers
6bb9231175b14d41d2255c267df0f39dd4c971fe,MissingOptionConflict,8267d9a038f03db1ad21f370552e8a78,"material-ui::::config.yml::::jobs::::test_material-ui-x::::steps::::steps_2::::run::::command::::yarn config set yarn-offline-mirror ~/.cache/npm-packages-offline-cache/v1
yarn
 <-> material-ui::::config.yml::::jobs::::test_regressions::::steps::::steps_2::::run::::command::::yarn config set yarn-offline-mirror ~/.cache/npm-packages-offline-cache/v1
yarn
"
a5e1857636da7cd2a1954e6ad1893e81d2cd0623,MissingOptionConflict,7bc7ba9961b5dc42b520c319e8c5c5f3,material-ui::::config.yml::::defaults::::working_directory::::~/material-ui-pickers <-> material-ui::::config.yml::::workflows::::build_and_test::::jobs::::jobs_1::::test_cypress::::<<::::working_directory::::~/material-ui-pickers
f3684fea8a11c2f9b24a0a30339c5dc28847a122,MissingOptionConflict,4cc18f5518e5c8ebd7140780e058fcb8,material-ui::::config.yml::::defaults::::working_directory::::~/material-ui-pickers <-> material-ui::::config.yml::::jobs::::test_cypress::::working_directory::::~/material-ui-pickers
151d2f965cf0787a9daf21eb40cf41d734fe7e43,MissingOptionConflict,87b92fb8ea80ce53749dc594ea48a56d,material-ui::::config.yml::::workflows::::pipeline::::jobs::::jobs_3::::test_material-ui-x::::requires::::checkout <-> material-ui::::config.yml::::workflows::::pipeline::::jobs::::jobs_5::::test_build::::requires::::checkout
cbe5564e0d24f891514ec17d4cd95d91dddfa6dc,MissingOptionConflict,d75aded2b253dd4b91f78beba89f2197,material-ui::::package.json::::devDependencies::::react-dom::::^16.8.5 <-> material-ui::::package.json::::devDependencies::::react::::^16.8.5
ea6e7a9e1bbf00cc65bb4ac39e0f5c2c00a053f2,MissingOptionConflict,6a3cafe067cf8bff98a68e7751e5a415,material-ui::::.eslintrc.yaml::::rules::::jsx-quotes::::2 <-> material-ui::::.eslintrc.yaml::::rules::::no-unused-expressions::::2
