occurred_at,conflict_type,conflict_id,link
1c1d74c5ec49e5ab7e2d664e557c61745d1995e6,ModifiedOptionConflict,db864a26c20de5145f84e012ed27ef69,ohmyzsh::::bug_report.yml::::body::::body_9::::attributes::::label::::Additional context <-> ohmyzsh::::feature_request.yml::::body::::body_4::::attributes::::label::::Additional context
1c1d74c5ec49e5ab7e2d664e557c61745d1995e6,ModifiedOptionConflict,3b9d2ea4dae816edcac167d1233adac6,ohmyzsh::::bug_report.yml::::body::::body_6::::type::::input <-> ohmyzsh::::feature_request.yml::::body::::body_0::::type::::input
44d8edea05d940ceb593a025e27466e7c8727f03,ModifiedOptionConflict,e01d83e551678f83b1afcb18bba10b2e,ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_2::::name::::check-spelling <-> ohmyzsh::::spelling.yml::::jobs::::update::::steps::::steps_1::::name::::check-spelling
44d8edea05d940ceb593a025e27466e7c8727f03,MissingOptionConflict,83db615b5232d6be3170f358dd38b3ba,ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_3::::with::::retention-days::::1 <-> ohmyzsh::::spelling.yml::::jobs::::update::::steps::::steps_1::::with::::experimental_apply_changes_via_bot::::1
95a66532d17181693b828bda95f4261e5421b409,MissingOptionConflict,e5fec3443bfd6d9d4f963f98160620c9,ohmyzsh::::FUNDING.yml::::open_collective::::ohmyzsh <-> ohmyzsh::::project.yml::::jobs::::add-to-project::::steps::::steps_1::::env::::ORGANIZATION::::ohmyzsh
95a66532d17181693b828bda95f4261e5421b409,MissingOptionConflict,141d43a98db26c5738f7762cb3bab2d0,ohmyzsh::::project.yml::::jobs::::add-to-project::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ steps.generate_token.outputs.token }} <-> ohmyzsh::::project.yml::::jobs::::add-to-project::::steps::::steps_4::::env::::GITHUB_TOKEN::::${{ steps.generate_token.outputs.token }}
44d8edea05d940ceb593a025e27466e7c8727f03,MissingOptionConflict,0b0e8b5d9226539bc18ea87954fca510,ohmyzsh::::spelling.yml::::jobs::::comment::::needs::::spelling <-> ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_2::::id::::spelling
44d8edea05d940ceb593a025e27466e7c8727f03,MissingOptionConflict,ac917b5dba22f9e7df64a45e9ac23a31,ohmyzsh::::spelling.yml::::jobs::::comment::::steps::::steps_3::::with::::experimental_apply_changes_via_bot::::1 <-> ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_2::::with::::experimental_apply_changes_via_bot::::1
1c1d74c5ec49e5ab7e2d664e557c61745d1995e6,ModifiedOptionConflict,63f08938fdd07ec213f63718336a2a2c,ohmyzsh::::bug_report.yml::::body::::body_9::::type::::textarea <-> ohmyzsh::::feature_request.yml::::body::::body_1::::type::::textarea
e253661a9b3d8bba3acc90bc06c211f14ab8d587,MissingArtifactConflict,48252e4a0093eed8f16c17557ece531d,ohmyzsh::::main.yml::::jobs::::tests::::steps::::steps_0::::uses::::actions/checkout@v2 <-> ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_1::::uses::::actions/checkout@v2
44d8edea05d940ceb593a025e27466e7c8727f03,MissingOptionConflict,326703c7f64ea43221bdbd2347240399,ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_2::::with::::suppress_push_for_open_pull_request::::1 <-> ohmyzsh::::spelling.yml::::jobs::::update::::steps::::steps_1::::with::::experimental_apply_changes_via_bot::::1
44d8edea05d940ceb593a025e27466e7c8727f03,MissingOptionConflict,c44f63c4bf37b6b311d59bbcfbf5fb8d,ohmyzsh::::spelling.yml::::jobs::::comment::::steps::::steps_3::::uses::::check-spelling/check-spelling@prerelease <-> ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_2::::uses::::check-spelling/check-spelling@prerelease
95a66532d17181693b828bda95f4261e5421b409,MissingOptionConflict,4ba0d202aeb1a933eb7c77a43cc9bd64,ohmyzsh::::project.yml::::jobs::::add-to-project::::steps::::steps_3::::if::::github.event_name == 'pull_request_target' <-> ohmyzsh::::project.yml::::jobs::::add-to-project::::steps::::steps_4::::if::::github.event_name == 'pull_request_target'
44d8edea05d940ceb593a025e27466e7c8727f03,MissingOptionConflict,a62b1c3cc5bf4312a6d6d35d5a2cae9d,ohmyzsh::::spelling.yml::::jobs::::comment::::steps::::steps_2::::with::::name::::check-spelling-comment-${{ github.run_id }} <-> ohmyzsh::::spelling.yml::::jobs::::spelling::::steps::::steps_3::::with::::name::::check-spelling-comment-${{ github.run_id }}
95a66532d17181693b828bda95f4261e5421b409,ModifiedOptionConflict,4831be26560ed997e949b33793758aee,ohmyzsh::::project.yml::::jobs::::add-to-project::::name::::Add to project <-> ohmyzsh::::project.yml::::jobs::::add-to-project::::steps::::steps_2::::name::::Add to project
