occurred_at,conflict_type,conflict_id,link
754df58d4e330f5e855d062c885a80005862af3b,MissingOptionConflict,1cd585582745d1ca8f2ecd4641cb6da5,puppeteer::::package.json::::devDependencies::::markdown-toc::::^1.2.0 <-> puppeteer::::package.json::::devDependencies::::minimist::::^1.2.0
c49d10970f7ca0848fd7cab2511a6af98c255143,MissingOptionConflict,2b779d7464dbcb4cdc057cab28a60890,puppeteer::::main.yml::::jobs::::checks::::steps::::steps_0::::name::::Checkout <-> puppeteer::::publish-on-tag.yml::::jobs::::publish::::steps::::steps_0::::name::::Checkout
2d82e0891afdc3e8e836e2edcf8261e276fa49f3,ModifiedOptionConflict,88706f69dd9c124b89443c651c570245,puppeteer::::package.json::::devDependencies::::eslint::::^4.0.0 <-> puppeteer::::package.json::::devDependencies::::esprima::::^4.0.0
83d9d530ca5e9c9cb75e0acfe8f62c60d7edaa4a,MissingArtifactConflict,8c36ee3a12fcec2632005347fa5e9670,puppeteer::::.appveyor.yml::::install::::npm install <-> puppeteer::::.cirrus.yml::::task::::install_script::::npm install
e6b8c77d94a54dd1e8de561cc33f571c26e7b05d,MissingOptionConflict,b2a33eae121bde2b7ddab3aa6828ad3d,puppeteer::::.travis.yml::::jobs::::include::::node_js/12.16.3::::script::::travis_retry npm run unit <-> puppeteer::::.travis.yml::::jobs::::include::::os/windows::::script::::travis_retry npm run unit
83d9d530ca5e9c9cb75e0acfe8f62c60d7edaa4a,MissingOptionConflict,50fc2027d8395ace45ad09be7509c080,puppeteer::::.cirrus.yml::::task::::container::::dockerfile::::.ci/node10/Dockerfile.linux <-> puppeteer::::.cirrus.yml::::task::::matrix::::matrix_0::::container::::dockerfile::::.ci/node10/Dockerfile.linux
8c98315f40f7c4e1e4fa4e6c33d4399251890464,MissingOptionConflict,ed43b8e8450c2f878f94a9320e0c830c,puppeteer::::.travis.yml::::jobs::::include::::node_js/10.19.0::::node_js::::10.19.0 <-> puppeteer::::.travis.yml::::jobs::::include::::os/windows::::node_js::::10.19.0
78ebf401c2b55676603a0d029e16ab3ad62a0d81,MissingOptionConflict,1cc6eb67e7c0eb5dbb623d3256573b53,puppeteer::::.appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version::::7.10.1 <-> puppeteer::::.travis.yml::::jobs::::include::::node_js/7.10.1::::node_js::::7.10.1
c49d10970f7ca0848fd7cab2511a6af98c255143,MissingOptionConflict,e92435a80e35d1c1e38a7eef376334fb,puppeteer::::main.yml::::jobs::::checks::::steps::::steps_3::::name::::Build <-> puppeteer::::publish-on-tag.yml::::jobs::::publish::::steps::::steps_2::::name::::Build
e6b8c77d94a54dd1e8de561cc33f571c26e7b05d,MultiValueConflict,108d867f266ee8524dc6e5be737a9bf8,puppeteer::::.travis.yml::::jobs::::include::::node_js/14.2.0::::script::::travis_retry npm run unit <-> puppeteer::::.travis.yml::::jobs::::include::::os/windows::::script::::travis_retry npm run unit
c49d10970f7ca0848fd7cab2511a6af98c255143,MissingOptionConflict,9314601d1dcb846cedda00cc95a78349,puppeteer::::.travis.yml::::jobs::::include::::node_js/12::::node_js::::12 <-> puppeteer::::main.yml::::jobs::::checks::::strategy::::matrix::::node::::12
0e4477acf79d9a9b9278868e66d026f186039a67,MissingOptionConflict,020dbc5dd009b67bef127ff463757477,puppeteer::::.appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version::::7 <-> puppeteer::::.travis.yml::::jobs::::include::::node_js/7::::node_js::::7
