occurred_at,conflict_type,conflict_id,link
15b25d854a01642530c1e5f7a2016f6dba41a714,ModifiedOptionConflict,8104198fa317ecf2deb812ad29a0c853,react-native::::config.yml::::aliases::::aliases_22::::name::::Install BUCK <-> react-native::::config.yml::::jobs::::publish_npm_package::::steps::::steps_10::::run::::name::::Install BUCK
4f078d3fe287e81a5d3a7a5f612433de554147b1,MissingOptionConflict,cd0395db2740985d6db64adf0bbebced,react-native::::config.yml::::aliases::::aliases_33::::name::::Objective-C tvOS Test Suite <-> react-native::::config.yml::::jobs::::objc-tvos::::steps::::steps_4::::run::::name::::Objective-C tvOS Test Suite
498cf7e2d7c6888e5a049c94e9f72f4676d528b7,MissingOptionConflict,a74723f0891558d0890de045910ba95f,react-native::::config.yml::::aliases::::aliases_37::::name::::Objective-C iOS End-to-End Test Suite <-> react-native::::config.yml::::jobs::::test_objc_ios_e2e::::steps::::steps_1::::run::::name::::Objective-C iOS End-to-End Test Suite
b531612b2c917e1f2bd6bb37bf854fe51e658b36,MissingOptionConflict,c0c98dd1fd826457c79468028b8a4d20,react-native::::config.yml::::jobs::::test_android::::steps::::steps_35::::store_test_results::::path::::~/react-native/reports/junit <-> react-native::::config.yml::::jobs::::test_tvos::::steps::::steps_4::::store_test_results::::path::::~/react-native/reports/junit
a2f3ba864ed17ca32e71f15724a8ebf2b1e640c1,MissingOptionConflict,25c613085038fe6b645823a47b74ecae,"react-native::::config.yml::::aliases::::yarn install --non-interactive --cache-folder ~/.cache/yarn
 <-> react-native::::config.yml::::jobs::::test-podspec::::steps::::steps_1::::run::::yarn install --non-interactive --cache-folder ~/.cache/yarn
"
6da5779eb74edace6f741f54f8c85f05fbefe0b8,MissingOptionConflict,104b11d4d6f6e8eb16d2309c950b28b6,react-native::::config.yml::::aliases::::aliases_19::::paths::::ReactAndroid/build/downloads <-> react-native::::config.yml::::jobs::::test_android::::steps::::steps_26::::save-cache::::paths::::ReactAndroid/build/downloads
17bd6c8e84d9f5d42767a6f42a9a2cf812aa778b,MissingOptionConflict,d17b72d386d99cdec2263c8e0bb348f0,"react-native::::config.yml::::jobs::::test-android::::steps::::steps_15::::restore-cache::::keys::::v2-dependencies-{{ arch }}-{{ checksum ""package.json"" }} <-> react-native::::config.yml::::jobs::::test-js-node-8::::steps::::steps_2::::save-cache::::key::::v2-dependencies-{{ arch }}-{{ checksum ""package.json"" }}"
1e8a45f2067766f5c797d9b3d530b7a10ad88e17,MissingOptionConflict,99d73bf0d1d31b2866d1e7111f7b46b3,react-native::::config.yml::::aliases::::aliases_1::::paths::::~/.cache/yarn <-> react-native::::config.yml::::jobs::::checkout_code::::steps::::steps_3::::save-cache::::paths::::~/.cache/yarn
de1040fcff558a58e2a616efebaf55d9bf5332b0,MissingOptionConflict,712cb5834ee9be317a296d895a872e7a,react-native::::config.yml::::aliases::::aliases_27::::name::::Build Android App <-> react-native::::config.yml::::jobs::::test_android::::steps::::steps_23::::run::::name::::Build Android App
fa11faecb69f385a5c0aba60f4039612e46b87f3,ModifiedOptionConflict,742df139eb35cb796b71547bbd5df43e,react-native::::config.yml::::jobs::::android::::steps::::steps_15::::run::::buck fetch ReactAndroid/src/test/java/com/facebook/react/modules <-> react-native::::config.yml::::jobs::::deploy::::steps::::steps_18::::run::::buck fetch ReactAndroid/src/test/java/com/facebook/react/modules
15f84420f0c53f53f11a93b609385ca741379898,MissingOptionConflict,5529e2bfdc1c17f73e68f4bff0c1c05b,react-native::::config.yml::::defaults::::environment::::environment_0::::GIT_COMMIT_DESC::::git log --format=oneline -n 1 $CIRCLE_SHA1 <-> react-native::::config.yml::::jobs::::test_ios::::<<::::<<::::environment::::environment_0::::GIT_COMMIT_DESC::::git log --format=oneline -n 1 $CIRCLE_SHA1
4f078d3fe287e81a5d3a7a5f612433de554147b1,MissingOptionConflict,48b7f8e16698ddb95620439e275d5256,react-native::::config.yml::::aliases::::aliases_22::::name::::Build Android App <-> react-native::::config.yml::::jobs::::android::::steps::::steps_21::::run::::name::::Build Android App
aae3a7816ebe6e8e92a7797be0b2eea8acafe5a4,MissingOptionConflict,d8c7c4aea435fdb371baa70f40e9d263,"react-native::::config.yml::::aliases::::aliases_0::::keys::::v1-yarn-cache-{{ arch }}-{{ checksum ""package.json"" }} <-> react-native::::config.yml::::jobs::::publish_npm_package::::steps::::steps_13::::restore-cache::::keys::::v1-yarn-cache-{{ arch }}-{{ checksum ""package.json"" }}"
544adcaf4f559c7d36ea19119a463af589d900e0,MissingOptionConflict,5b557eebd456a603776e8c3963408007,react-native::::config.yml::::workflows::::tests::::jobs::::jobs_2::::test_javascript::::filters::::branches::::ignore::::gh-pages <-> react-native::::config.yml::::workflows::::tests::::jobs::::jobs_3::::test_node10::::filters::::branches::::ignore::::gh-pages
f7729a5933fe34c0ca3b3ea5a3407ff1701c7d10,MissingOptionConflict,2ea6c4d3a17560f121b52655456998a6,react-native::::config.yml::::jobs::::publish_npm_package::::steps::::steps_9::::save-cache::::paths::::/opt/ndk <-> react-native::::config.yml::::jobs::::test_android::::steps::::steps_11::::save-cache::::paths::::/opt/ndk
3362da421ce919fc6f4f1bda29b59e2e3bfe02de,ModifiedOptionConflict,64dde7ce1aae84d174c9737c9712a998,react-native::::config.yml::::aliases::::aliases_9::::key::::v1-android-ndk-{{ arch }}-r10e-32-64 <-> react-native::::config.yml::::jobs::::deploy::::steps::::steps_8::::save-cache::::key::::v1-android-ndk-{{ arch }}-r10e-32-64
