occurred_at,conflict_type,conflict_id,link
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,0bbad28115e2b3214ead50d05fcfb2f6,react::::config.yml::::jobs::::build::::steps::::checkout <-> react::::config.yml::::jobs::::flow::::steps::::checkout
3630bf3559b72d66437187901fb5eab3f976c6a4,MissingArtifactConflict,d5db52fc200426918dd82776197db343,react::::.travis.yml::::rvm::::2.2.3 <-> react::::circle.yml::::machine::::ruby::::version::::2.2.3
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,77a5c7cbbc37888c19a3298cc125db88,react::::config.yml::::jobs::::build::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile <-> react::::config.yml::::jobs::::lint::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile
4ef269606c691f9b8c833f18d75342b34ef021db,MissingOptionConflict,fe89dffa5cb52a1ff9f5a092d77702c8,"react::::config.yml::::jobs::::test_build_devtools::::steps::::steps_1::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}-{{ checksum ""yarn.lock"" }} <-> react::::config.yml::::jobs::::test_dom_fixtures::::steps::::steps_1::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}-{{ checksum ""yarn.lock"" }}"
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,fdc90c3c2e834a14fc20d1ed2a645b25,react::::config.yml::::jobs::::build::::steps::::checkout <-> react::::config.yml::::jobs::::lint::::steps::::checkout
dc3160887bb3ff8578c4e0b14438b081d85866e2,MissingOptionConflict,4082a10a58a131eadfbaebec618fc2a9,react::::config.yml::::jobs::::test_coverage::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile <-> react::::config.yml::::jobs::::test_fuzz::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,bc1d87611cad3ea5ae9af7230ce8bcb4,react::::config.yml::::aliases::::aliases_1::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}- <-> react::::config.yml::::jobs::::build::::steps::::steps_0::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}-
dc3160887bb3ff8578c4e0b14438b081d85866e2,MissingOptionConflict,c12838d2f5b5a1ca99d5e4aa7c4f2f8d,react::::config.yml::::jobs::::flow::::environment::::TZ::::/usr/share/zoneinfo/America/Los_Angeles <-> react::::config.yml::::jobs::::test_coverage::::environment::::TZ::::/usr/share/zoneinfo/America/Los_Angeles
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,592ebc56cb32f7a437f51f68e7d6d8d8,react::::config.yml::::jobs::::build::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile <-> react::::config.yml::::jobs::::flow::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,04b450ee5390adb3fd4ccc1017457c77,react::::config.yml::::jobs::::build::::docker::::docker_0::::image::::circleci/openjdk:8-jdk-node-browsers <-> react::::config.yml::::jobs::::test_source_prod::::docker::::docker_0::::image::::circleci/openjdk:8-jdk-node-browsers
dc3160887bb3ff8578c4e0b14438b081d85866e2,MissingOptionConflict,8251629c197b0a82d137f88d5e968fe4,react::::config.yml::::jobs::::build::::steps::::steps_0::::restore_cache::::keys::::v1-node-{{ arch }}- <-> react::::config.yml::::jobs::::test_coverage::::steps::::steps_0::::restore_cache::::keys::::v1-node-{{ arch }}-
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,4cbf72ecc556288a1de9dd507ad69db9,react::::config.yml::::jobs::::build::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile <-> react::::config.yml::::jobs::::test_source::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile
9243bc194c240d3f06ccd5e4333f3488f2628e2f,MissingOptionConflict,9a06786fc7f61098b54a6a50a7fe8d38,react::::package.json::::dependencies::::@babel/preset-react::::^7.0.0 <-> react::::package.json::::devDependencies::::@babel/plugin-proposal-class-properties::::^7.0.0
9cce0c2752a7f8cf3e9f900f244d9c4f51d63f19,MissingOptionConflict,b6f40bb2e9fb760a34080e64f6478fa6,react::::.travis.yml::::env::::matrix::::TEST_TYPE=perf:full <-> react::::.travis.yml::::matrix::::allow_failures::::env/TEST_TYPE=perf:full::::env::::TEST_TYPE=perf:full
9243bc194c240d3f06ccd5e4333f3488f2628e2f,MissingOptionConflict,514068db8742636f29855bf587ffb499,react::::package.json::::dependencies::::@babel/preset-react::::^7.0.0 <-> react::::package.json::::devDependencies::::@babel/preset-env::::^7.0.0
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,a843827f02f8eb2e1385d557b4e5ba8d,react::::config.yml::::jobs::::build::::steps::::steps_0::::restore_cache::::name::::Restore node_modules cache <-> react::::config.yml::::jobs::::flow::::steps::::steps_0::::restore_cache::::name::::Restore node_modules cache
51f1205fb4fd6402b155202263ee12571ca4c3a6,MissingArtifactConflict,45ac2f1f58b45b7ad203500cf74eda42,react::::nav_docs.yml::::nav_docs.yml_0::::items::::items_10::::title::::Lifting State Up <-> react::::nav_tutorial.yml::::nav_tutorial.yml_0::::items::::items_1::::title::::Lifting State Up
9243bc194c240d3f06ccd5e4333f3488f2628e2f,MissingOptionConflict,ce3f6f0a54e8106128d5f911c3e20aee,react::::package.json::::dependencies::::@babel/preset-react::::^7.0.0 <-> react::::package.json::::devDependencies::::@babel/core::::^7.0.0
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,34071bfbc94adacf838493905606eda2,react::::config.yml::::jobs::::build::::steps::::steps_0::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}- <-> react::::config.yml::::jobs::::test_build::::steps::::steps_1::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}-
4c1514495bf77acad2677b9944726e512691150e,MissingOptionConflict,f120980bbeae6627b1324ff385b414b2,react::::config.yml::::jobs::::build::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile <-> react::::config.yml::::jobs::::test_source_devtools::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,61b41bf2e90a25ec420a60c9a59710b7,react::::config.yml::::jobs::::build::::docker::::docker_0::::image::::circleci/openjdk:8-jdk-node-browsers <-> react::::config.yml::::jobs::::test_build_prod::::docker::::docker_0::::image::::circleci/openjdk:8-jdk-node-browsers
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,c0978cd5e5971fee19140656e4049695,react::::config.yml::::jobs::::build::::steps::::steps_0::::restore_cache::::name::::Restore node_modules cache <-> react::::config.yml::::jobs::::lint_build::::steps::::steps_1::::restore_cache::::name::::Restore node_modules cache
dc3160887bb3ff8578c4e0b14438b081d85866e2,MissingOptionConflict,1399ea6e106d673c2fba30f989c13850,react::::config.yml::::workflows::::commit::::jobs::::jobs_3::::test_source_prod::::requires::::setup <-> react::::config.yml::::workflows::::hourly::::jobs::::jobs_1::::test_coverage::::requires::::setup
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,b7defc7d0322a94c9a89717b0b844fa6,react::::config.yml::::jobs::::build::::steps::::steps_0::::restore_cache::::name::::Restore node_modules cache <-> react::::config.yml::::jobs::::lint::::steps::::steps_0::::restore_cache::::name::::Restore node_modules cache
5e0dfdac54e509a97483af1f78af09451c03bfbb,MissingOptionConflict,f4c51fc05c079d4cfd2f8f8f527fbd98,react::::package.json::::dependencies::::react-dom::::link:../../build/node_modules/react-dom <-> react::::package.json::::devDependencies::::react-dom::::link:../../build/node_modules/react-dom
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,db56e7cc72d8dd7707ef55f68b7d404f,react::::config.yml::::jobs::::build::::steps::::steps_1::::run::::command::::yarn --frozen-lockfile <-> react::::config.yml::::jobs::::test_build::::steps::::steps_2::::run::::command::::yarn --frozen-lockfile
ebb1d316bd7998db04916fd8fdb8d5f4a1b7df58,MissingArtifactConflict,fef88437986d89223ea387aa08490eee,react::::_config.yml::::timezone::::America/Los_Angeles <-> react::::circle.yml::::machine::::timezone::::America/Los_Angeles
c6f99c3a8421294dd785bae21f0b9c1d599c7eed,MultiValueConflict,0456d59008ac681622f3b20918e6d58f,react::::.travis.yml::::env::::matrix::::TEST_TYPE=test:webdriver:saucelabs BROWSER_NAME=ios5 <-> react::::.travis.yml::::matrix::::allow_failures::::env/TEST_TYPE=test:webdriver:saucelabs BROWSER_NAME=ios5::::env::::TEST_TYPE=test:webdriver:saucelabs BROWSER_NAME=ios5
5e0dfdac54e509a97483af1f78af09451c03bfbb,MissingOptionConflict,2ee99e5575d7b8b6a97499653bfbc087,react::::package.json::::dependencies::::object-assign::::^4.1.1 <-> react::::package.json::::devDependencies::::object-assign::::^4.1.1
26361427ae1ee24827509a8fdf08953d7e4ec1c8,MissingArtifactConflict,98d72b155272ba772668dbfcbbde0271,react::::appveyor.yml::::install::::yarn install --frozen-lockfile <-> react::::config.yml::::jobs::::build::::steps::::steps_3::::run::::command::::yarn install --frozen-lockfile
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,b5dd719611212bfb2b8440a4bd70f24c,"react::::config.yml::::jobs::::build::::steps::::steps_3::::save_cache::::key::::v1-node-{{ arch }}-{{ .Branch }}-{{ checksum ""yarn.lock"" }} <-> react::::config.yml::::jobs::::test_source_prod::::steps::::steps_0::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}-{{ checksum ""yarn.lock"" }}"
dc3160887bb3ff8578c4e0b14438b081d85866e2,MissingOptionConflict,e51dcb8f8b0073125324f6117a969988,react::::config.yml::::jobs::::build::::steps::::steps_2::::run::::name::::Install Packages <-> react::::config.yml::::jobs::::test_source::::steps::::steps_1::::run::::name::::Install Packages
a6aba5a587e52ae48c8d735d5d9a0413e170e512,MissingOptionConflict,ea0ade7f18d8756c53eceef284fcd0b6,"react::::config.yml::::jobs::::build::::steps::::steps_0::::restore_cache::::keys::::v1-node-{{ arch }}-{{ .Branch }}-{{ checksum ""yarn.lock"" }} <-> react::::config.yml::::jobs::::setup::::steps::::steps_3::::save_cache::::key::::v1-node-{{ arch }}-{{ .Branch }}-{{ checksum ""yarn.lock"" }}"
9a6c5deeb6a90e8cffeef980f22dc968509a737c,MissingOptionConflict,b250fc0fc696f5dc37fca1c3902dc149,react::::acknowledgements.yml::::unnamed_option::::Dan Abramov <-> react::::authors.yml::::gaearon::::name::::Dan Abramov
4ef269606c691f9b8c833f18d75342b34ef021db,MissingOptionConflict,7733470d095e2235b66358d82ee59691,react::::config.yml::::jobs::::test_build::::docker::::docker_0::::image::::circleci/openjdk:8-jdk-node-browsers <-> react::::config.yml::::jobs::::test_build_devtools::::docker::::docker_0::::image::::circleci/openjdk:8-jdk-node-browsers
17aef05d750d9951c935e748a67e92229eea72ab,MultiValueConflict,2417fd085c430ec817ee28a33ddc3815,react::::.travis.yml::::env::::matrix::::TEST_TYPE=test:coverage <-> react::::.travis.yml::::matrix::::allow_failures::::env/TEST_TYPE=test:coverage::::env::::TEST_TYPE=test:coverage
5e0dfdac54e509a97483af1f78af09451c03bfbb,MissingOptionConflict,aba40141db6146aefa83715c8d1156bd,react::::package.json::::dependencies::::create-react-class::::^15.6.2 <-> react::::package.json::::dependencies::::prop-types::::^15.6.2
17aef05d750d9951c935e748a67e92229eea72ab,MultiValueConflict,19eb33d473e30ae9cd21998f7e6faf11,react::::.travis.yml::::env::::matrix::::TEST_TYPE=perf:full <-> react::::.travis.yml::::matrix::::allow_failures::::env/TEST_TYPE=perf:full::::env::::TEST_TYPE=perf:full
