occurred_at,conflict_type,conflict_id,link
8ad72f17c28112c4a75be277e973b2a610a06329,ModifiedOptionConflict,70df7ba4518032245b51266127a08ec5,storybook::::package.json::::dependencies::::babel-runtime::::^6.3.14 <-> storybook::::package.json::::devDependencies::::babel-cli::::^6.3.14
8b973a302a2d79c8d8193acf785a610d4e29ea1b,ModifiedOptionConflict,6b863b903c439c9ad225e059f7887d14,storybook::::package.json::::devDependencies::::eslint::::1.7.x <-> storybook::::package.json::::devDependencies::::nodemon::::1.7.x
b4d9ee0a6d7563fe7a42a43742408557bc28f013,MissingOptionConflict,9f31f8396bd316491b02e764436b7395,storybook::::config.yml::::workflows::::build_accept_deploy::::jobs::::docs <-> storybook::::dependencies.yml::::collectors::::collectors_0::::path::::docs
83294fe83c78ffa5201cdc2450d50f15aea5dd51,MissingOptionConflict,e89ccfd28225608f51ea7dbd0a2fbf54,storybook::::package.json::::devDependencies::::@kadira/storybook::::* <-> storybook::::package.json::::peerDependencies::::@kadira/storybook-addons::::*
52d538e50bd209ce3297cb7f90a5f399387a6d73,MissingOptionConflict,3959bb984b2db98a17ddc1f1d005fbab,storybook::::package.json::::dependencies::::redbox-react::::^1.2.2 <-> storybook::::package.json::::devDependencies::::redbox-react::::^1.2.2
f586419a829a68603d2f4652e300a9f1bfd5a688,MissingOptionConflict,b559b792a7e52c99b9644f6b4178a710,storybook::::package.json::::devDependencies::::@storybook/addons::::^3.0.0-alpha.0 <-> storybook::::package.json::::devDependencies::::@storybook/ui::::^3.0.0-alpha.0
bcd50576d8bd7d8e01eb05832ca200bbfb804545,ModifiedOptionConflict,915ba329d7734df55ef77f0227fa383d,storybook::::package.json::::devDependencies::::react::::^15.2.0 <-> storybook::::package.json::::peerDependencies::::react::::^15.2.0
f586419a829a68603d2f4652e300a9f1bfd5a688,ModifiedOptionConflict,86bd701fdb2d6840b86ffbd73a28ffe9,storybook::::package.json::::devDependencies::::@storybook/addons::::3.0.0-alpha.0 <-> storybook::::package.json::::version::::3.0.0-alpha.0
bb9e1f42c3d8fb851f806276ea44686ab2fcfd1a,ModifiedOptionConflict,dc82eb64c851dd020b0fe5520b281bce,storybook::::package.json::::devDependencies::::react-native::::^0.31.0 <-> storybook::::package.json::::peerDependencies::::react-native::::^0.31.0
f95d5d00a55b60104a6b73d75b5920f57fb4ae15,ModifiedOptionConflict,5b80c032bd88d2c3586668c33d10a9ea,storybook::::package.json::::dependencies::::@kadira/storybook-ui::::^3.1.0 <-> storybook::::package.json::::devDependencies::::eslint-plugin-babel::::^3.1.0
1bcb2759de8ae7913991c3e82cd503612ccfafdf,ModifiedOptionConflict,a80d5862e4ffcda4984bbda7432616ce,storybook::::package.json::::devDependencies::::babel-eslint::::^7.0.0 <-> storybook::::package.json::::devDependencies::::eslint-config-airbnb::::^7.0.0
e5173270fd4f92936fead26652edbcdc4d690552,ModifiedOptionConflict,597229a271be2858e9d5db1947f43d42,storybook::::package.json::::devDependencies::::react-addons-test-utils::::^0.14.7 || ^15.0.0 <-> storybook::::package.json::::peerDependencies::::react::::^0.14.7 || ^15.0.0
5e9527de491f898b10d7c147930dc51f482e51c1,ModifiedOptionConflict,026575ad2970b8e07f3730ca3ba6311c,storybook::::package.json::::devDependencies::::babel-cli::::^6.5.0 <-> storybook::::package.json::::devDependencies::::babel-plugin-transform-runtime::::^6.5.0
02a1bc67f40771e194fd783669aaffbc1fe98d39,ModifiedOptionConflict,7f08c978ca71fc0da0681bad152ec995,storybook::::package.json::::devDependencies::::react-dom::::^0.14.7 || ^15.0.0 <-> storybook::::package.json::::peerDependencies::::react::::^0.14.7 || ^15.0.0
93b05774e39f6afd44b6e27e392b3cd1c8e9e044,MissingOptionConflict,e9dc02d0a3e2eceef7b44f79b2d1126f,storybook::::package.json::::dependencies::::react-dom::::^15.2.1 <-> storybook::::package.json::::dependencies::::react::::^15.2.1
83294fe83c78ffa5201cdc2450d50f15aea5dd51,MissingOptionConflict,358b8b882bc2c60a79abc61058e3b7c6,storybook::::package.json::::dependencies::::react-router::::^2.6.1 <-> storybook::::package.json::::dependencies::::rimraf::::^2.6.1
9ade0664d145096512e4e0c480c08ccb8f2f3a97,ModifiedOptionConflict,04fc5f0432c761659895aa0cee55defb,storybook::::dependencies.yml::::collectors::::collectors_0::::actors::::actors_0::::type::::js-lerna <-> storybook::::dependencies.yml::::collectors::::collectors_0::::type::::js-lerna
7edbd155c531744b31b9cd3352bb39fc5bf4d0cb,ModifiedOptionConflict,d9cbddaef79d5d49632fb1c39a2471a9,storybook::::package.json::::devDependencies::::babel-cli::::^6.5.0 <-> storybook::::package.json::::devDependencies::::babel-plugin-transform-runtime::::^6.5.0
23dcc339d65659f17cb02019537e6d9b185cfc93,ModifiedOptionConflict,73f2a66adffbc40c12f84c7178957bb2,storybook::::package.json::::devDependencies::::chai::::^3.5.0 <-> storybook::::package.json::::devDependencies::::eslint::::^3.5.0
5e9527de491f898b10d7c147930dc51f482e51c1,ModifiedOptionConflict,f9052bdf9472d3f7055e5ec167fa1a3f,storybook::::package.json::::devDependencies::::babel-core::::^6.5.0 <-> storybook::::package.json::::devDependencies::::babel-preset-react::::^6.5.0
5f2cb4e7eebeb3a673d276b442a90cbd5e0cb053,MissingOptionConflict,2e1d84218f9de234e8f4e7b48327ce84,storybook::::package.json::::devDependencies::::@storybook/addon-actions::::3.0.0-alpha.1 <-> storybook::::package.json::::version::::3.0.0-alpha.1
