occurred_at,conflict_type,conflict_id,link
c468a87a69754b865575f115a2c8efa024c82cb5,MissingOptionConflict,5a00f29d49c8bfd6a43a60b6ead1f137,transformers::::config.yml::::jobs::::run_tests_layoutlmv2::::steps::::steps_12::::store_artifacts::::path::::~/transformers/tests_output.txt <-> transformers::::config.yml::::jobs::::run_tests_pipelines_tf::::steps::::steps_7::::store_artifacts::::path::::~/transformers/tests_output.txt
4c19f3baabba02140aea7bc4f8fe9b344621e3b4,MissingOptionConflict,c4c770ca32341c3f279b7023dedb6dd9,transformers::::config.yml::::jobs::::run_tests_custom_tokenizers::::steps::::steps_6::::store_artifacts::::path::::~/transformers/output.txt <-> transformers::::config.yml::::jobs::::run_tests_flax::::steps::::steps_6::::store_artifacts::::path::::~/transformers/output.txt
58f672e65ca6e2efe8c8ed7abcb5392429309af7,MissingOptionConflict,0401ef52693a44a17dc28965185d1af9,"transformers::::self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_6::::run::::python -m venv .env
source .env/bin/activate
which python
python --version
pip --version
 <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_6::::run::::python -m venv .env
source .env/bin/activate
which python
python --version
pip --version
"
f1299f50381b81fc10f9c40360b901b38859f9e4,ModifiedOptionConflict,76c1e546780f4f307f5b52138c055665,transformers::::self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_10::::name::::Failure short reports <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_9::::name::::Failure short reports
02bdfc025169a301a57f48a7642c69de3d10a2db,MissingOptionConflict,3cb15ff5b9321c7a9fb690c3afa62c2d,transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_7::::name::::Are GPUs recognized by our DL frameworks <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_multiple_gpu::::steps::::steps_7::::name::::Are GPUs recognized by our DL frameworks
d0b3797a3be095f74659341ed396cc8bccff96f6,MissingOptionConflict,da212243f1f5d6e278c6b7c2bff0b8c8,transformers::::self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_4::::env::::HF_HOME::::/mnt/cache <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_6::::env::::HF_HOME::::/mnt/cache
58f672e65ca6e2efe8c8ed7abcb5392429309af7,ModifiedOptionConflict,542d31ed8873b6f7938d2723f7033845,transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_3::::run::::pwd <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_3::::run::::pwd
58f672e65ca6e2efe8c8ed7abcb5392429309af7,ModifiedOptionConflict,50699e67131dbabffd887dc34260ea04,transformers::::self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_2::::run::::pwd <-> transformers::::self-push.yml::::jobs::::run_tests_torch_gpu::::steps::::steps_2::::run::::pwd
f1299f50381b81fc10f9c40360b901b38859f9e4,MissingOptionConflict,820d58f796c1930f56908c7dd028477f,"transformers::::self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_5::::run::::python -m venv .env
source .env/bin/activate
which python
python --version
pip --version
 <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_5::::run::::python -m venv .env
source .env/bin/activate
which python
python --version
pip --version
"
58f672e65ca6e2efe8c8ed7abcb5392429309af7,MissingOptionConflict,477608bf7ccc47e099a495c7c01d2106,transformers::::model-templates.yml::::jobs::::run_tests_templates::::steps::::steps_8::::name::::Test suite reports artifacts <-> transformers::::self-push.yml::::jobs::::run_tests_tf_multi_gpu::::steps::::steps_11::::name::::Test suite reports artifacts
