occurred_at,conflict_type,conflict_id,link
eef153de409c51f484a15eb8da891d3eecb54b6d,ModifiedOptionConflict,7cb75cd8eecf81ad49c8b23900ab09fa,Chart::::package.json::::devDependencies::::gulp-eslint::::^5.0.0 <-> Chart::::package.json::::devDependencies::::rollup-plugin-node-resolve::::^5.0.0
efa0ade501b774a71938437e78b429eb2b0a4d2a,ModifiedOptionConflict,9b6bada7e20a480005fa6868b69faa66,Chart::::deploy-docs.yml::::jobs::::build::::steps::::steps_2::::env::::GITHUB_TOKEN::::${{ secrets.GH_AUTH_TOKEN }} <-> Chart::::npmpublish.yml::::jobs::::publish-npm::::steps::::steps_5::::env::::GITHUB_TOKEN::::${{ secrets.GH_AUTH_TOKEN }}
49935347ff84861f332db7b34f7429b83062d1b5,ModifiedOptionConflict,5cc3ea2134d109772ae511fe87f80ec3,Chart::::package.json::::devDependencies::::eslint-config-esnext::::^4.0.0 <-> Chart::::package.json::::devDependencies::::gulp::::^4.0.0
75791988d3d7187a747a26a25051ca41835b24ad,ModifiedOptionConflict,e72dcdc115cf949e53f0ddbabd52e36c,Chart::::package.json::::devDependencies::::jasmine-core::::^2.5.0 <-> Chart::::package.json::::devDependencies::::jasmine::::^2.5.0
3cb2d7050e0976f92383beb48bee07e5d579a2c0,ModifiedOptionConflict,f561925d1bb27d8af362b57f3edbf109,Chart::::package.json::::devDependencies::::karma-jasmine::::^2.0.0 <-> Chart::::package.json::::devDependencies::::vinyl-source-stream::::^2.0.0
7610def1c4709467b2a9136e62a8e54d1a529aef,ModifiedOptionConflict,07e836875146c5e5abfdd5f95d3dd26f,Chart::::ci.yml::::jobs::::build::::steps::::steps_2::::name::::Setup xvfb <-> Chart::::npmpublish.yml::::jobs::::test::::steps::::steps_2::::name::::Setup xvfb
1110d4dd1996619ff89344b69e5d66716dcc6ddf,ModifiedOptionConflict,52c51677111a4cdedd80d9b4f0d98e97,Chart::::ci.yml::::jobs::::build::::steps::::steps_7::::if::::steps.changes.outputs.src == 'true' <-> Chart::::ci.yml::::jobs::::build::::steps::::steps_8::::if::::steps.changes.outputs.src == 'true'
49935347ff84861f332db7b34f7429b83062d1b5,ModifiedOptionConflict,55a80bf89d03cb692a9ff64ca66e2bc7,Chart::::package.json::::devDependencies::::babel-preset-es2015-rollup::::^3.0.0 <-> Chart::::package.json::::devDependencies::::karma-chrome-launcher::::^3.0.0
f68b8adaac713f4ce321f4f53fdcd319e021b584,ModifiedOptionConflict,28b63016a023555314c9c6615322e286,Chart::::package.json::::devDependencies::::coveralls::::^3.0.0 <-> Chart::::package.json::::devDependencies::::rollup-plugin-terser::::^3.0.0
e90edd8c9aaea1f0124f19cfa4105f94f950207e,ModifiedOptionConflict,66e38d37fbe675bfc92a3ead420ec59f,Chart::::package.json::::dependencies::::chartjs-color::::^2.0.0 <-> Chart::::package.json::::devDependencies::::gulp-eslint::::^2.0.0
eef153de409c51f484a15eb8da891d3eecb54b6d,ModifiedOptionConflict,8cf908d1221db46c8326cf8c300935f5,Chart::::package.json::::devDependencies::::eslint-plugin-html::::^5.0.0 <-> Chart::::package.json::::devDependencies::::rollup-plugin-node-resolve::::^5.0.0
44a624f2d13bf0339672b95661fdc5203dfd9343,ModifiedOptionConflict,c0f5e6a833c4d442eb30c4e365ac5bf3,Chart::::package.json::::devDependencies::::gulp-replace::::^1.0.0 <-> Chart::::package.json::::devDependencies::::rollup::::^1.0.0
44a624f2d13bf0339672b95661fdc5203dfd9343,ModifiedOptionConflict,93011ac3403fbddd296aee8c49afa52d,Chart::::package.json::::devDependencies::::eslint::::^6.0.0 <-> Chart::::package.json::::devDependencies::::gulp-eslint::::^6.0.0
75791988d3d7187a747a26a25051ca41835b24ad,ModifiedOptionConflict,2170edf358c064045b115e7731ed0f9f,Chart::::package.json::::devDependencies::::browserify-istanbul::::^2.0.0 <-> Chart::::package.json::::devDependencies::::karma-chrome-launcher::::^2.0.0
