occurred_at,conflict_type,conflict_id,link
e1a96b812ecb4057bd7cc171ff31f66974a2f625,ModifiedOptionConflict,437f89b6f728e2b0c3399c5ac6e99261,flutter::::fix_data.yaml::::transforms::::transforms_1::::title::::Remove 'backwardsCompatibility' <-> flutter::::fix_data.yaml::::transforms::::transforms_3::::title::::Remove 'backwardsCompatibility'
3a9e7e3bef1357559bba8bdf0ce6fcd2f1f86d00,ModifiedOptionConflict,7c04a98ab8a93104cc03d4c9932cd316,flutter::::fix_data.yaml::::transforms::::transforms_2::::element::::inClass::::ThemeData <-> flutter::::fix_data.yaml::::transforms::::transforms_3::::element::::inClass::::ThemeData
20d8ea78f4faaa160d10023f6a3739d657525305,ModifiedOptionConflict,26ce9f2f629f5c20058c6b4f048d23ea,flutter::::.cirrus.yml::::task::::matrix::::matrix_2::::env::::matrix::::matrix_0::::SHARD::::integration_tests <-> flutter::::.cirrus.yml::::task::::matrix::::matrix_6::::env::::SHARD::::integration_tests
0f705b7e257688fe10c6851543ca13f87a72d2e0,ModifiedOptionConflict,da261a80a79b79e1bea658f6c483a65c,flutter::::manifest.yaml::::tasks::::backdrop_filter_perf_ios__timeline_summary::::required_agent_capabilities::::mac/ios <-> flutter::::manifest.yaml::::tasks::::post_backdrop_filter_perf_ios__timeline_summary::::required_agent_capabilities::::mac/ios
29292ba428ba03c4196e321b19d8ff4779391889,ModifiedOptionConflict,f059517c58f589be1be2d020a63f0b05,flutter::::fix_data.yaml::::transforms::::transforms_20::::element::::method::::of <-> flutter::::fix_data.yaml::::transforms::::transforms_8::::element::::method::::of
f1e5551c4504c20c217feee1b63521c392a374e0,ModifiedOptionConflict,17e19141700427f073fdf1338a63d6ad,flutter::::manifest.yaml::::tasks::::hot_mode_dev_cycle_ios__preview_dart_2_benchmark::::stage::::devicelab <-> flutter::::manifest.yaml::::tasks::::platform_interaction_test::::stage::::devicelab
1d0aa02ac7e0725c3d908b8ef107752e6451adec,ModifiedOptionConflict,8c438ffdcc9b644454a933f55bdb77e9,flutter::::.cirrus.yml::::task::::matrix::::matrix_0::::env::::SHARD::::tests <-> flutter::::.cirrus.yml::::task::::matrix::::matrix_2::::env::::SHARD::::tests
dbfd0bef9e118505865fdea22aa0af765735bb66,ModifiedOptionConflict,76ec9d09f25962487c2fd1a822c8eb78,flutter::::manifest.yaml::::tasks::::external_ui_integration_test_ios::::stage::::devicelab <-> flutter::::manifest.yaml::::tasks::::microbenchmarks::::stage::::devicelab
3c7122a79754214df866bf51b24b334161246c42,ModifiedOptionConflict,28688b3fc333f35888a7ee702ee794d8,flutter::::manifest.yaml::::tasks::::basic_material_app_ios__size::::required_agent_capabilities::::has-android-device <-> flutter::::manifest.yaml::::tasks::::flutter_gallery__back_button_memory::::required_agent_capabilities::::has-android-device
45d01c95de73eadd01f150add0577c291f3edf63,ModifiedOptionConflict,8aafa3968b1ea06f488199646f8b18a0,flutter::::fix_data.yaml::::transforms::::transforms_10::::element::::inClass::::TextTheme <-> flutter::::fix_data.yaml::::transforms::::transforms_5::::element::::inClass::::TextTheme
4feb18ca3dd392ed55459cae77688625b0d4f8c5,ModifiedOptionConflict,b20789a2f7a138ff1b368c1941bfed83,flutter::::fix_data.yaml::::transforms::::transforms_1::::title::::Migrate to autovalidateMode <-> flutter::::fix_data.yaml::::transforms::::transforms_3::::title::::Migrate to autovalidateMode
e70236e36ce1d32067dc68eb55519ec3e14b6b01,ModifiedOptionConflict,51cdef4ff1beed361bdedd9ba2a2adf0,flutter::::.cirrus.yml::::task::::matrix::::matrix_14::::env::::SHARD::::integration_tests <-> flutter::::.cirrus.yml::::task::::matrix::::matrix_6::::env::::SHARD::::integration_tests
252f6a02855194f17678dd29254cf6216f049f14,ModifiedOptionConflict,843ab136aafb5bfba295ddc0ea84765b,flutter::::fix_data.yaml::::transforms::::transforms_0::::changes::::changes_0::::kind::::rename <-> flutter::::fix_data.yaml::::transforms::::transforms_74::::oneOf::::oneOf_0::::changes::::changes_0::::kind::::rename
45d01c95de73eadd01f150add0577c291f3edf63,ModifiedOptionConflict,40be0f295239e29df67c39e61f797c36,flutter::::fix_data.yaml::::transforms::::transforms_10::::date::::2020-01-24 <-> flutter::::fix_data.yaml::::transforms::::transforms_4::::date::::2020-01-24
bde6b162a093bf418d45a015e6b73085f6e68a1d,ModifiedOptionConflict,7aba7ab9b93b2582db72f0b91598d79b,flutter::::fix_data.yaml::::transforms::::transforms_0::::changes::::changes_0::::kind::::rename <-> flutter::::fix_data.yaml::::transforms::::transforms_46::::changes::::changes_0::::kind::::rename
a664731a14182982ca5d43060138367a58e9d295,ModifiedOptionConflict,9d91fb14571b41ad4bf99e1788b85ee2,flutter::::fix_data.yaml::::transforms::::transforms_40::::date::::2020-12-23 <-> flutter::::fix_data.yaml::::transforms::::transforms_8::::date::::2020-12-23
391e91c9966866e9507357776b2afa6f3f70aa19,ModifiedOptionConflict,4cb1550858a826bf5d33c5a01c04a655,flutter::::.cirrus.yml::::task::::matrix::::matrix_2::::test_script::::dart ./dev/bots/test.dart <-> flutter::::.cirrus.yml::::task::::matrix::::matrix_3::::test_script::::dart ./dev/bots/test.dart
b730ba1a3eac868f598a73b78aea4ae08f3b9f04,ModifiedOptionConflict,8233e4b24ca48d2a58f821d4cebb630d,flutter::::fix_data.yaml::::transforms::::transforms_16::::title::::Migrate to 'removeRenderObjectChild' <-> flutter::::fix_data.yaml::::transforms::::transforms_1::::title::::Migrate to 'removeRenderObjectChild'
fe37426becfccfd6b340165a8dcab16af13525d7,ModifiedOptionConflict,a4f47dc54e24fbda0671233950ad6d2c,flutter::::fix_data.yaml::::transforms::::transforms_0::::changes::::changes_0::::newName::::viewId <-> flutter::::fix_data.yaml::::transforms::::transforms_1::::changes::::changes_0::::newName::::viewId
