occurred_at,conflict_type,conflict_id,link
63a9ae4e2b17584c98b3a8f4d68d25920899fb4d,ModifiedOptionConflict,f250a974d64cf241e34583eb87541b51,elasticsearch::::pom.xml::::project::::build::::plugins::::plugin_org.codehaus.mojo/rpm-maven-plugin::::configuration::::mappings::::mapping::::groupname::::elasticsearch <-> elasticsearch::::pom.xml::::project::::name::::elasticsearch
df3bbd42b99c1b2559e50ef3cac7360b8808ccc2,ModifiedOptionConflict,76871724458514953b5e71d0db997895,elasticsearch::::15_basic.yaml::::X-Pack Info::::X-Pack Info_10::::is_true::::features.graph <-> elasticsearch::::15_basic.yaml::::X-Pack Info::::X-Pack Info_61::::is_true::::features.graph
eac04e2adc1d09a0de2c08489ce0b0c11cfb777e,ModifiedOptionConflict,06108795ecf8ff48500b6ebf9dd35838,elasticsearch::::20_source_filtering.yaml::::Source filtering::::Source filtering_9::::do::::explain::::id::::1 <-> elasticsearch::::60_query_string.yaml::::search with query_string parameters::::search with query_string parameters_12::::match::::hits.total::::1
32e23b9100b769cf9f45fb7459648422dd473ccb,ModifiedOptionConflict,64b2b6b6cf28c5a76a3185c68f229ad6,elasticsearch::::11_metric.yaml::::Metric - one::::Metric - one_11::::is_false::::_all.total.fielddata <-> elasticsearch::::13_fields.yaml::::Fields - completion metric::::Fields - completion metric_1::::is_false::::_all.total.fielddata
005304afa97a51deadc1a8db7280ca8e2260515a,ModifiedOptionConflict,749b07d323c274cb8f1c648ab137e234,elasticsearch::::15_basic.yaml::::X-Pack Info and Usage::::X-Pack Info and Usage_4::::is_false::::license <-> elasticsearch::::15_basic.yaml::::X-Pack Info and Usage::::X-Pack Info and Usage_59::::is_false::::license
df3bbd42b99c1b2559e50ef3cac7360b8808ccc2,ModifiedOptionConflict,02030e2b4143c979616d9b42eaaea3fb,elasticsearch::::15_basic.yaml::::X-Pack Info::::X-Pack Info_35::::is_true::::license <-> elasticsearch::::15_basic.yaml::::X-Pack Info::::X-Pack Info_46::::is_true::::license
6e1ab497574d4345a7a7e29a612619d44eecdcb1,ModifiedOptionConflict,feda9cc7be02d06a307d1d098e777bc9,elasticsearch::::pom.xml::::project::::properties::::elasticsearch.version::::2.0.0-SNAPSHOT <-> elasticsearch::::pom.xml::::project::::version::::2.0.0-SNAPSHOT
b1c62b02b0a0f49d4217c522501ee9df694139e2,ModifiedOptionConflict,429cfa64f05bbe3a6cc765e620ca8fe3,elasticsearch::::pom.xml::::project::::build::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::version::::2.3.2 <-> elasticsearch::::pom.xml::::project::::build::::plugins::::plugin_org.apache.maven.plugins/maven-jar-plugin::::version::::2.3.2
703c2b3e828beac2b570b36a8fa6cfba8936940a,ModifiedOptionConflict,5df6953f77e99106a23e523bee69bf2b,elasticsearch::::pom.xml::::project::::artifactId::::elasticsearch <-> elasticsearch::::pom.xml::::project::::name::::elasticsearch
b1284d03017cee528c865d427e0b404785e72ab6,ModifiedOptionConflict,0458300a1100732046e38240f710a019,elasticsearch::::40_parent.yaml::::Parent::::Parent_0::::skip::::version::::0 - 0.90.2 <-> elasticsearch::::85_fields_meta.yaml::::Fields::::Fields_0::::skip::::version::::0 - 0.90.2
005304afa97a51deadc1a8db7280ca8e2260515a,ModifiedOptionConflict,cb608986aba683ef907b2324492d2123,elasticsearch::::15_basic.yaml::::X-Pack Info and Usage::::X-Pack Info and Usage_46::::is_true::::tagline <-> elasticsearch::::15_basic.yaml::::X-Pack Info and Usage::::X-Pack Info and Usage_76::::is_true::::tagline
32e23b9100b769cf9f45fb7459648422dd473ccb,ModifiedOptionConflict,908999e613b4100f7df917fab629aa06,elasticsearch::::11_metric.yaml::::Metric - blank::::Metric - blank_11::::is_true::::_all.total.fielddata <-> elasticsearch::::13_fields.yaml::::Fields - completion metric::::Fields - completion metric_1::::is_false::::_all.total.fielddata
4231aa4feb0361015cfc3eb3080e3b2772877f84,ModifiedOptionConflict,eaa98a36e3dc4e7b0a2e46ca51d41b04,elasticsearch::::30_single_value_field.yaml::::setup::::setup_3::::index::::id::::2 <-> elasticsearch::::40_range.yaml::::IP range::::IP range_2::::do::::index::::id::::2
ece18f162ef06a6c7658ab7641d48133115b82ef,ModifiedOptionConflict,c8463a72a6a579c5ab63883dfab8d0dc,elasticsearch::::11_metric.yaml::::Metric - blank::::Metric - blank_14::::is_true::::_all.total.completion <-> elasticsearch::::13_fields.yaml::::Fields - fielddata metric::::Fields - fielddata metric_4::::is_false::::_all.total.completion
06b392d581f427e37e00d5096d4241b42b322610,ModifiedOptionConflict,1c6b19000752093b4fa716f62a90a87e,elasticsearch::::pom.xml::::project::::artifactId::::elasticsearch <-> elasticsearch::::pom.xml::::project::::name::::elasticsearch
3a0aa1312767c6380022fc1404d3610c64ebe985,ModifiedOptionConflict,bf3ad00ba6509c7ea837028cfc4603b7,elasticsearch::::15_basic.yaml::::X-Pack Info and Usage::::X-Pack Info and Usage_104::::is_true::::features.graph <-> elasticsearch::::15_basic.yaml::::X-Pack Info and Usage::::X-Pack Info and Usage_10::::is_true::::features.graph
3aa4ac9caac65c1566d6fbac7fa0a1551d7b3993,ModifiedOptionConflict,a8d08f1de9aaca33763868be26234759,elasticsearch::::15_script.yaml::::Script::::Script_13::::match::::_version::::3 <-> elasticsearch::::20_docs.yaml::::Basic mlt query with docs::::Basic mlt query with docs_2::::do::::index::::id::::3
300d7c67d2b1fa566b73edb4bca94e2604dd0442,ModifiedOptionConflict,41b30211c15388d64a95fcc8a8f6ea73,elasticsearch::::post_data.yaml::::Test Flush data with invalid parameters::::Test Flush data with invalid parameters_2::::do::::xpack.prelert.flush_job::::job_id::::foo <-> elasticsearch::::revert_model_snapshot.yaml::::Test revert model with only job_id::::Test revert model with only job_id_0::::do::::xpack.prelert.revert_model_snapshot::::job_id::::foo
3aa4ac9caac65c1566d6fbac7fa0a1551d7b3993,ModifiedOptionConflict,808065642f606e150f291bfb2a770e89,elasticsearch::::18_highligh_with_query.yaml::::Basic percolation highlight query test::::Basic percolation highlight query test_3::::do::::percolate::::body::::highlight::::fields::::foo::::highlight_query::::match::::foo::::foo <-> elasticsearch::::20_docs.yaml::::Basic mlt query with docs::::Basic mlt query with docs_2::::do::::index::::body::::foo::::foo
ece18f162ef06a6c7658ab7641d48133115b82ef,ModifiedOptionConflict,9814177e001a88717127db270cfdf866,elasticsearch::::11_metric.yaml::::Metric - _all::::Metric - _all_14::::is_true::::_all.total.completion <-> elasticsearch::::13_fields.yaml::::Fields - fielddata metric::::Fields - fielddata metric_4::::is_false::::_all.total.completion
df3bbd42b99c1b2559e50ef3cac7360b8808ccc2,ModifiedOptionConflict,a5e1d81f001a812e2a19d8ce89cb3bf9,elasticsearch::::15_basic.yaml::::X-Pack Info::::X-Pack Info_68::::is_false::::features.monitoring.description <-> elasticsearch::::15_basic.yaml::::X-Pack Info::::X-Pack Info_95::::is_true::::features.monitoring.description
de9fca9cb26cb90aeaecada6bae35d219b07c5ca,ModifiedOptionConflict,2b746e5d96e8921ccdc4f75643fed51d,elasticsearch::::20_multiple_indices.yaml::::setup::::setup_3::::do::::cluster.health::::wait_for_status::::yellow <-> elasticsearch::::50_field_wildcards.yaml::::setup::::setup_2::::do::::cluster.health::::wait_for_status::::yellow
98c164c3f00fb3bf08cc7063184a6151a95ddbcf,ModifiedOptionConflict,8eaf91e92335f00f285106eddcc3db0f,elasticsearch::::30_new_fields.yaml::::Update-by-query picks up new fields::::Update-by-query picks up new fields_0::::do::::indices.create::::body::::mappings::::place::::properties::::name::::type::::text <-> elasticsearch::::40_aliases.yaml::::Getting mapping for aliases should return the real index as key::::Getting mapping for aliases should return the real index as key_0::::do::::indices.create::::body::::mappings::::test_type::::properties::::text::::type::::text
ece18f162ef06a6c7658ab7641d48133115b82ef,ModifiedOptionConflict,10925e0483be54c3e75cd2f491c37c1c,elasticsearch::::11_metric.yaml::::Metric - multi::::Metric - multi_12::::is_false::::_all.total.fielddata <-> elasticsearch::::13_fields.yaml::::Fields - completion metric::::Fields - completion metric_1::::is_false::::_all.total.fielddata
570cde7a6ade9790aa32e79f1c1d71ff042f9a4f,ModifiedOptionConflict,c7fe3c038b3c9a9d710f7806b5154bc4,elasticsearch::::jobs_get_result_influencers.yaml::::setup::::setup_1::::do::::index::::body::::result_type::::influencer <-> elasticsearch::::revert_model_snapshot.yaml::::setup::::setup_8::::do::::index::::body::::result_type::::influencer
b7bcb5bb3ad4cad80b08ee6c666d71e8fd5b342e,ModifiedOptionConflict,ef1bbc1f67b6a45506a47c74420cda83,elasticsearch::::20_terms.yaml::::Partitioned integer test::::Partitioned integer test_1::::do::::index::::id::::2 <-> elasticsearch::::30_single_value_field.yaml::::setup::::setup_3::::index::::id::::2
610ce078fb3c84c47d6d32aff7d77ba850e28f9d,ModifiedOptionConflict,c7057939e4bd41564b16d63847ef7848,elasticsearch::::pom.xml::::project::::properties::::lucene.maven.version::::4.10.2 <-> elasticsearch::::pom.xml::::project::::properties::::lucene.version::::4.10.2
ad36c3f0dd549bfe85e5a07f169a96e32902ffd8,ModifiedOptionConflict,59b8d3ba97289ca3b0fd5a45fa174d0d,elasticsearch::::20_minimal_body.yaml::::Test execute watch api with minimal body::::Test execute watch api with minimal body_0::::do::::cluster.health::::wait_for_status::::green <-> elasticsearch::::30_put_watch_with_action_throttle_period.yaml::::Test put watch api with action level throttle period::::Test put watch api with action level throttle period_0::::do::::cluster.health::::wait_for_status::::green
63a9ae4e2b17584c98b3a8f4d68d25920899fb4d,ModifiedOptionConflict,42c51eda83658b833469b0622276eccb,elasticsearch::::pom.xml::::project::::build::::plugins::::plugin_org.codehaus.mojo/rpm-maven-plugin::::configuration::::defaultDirmode::::755 <-> elasticsearch::::pom.xml::::project::::build::::plugins::::plugin_org.vafer/jdeb::::executions::::execution::::configuration::::dataSet::::data::::mapper::::filemode::::755
7ce41e13f5cc7114d57110ca59a14f66ad1c9617,ModifiedOptionConflict,8888146cf2538beb318712e4f85193d0,elasticsearch::::pom.xml::::project::::parent_org.elasticsearch.plugin/plugins::::version::::2.1.0-SNAPSHOT <-> elasticsearch::::pom.xml::::project::::version::::2.1.0-SNAPSHOT
