occurred_at,conflict_type,conflict_id,link
7ef8f06cd25a2d1e9d6c514ef798b8402129e904,ModifiedOptionConflict,e393331387c6e4c8aac1a92d5ea2cfd7,atom::::appveyor.yml::::artifacts::::artifacts_5::::name::::RELEASES-x64 <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_13::::inputs::::ArtifactName::::RELEASES-x64
5634a6447ad6c3e84f48b9225efed8f5d0c273ba,ModifiedOptionConflict,48655c0c4c6c7a5e56936ee9e40ec892,atom::::linux.yml::::phases::::phases_0::::steps::::steps_5::::displayName::::Stage Artifacts <-> atom::::macos.yml::::phases::::phases_0::::steps::::steps_4::::displayName::::Stage Artifacts
8e836b026ff471ed9983e55199ec0988b23d86d5,ModifiedOptionConflict,5e885e47af5d5c73c2e92ecf74893d1f,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName::::Build Atom <-> atom::::macos.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName::::Build Atom
2406f2c66bc1a29cb7baac656a263d10f148af9f,ModifiedOptionConflict,40fe1d0f4de59d2aab7536fadb877c11,"atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_12::::condition::::ne(variables['Atom.SkipTests'], 'true') <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_13::::condition::::ne(variables['Atom.SkipTests'], 'true')"
c293c4399704f373d306f7e66c879a6cfa05bdc6,ModifiedOptionConflict,7efce23b18cd2c379a6e0d53432448b2,atom::::nightly-release.yml::::phases::::phases_3::::template::::linux.yml <-> atom::::stable-beta-release.yml::::phases::::phases_2::::template::::linux.yml
7c3a628336d9722bac758e1d895d089f28f12108,ModifiedOptionConflict,e1db78622cb0786925e79bba435b15ab,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_0::::displayName::::Install Node.js 10.2.1 <-> atom::::release-branch-build.yml::::jobs::::jobs_4::::steps::::steps_0::::displayName::::Install Node.js 10.2.1
91a79ef4acad9d161b551f5d70351172afafa4da,ModifiedOptionConflict,3589c824c6e03aba3ef676e0f37e3e41,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_5::::template::::templates/test.yml <-> atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_4::::template::::templates/test.yml
ca7170b76b437551b95ab55d9e567de5f9dee759,ModifiedOptionConflict,8277e4633502adb2ad1e3e37e5cbc363,atom::::macos.yml::::jobs::::jobs_0::::steps::::steps_7::::script::::script/bootstrap <-> atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_3::::script::::script/bootstrap
1fec04a2d0d37c528f56a793dbdf11e64a799854,ModifiedOptionConflict,5fb6e6520dbd6593cefdde9e95fdab8a,"atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_13::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest')) <-> atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_14::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest'))"
bde2fe82f0c0f9598597933fbe0dba868c4e836b,ModifiedOptionConflict,3e38d3225fd1af0b434b813802753498,"atom::::nightly-release.yml::::jobs::::jobs_0::::steps::::steps_0::::script::::cd script\vsts
npm install
 <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_3::::script::::cd script\vsts
npm install
"
254bb1f6f78c82efb3292ab526f1145a97851b17,ModifiedOptionConflict,34d0d690f42a89727389a62769c2ab74,atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_2::::displayName::::Install Node.js 12.13.1 <-> atom::::nightly-release.yml::::jobs::::jobs_5::::steps::::steps_0::::displayName::::Install Node.js 12.13.1
445548e68d9a00b3a92ed2b90be6021e90f1b768,ModifiedOptionConflict,6a3081c1c6dbe37855a0f3d2e20f4a74,"atom::::linux.yml::::jobs::::jobs_0::::steps::::steps_8::::script::::script/postprocess-junit-results --search-folder ""${TEST_JUNIT_XML_ROOT}"" --test-results-files ""**/*.xml"" <-> atom::::macos.yml::::jobs::::jobs_1::::steps::::steps_9::::script::::script/postprocess-junit-results --search-folder ""${TEST_JUNIT_XML_ROOT}"" --test-results-files ""**/*.xml"""
fe55686b36cab2f2e522941a48d39796e2dc28d7,ModifiedOptionConflict,141846de2db0bcbb425431fff040c27a,atom::::macos.yml::::phases::::phases_0::::steps::::steps_6::::inputs::::PathtoPublish::::$(Build.ArtifactStagingDirectory) <-> atom::::windows.yml::::phases::::phases_0::::steps::::steps_5::::inputs::::PathtoPublish::::$(Build.ArtifactStagingDirectory)
4dd4123aa18e536fe1f0b6c7f1a22d6f9be7a76e,ModifiedOptionConflict,8f88889dfff681b330414795a13274df,atom::::linux.yml::::phases::::phases_0::::steps::::steps_5::::script::::rm -rf $(Build.SourcesDirectory)/out/*/ <-> atom::::macos.yml::::phases::::phases_0::::steps::::steps_4::::script::::rm -rf $(Build.SourcesDirectory)/out/*/
efeb2cdb0a2a907f36eb763658a48a5cd8dea46e,ModifiedOptionConflict,5d843b09bd46a5786e764b6b07e54b6e,atom::::appveyor.yml::::artifacts::::artifacts_5::::name::::RELEASES-x64 <-> atom::::windows.yml::::jobs::::jobs_0::::steps::::steps_15::::inputs::::ArtifactName::::RELEASES-x64
4dd4123aa18e536fe1f0b6c7f1a22d6f9be7a76e,ModifiedOptionConflict,2714e1e98ed8bad6e7d8c27eb1b3e739,atom::::linux.yml::::phases::::phases_0::::steps::::steps_7::::displayName::::Upload Artifacts <-> atom::::macos.yml::::phases::::phases_0::::steps::::steps_6::::displayName::::Upload Artifacts
