occurred_at,conflict_type,conflict_id,link
af6c2c71ed7282791f0f09fd9e5aadb948e5bbbf,ModifiedOptionConflict,d0ed77ca7437bd4fc01fae8bc3f1af62,bitcoin::::gitian.yml::::suites::::lucid <-> bitcoin::::qt-win32.yml::::suites::::lucid
75a2a4f3574436bb174d6f9a7f9a0d0e8a601cac,ModifiedOptionConflict,04cd8136a8ebf590b2db68cc89820d96,bitcoin::::.appveyor.yml::::test_script::::test_script_0::::cmd::::src\test_bitcoin.exe -k stdout -e stdout 2> NUL <-> bitcoin::::ci.yml::::jobs::::build::::steps::::steps_8::::run::::src\test_bitcoin.exe -k stdout -e stdout 2> NUL
75d9317bc1aecaab95bf875f8dca97ac3daddff4,ModifiedOptionConflict,42ac295b6f53596c3a8c29eceabbe4b3,bitcoin::::.appveyor.yml::::environment::::QT_DOWNLOAD_URL::::https://github.com/sipsorcery/qt_win_binary/releases/download/v1.4/Qt5.9.8_x64_static_vs2019.zip <-> bitcoin::::ci.yml::::jobs::::build::::env::::QT_DOWNLOAD_URL::::https://github.com/sipsorcery/qt_win_binary/releases/download/v1.4/Qt5.9.8_x64_static_vs2019.zip
af6c2c71ed7282791f0f09fd9e5aadb948e5bbbf,ModifiedOptionConflict,f68d73403ae6178f962536e0ba9b7570,bitcoin::::deps-win32.yml::::suites::::lucid <-> bitcoin::::gitian.yml::::suites::::lucid
1aead42d41178d0eeeae2c1b7d0131af9d6fffd2,ModifiedOptionConflict,05a7b0abaff49fc4a4771a11ac8db214,bitcoin::::gitian-linux.yml::::remotes::::remotes_0::::dir::::bitcoin <-> bitcoin::::gitian-win.yml::::name::::bitcoin
41aa9c4a801a01eca1fad22a7095372d23dace60,ModifiedOptionConflict,691f3ef84e8e4ccc52a25914152a27c0,bitcoin::::gitian-linux.yml::::remotes::::remotes_0::::dir::::bitcoin <-> bitcoin::::gitian-win.yml::::name::::bitcoin
0b5a366bd70119b34b112825d69804057141535f,ModifiedOptionConflict,5cbdd0eb8ce597d232ee2c138c088da1,bitcoin::::.appveyor.yml::::test_script::::test_script_2::::ps::::python test\util\bitcoin-util-test.py <-> bitcoin::::ci.yml::::jobs::::build::::steps::::steps_11::::run::::python test\util\bitcoin-util-test.py
27fc6a38f813b65e5110c77925a335214aec756a,ModifiedOptionConflict,634fc411492630366c5ca0548b6f168a,bitcoin::::.appveyor.yml::::environment::::QT_DOWNLOAD_HASH::::9a8c6eb20967873785057fdcd329a657c7f922b0af08c5fde105cc597dd37e21 <-> bitcoin::::ci.yml::::jobs::::build::::env::::QT_DOWNLOAD_HASH::::9a8c6eb20967873785057fdcd329a657c7f922b0af08c5fde105cc597dd37e21
27fc6a38f813b65e5110c77925a335214aec756a,ModifiedOptionConflict,ba94a1abeb49899c362ece086230df4f,bitcoin::::.appveyor.yml::::before_build::::before_build_2::::cmd::::python build_msvc\msvc-autogen.py <-> bitcoin::::ci.yml::::jobs::::build::::steps::::steps_7::::run::::python build_msvc\msvc-autogen.py
5fdf32de7ed85a1a0aec7cdedb83f750f4a0f7ff,ModifiedOptionConflict,15833541eefce2a6bd1686502b0dab38,bitcoin::::gitian-linux.yml::::remotes::::remotes_0::::dir::::bitcoin <-> bitcoin::::gitian-win.yml::::name::::bitcoin
