occurred_at,conflict_type,conflict_id,link
bba039d2fd1ffbd95a03589e9e87fd55cb273302,ModifiedOptionConflict,1b00decb23c1a05d343273f99a4b03d6,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_28::::browser::::Safari
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_29::::browser::::Safari
"
eb18554b9ed8830534a87a2c71d3d57452137656,ModifiedOptionConflict,a70ffb3a26af68c67ab3db4eb5039f21,"bootstrap::::browser-features.yml::::browser-features.yml_10::::summary::::Implement the HTML5 [`<dialog>` element](https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dialog)
 <-> bootstrap::::browser-features.yml::::browser-features.yml_5::::summary::::Implement the HTML5 [`<dialog>` element](https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dialog)
"
c0eff6a61a19249778fbee3b908d8f0614e4393d,ModifiedOptionConflict,d9ae384a4db3335abac6d6a96b0267e5,"bootstrap::::browser-features.yml::::browser-features.yml_5::::summary::::Implement the [`of <selector-list>` clause](http://caniuse.com/#feat=css-nth-child-of) of the `:nth-child()` pseudo-class
 <-> bootstrap::::browser-features.yml::::browser-features.yml_7::::summary::::Implement the [`of <selector-list>` clause](http://caniuse.com/#feat=css-nth-child-of) of the `:nth-child()` pseudo-class
"
3dc4b3647ce2b27b0216fe8103253ffe9633fde9,ModifiedOptionConflict,5df7d70a578307803d3299c8e8ffe3f4,"bootstrap::::browser-features.yml::::browser-features.yml_0::::summary::::Implement the [`:dir()` pseudo-class](https://developer.mozilla.org/en-US/docs/Web/CSS/:dir) from Selectors Level 4
 <-> bootstrap::::browser-features.yml::::browser-features.yml_10::::summary::::Implement the [`:dir()` pseudo-class](https://developer.mozilla.org/en-US/docs/Web/CSS/:dir) from Selectors Level 4
"
62c07b67bffd4af51de354299eac01d905323c03,ModifiedOptionConflict,7aabc667a1f52b3a27884c18d3918dc4,"bootstrap::::browser-bugs.yml::::browser-bugs.yml_35::::origin::::Bootstrap#14839
 <-> bootstrap::::browser-bugs.yml::::browser-bugs.yml_36::::origin::::Bootstrap#14839
"
8a2d845a4f7fe1611da79c6d4349d9bcd1117832,ModifiedOptionConflict,74d7aa1970bd24ac1a597e2dcf33b3d1,bootstrap::::.scss-lint.yml::::linters::::Comment::::exclude::::scss/bootstrap.scss <-> bootstrap::::package.json::::sass::::scss/bootstrap.scss
f8dfb8a2e77c8d791699955145246c1bad67d5c4,ModifiedOptionConflict,62c37acf0c1728e37020fbc9f5ea0200,"bootstrap::::browser-features.yml::::browser-features.yml_12::::origin::::Bootstrap#20618
 <-> bootstrap::::browser-features.yml::::browser-features.yml_3::::origin::::Bootstrap#20618
"
2721f6042bc8106e35c3db21f382fc968bfce931,ModifiedOptionConflict,ba31d3fa17f09a4f82a6b4075175c0b4,bootstrap::::bundlewatch.yml::::jobs::::bundlewatch::::steps::::steps_3::::name::::Install npm dependencies <-> bootstrap::::lint.yml::::jobs::::lint::::steps::::steps_3::::name::::Install npm dependencies
532dffdd46f1da2f557f6095d9f128ee64e4729e,ModifiedOptionConflict,fa6de4311a0d64e58420b985c8150bec,bootstrap::::sauce_browsers.yml::::sauce_browsers.yml_5::::browserName::::chrome <-> bootstrap::::sauce_browsers.yml::::sauce_browsers.yml_8::::browserName::::chrome
97bcfb9e7fcc140c32d4e7657f0db09128eb909d,ModifiedOptionConflict,d8e7683a63a413b136872f449bf97509,bootstrap::::nav.yml::::nav.yml_2::::pages::::pages_27::::title::::Carousel <-> bootstrap::::nav.yml::::nav.yml_3::::pages::::pages_9::::title::::Carousel
