occurred_at,conflict_type,conflict_id,link
ca5998326deebf79845ca00f616b8dad11d90509,ModifiedOptionConflict,61f595723d327ffc21c2d81a4ff23d12,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::nodejs_version::::10 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::10
a452ddcd4114dc17442ee294a6b9d009f38feb16,ModifiedOptionConflict,8a4cbf9e0268b274884e0b5c5397a458,create-react-app::::azure-pipelines-test-job.yml::::parameters::::configurations::::LinuxNode8::::vmImage::::ubuntu-16.04 <-> create-react-app::::azure-pipelines.yml::::jobs::::jobs_4::::parameters::::configurations::::LinuxNode8::::vmImage::::ubuntu-16.04
ece4dbf3a58168f07b8cad631aef569cd89d3c2f,ModifiedOptionConflict,6d0f964726b04c8fa0a0b61840f1128a,create-react-app::::build.yml::::jobs::::build::::steps::::steps_2::::name::::Build <-> create-react-app::::build.yml::::name::::Build
577a274d8cf829941d848ce10f69d2a4935a9f2a,ModifiedOptionConflict,0b5e5c51a0111b6a3b933984063d36d3,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_1::::test_suite::::installs <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::test_suite::::installs
577a274d8cf829941d848ce10f69d2a4935a9f2a,ModifiedOptionConflict,a17f1a8f1faf34924f3f0e98bbc01e6d,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::test_suite::::kitchensink <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_5::::test_suite::::kitchensink
366e5d3475fa21fe4743c6865b870d9f0e2bbbcc,ModifiedOptionConflict,9bd575de44114f3c835911e220d80f24,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_0::::test_suite::::simple <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::test_suite::::simple
815853db7fdd1f372701ecc09f90b7d5b45f7b87,ModifiedOptionConflict,ff24a2e85105e28a472346a01e49b4aa,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::nodejs_version::::8 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_3::::nodejs_version::::8
b43ad04b880f460ed23dbb7968bae634bf7dbc91,ModifiedOptionConflict,74a03f01f86724456818b46313f492fb,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_3::::nodejs_version::::6 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_5::::nodejs_version::::6
50b4857ff89e1e54f030bdf00395090a6b465dfb,ModifiedOptionConflict,bc51cec6520c299b3ac4c4a91a399a4c,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::nodejs_version::::10 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::10
366e5d3475fa21fe4743c6865b870d9f0e2bbbcc,ModifiedOptionConflict,54eb6cb4926c1262971a0b0c00b54f3a,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::test_suite::::kitchensink <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_6::::test_suite::::kitchensink
a452ddcd4114dc17442ee294a6b9d009f38feb16,ModifiedOptionConflict,5d794b00e07786ae903b733125ae03dd,create-react-app::::azure-pipelines.yml::::jobs::::jobs_4::::parameters::::configurations::::LinuxNode10::::vmImage::::ubuntu-16.04 <-> create-react-app::::azure-pipelines.yml::::jobs::::jobs_6::::pool::::vmImage::::ubuntu-16.04
366e5d3475fa21fe4743c6865b870d9f0e2bbbcc,ModifiedOptionConflict,b19b676e21938f3c577f6f59a4a9b25a,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::6 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_6::::nodejs_version::::6
e8319da3d8d4ebbda5f6a18f0a7db74751513734,ModifiedOptionConflict,08560f4f5e310d1d9a963801d3c4427c,create-react-app::::build.yml::::jobs::::build::::steps::::steps_3::::run::::npm ci --prefer-offline <-> create-react-app::::integration.yml::::jobs::::job::::steps::::steps_3::::run::::npm ci --prefer-offline
b43ad04b880f460ed23dbb7968bae634bf7dbc91,ModifiedOptionConflict,4b3f3f41f651a400f1fe92a622614968,create-react-app::::appveyor.yml::::environment::::matrix::::matrix_2::::test_suite::::kitchensink <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_5::::test_suite::::kitchensink
8b0d21fb3d35312c169249fc89ae73922ab69b88,ModifiedOptionConflict,b756659ca2a2d416c2d7a19f4fdaa4a2,create-react-app::::azure-pipelines-test-job.yml::::parameters::::configurations::::LinuxNode10::::vmImage::::ubuntu-16.04 <-> create-react-app::::azure-pipelines.yml::::jobs::::jobs_5::::pool::::vmImage::::ubuntu-16.04
ece4dbf3a58168f07b8cad631aef569cd89d3c2f,ModifiedOptionConflict,b73fe0647cfc4148da9c9d040643d411,create-react-app::::azure-pipelines-test-job.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName::::Run tests <-> create-react-app::::azure-pipelines.yml::::jobs::::jobs_2::::steps::::steps_1::::displayName::::Run tests
