occurred_at,conflict_type,conflict_id,link
e02403bb4590da6823eb956bcbc89e9a937d431d,ModifiedOptionConflict,473617fbdd954b8250aea43da2777b86,deno::::ci.yml::::jobs::::build::::steps::::steps_14::::name::::Log versions <-> deno::::wpt_epoch.yml::::jobs::::wpt::::steps::::steps_3::::name::::Log versions
622f9c688902411e347038e82fc5c354c60678cf,ModifiedOptionConflict,3f7d792567a49f085a040b95387c08bf,"deno::::ci.yml::::jobs::::build::::steps::::steps_15::::with::::path::::./target
!./target/*/gn_out
!./target/*/*.zip
!./target/*/*.tar.gz
 <-> deno::::ci.yml::::jobs::::build::::steps::::steps_16::::with::::path::::./target
!./target/*/gn_out
!./target/*/*.zip
!./target/*/*.tar.gz
"
e02403bb4590da6823eb956bcbc89e9a937d431d,ModifiedOptionConflict,25b412a162bf8cbfe09c7a53d21868df,deno::::ci.yml::::jobs::::build::::steps::::steps_37::::if::::matrix.kind == 'bench' <-> deno::::ci.yml::::jobs::::build::::steps::::steps_39::::if::::matrix.kind == 'bench'
0473d832c138a7acc25372441cfa01848e6b9915,ModifiedOptionConflict,b67b9a4527917dbde144094bf10c91f3,deno::::package.json::::devDependencies::::rollup-plugin-analyzer::::^2.1.0 <-> deno::::package.json::::devDependencies::::rollup-plugin-replace::::^2.1.0
e02403bb4590da6823eb956bcbc89e9a937d431d,ModifiedOptionConflict,5d29a35ba6ec779c77eaac0e123b9943,deno::::ci.yml::::jobs::::build::::steps::::steps_17::::if::::github.ref != 'refs/heads/main' <-> deno::::ci.yml::::jobs::::build::::steps::::steps_18::::if::::github.ref != 'refs/heads/main'
6f8975ad786e3c8f7cc6fe0f374e704f06741b18,ModifiedOptionConflict,b7876e44b8c98be9fe8a6900bed60641,"deno::::ci.yml::::jobs::::build::::steps::::steps_33::::if::::runner.os == 'Linux' &&
matrix.kind == 'test' &&
matrix.profile == 'release' &&
github.repository == 'denoland/deno' &&
github.ref == 'refs/heads/main'
 <-> deno::::ci.yml::::jobs::::build::::steps::::steps_34::::if::::runner.os == 'Linux' &&
matrix.kind == 'test' &&
matrix.profile == 'release' &&
github.repository == 'denoland/deno' &&
github.ref == 'refs/heads/main'
"
ff96c95bbb5979aa2cbdc9e3e8500c596636de05,ModifiedOptionConflict,3975ae9af85e1dbe6ffc8c244034257a,deno::::ci.yml::::jobs::::build::::steps::::steps_31::::if::::matrix.kind == 'bench' <-> deno::::ci.yml::::jobs::::build::::steps::::steps_33::::if::::matrix.kind == 'bench'
17d35fdd7ef11cadf7951fc4d25868adfecf130b,ModifiedOptionConflict,49116ba6a6dd5a06440b6102ea909172,deno::::ci.yml::::jobs::::build::::steps::::steps_28::::if::::matrix.kind == 'test' && matrix.profile == 'debug' <-> deno::::ci.yml::::jobs::::build::::steps::::steps_32::::if::::matrix.kind == 'test' && matrix.profile == 'debug'
351d40e51cd5fc09c36df93da890d16587f29756,ModifiedOptionConflict,c3bed2626679070fdd1db85dbca2dee0,"deno::::build.yml::::jobs::::build::::steps::::steps_20::::if::::startsWith(matrix.os, 'ubuntu') <-> deno::::build.yml::::jobs::::build::::steps::::steps_6::::if::::startsWith(matrix.os, 'ubuntu')"
ddbfe9b5aa13e469eb8f2e074352bcdbb9e8c71b,ModifiedOptionConflict,f747d3cd904d3047618dbab08cd45835,deno::::build.yml::::jobs::::build::::steps::::steps_18::::if::::matrix.kind == 'bench' <-> deno::::build.yml::::jobs::::build::::steps::::steps_20::::if::::matrix.kind == 'bench'
