occurred_at,conflict_type,conflict_id,link
4bbb70de742e13db9b5b793a8e54c70d49bfaccc,ModifiedOptionConflict,d110df375764345042398c5f9b87f74a,"electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_3::::condition::::and(succeeded(), eq(variables['ELECTRON_RELEASE'], '1')) <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_7::::condition::::and(succeeded(), eq(variables['ELECTRON_RELEASE'], '1'))"
a524c5ec126746db91bf24f5f915a7f5f432ad02,ModifiedOptionConflict,70246b544cf27fd68456cc6a7aa62b32,"electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_14::::condition::::and(succeeded(), eq(variables['ELECTRON_RELEASE'], '1')) <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_2::::condition::::and(succeeded(), eq(variables['ELECTRON_RELEASE'], '1'))"
91559191c9f587b87e8ea34615bafd75c54a7db3,ModifiedOptionConflict,66f3de02442e511aa6aed12ecd355516,electron::::vsts.yml::::steps::::steps_5::::name::::Test <-> electron::::vsts.yml::::steps::::steps_6::::name::::Test
4bbb70de742e13db9b5b793a8e54c70d49bfaccc,ModifiedOptionConflict,1216f6085801ee6d390cd5e4ff05f694,"electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_21::::condition::::and(failed(), eq(variables['NOTIFY_SLACK'], '1')) <-> electron::::vsts.yml::::jobs::::jobs_1::::steps::::steps_12::::condition::::and(failed(), eq(variables['NOTIFY_SLACK'], '1'))"
6fc2a2a051712ec063e52543e124f0e6c108d0ad,ModifiedOptionConflict,b2e6efe8ad3a14c3cd52a964199cfdbc,electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_0::::timeoutInMinutes::::1 <-> electron::::vsts.yml::::jobs::::jobs_1::::steps::::steps_7::::timeoutInMinutes::::1
f766bb483daf644633f0f2b753317d25fc7e1c5b,ModifiedOptionConflict,390d74171551822f2228c615cf266683,"electron::::bug_report.yml::::body::::body_0::::attributes::::options::::options_2::::label::::I have searched the [issue tracker](https://www.github.com/electron/electron/issues) for a feature request that matches the one I want to file, without success. <-> electron::::feature_request.yml::::body::::body_0::::attributes::::options::::options_2::::label::::I have searched the [issue tracker](https://www.github.com/electron/electron/issues) for a feature request that matches the one I want to file, without success."
4b0f335aba7fe701644c4238a374faf67773cdc8,ModifiedOptionConflict,69ad156bf5e95cfe18f3bae2a6f46403,electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_15::::task::::PublishBuildArtifacts@1 <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_16::::task::::PublishBuildArtifacts@1
515525cfc68731ae879af606b79e8cc1a6b9c91a,ModifiedOptionConflict,8d60f01f2d6842b863a460aa4412c82a,electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_14::::timeoutInMinutes::::1 <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_6::::timeoutInMinutes::::1
034a792df1fbecee23ef42f906032e2087adf8c6,ModifiedOptionConflict,dc5c3a3a1ccb098cc6f62021e322a777,electron::::azure-pipelines-arm.yml::::steps::::steps_11::::displayName::::Clean Agent Directories <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_12::::displayName::::Clean Agent Directories
063ac1971244e9d0411a6046e4840c975e38f726,ModifiedOptionConflict,8eebf6711ccc24ba3e507dc7c7a98c22,electron::::azure-pipelines-arm.yml::::steps::::steps_12::::displayName::::Delete user app data directories <-> electron::::azure-pipelines-woa.yml::::steps::::steps_12::::displayName::::Delete user app data directories
034a792df1fbecee23ef42f906032e2087adf8c6,ModifiedOptionConflict,8082c6d0db297894589a7497a4697357,electron::::azure-pipelines-arm.yml::::steps::::steps_7::::displayName::::Run Electron tests <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_8::::displayName::::Run Electron tests
d274df7e3a4f60d25aa168a5d0bca25c50c83569,ModifiedOptionConflict,33d096cc0500cb7861e65f8ba8164654,electron::::feature_request.yml::::body::::body_0::::type::::textarea <-> electron::::feature_request.yml::::body::::body_2::::type::::textarea
f1eea4aab6d490ec62667da3f0ad4b9a3340a336,ModifiedOptionConflict,896e5170b15ef4c681632aaf2f3149d8,"electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_14::::condition::::and(succeeded(), ne(variables['ELECTRON_RELEASE'], '1')) <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_7::::condition::::and(succeeded(), ne(variables['ELECTRON_RELEASE'], '1'))"
81843f0dfb67087dff6d154e96e076b9880bfcf2,ModifiedOptionConflict,3fd784ea21f1ffe3ec7a01c442ebdafe,"electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_10::::condition::::and(succeeded(), eq(variables['RUN_TESTS'], '1')) <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_11::::condition::::and(succeeded(), eq(variables['RUN_TESTS'], '1'))"
515525cfc68731ae879af606b79e8cc1a6b9c91a,ModifiedOptionConflict,cb56807e1bbdfc99f9f719e39cc14b2d,electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_0::::timeoutInMinutes::::2 <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_12::::timeoutInMinutes::::2
605a4570c1afeceeef9eeba2483088388766b8bc,ModifiedOptionConflict,44f649746ae08168ac20129458e45cf4,electron::::appveyor-gn.yml::::artifacts::::artifacts_0::::path::::test-results.xml <-> electron::::appveyor.yml::::artifacts::::artifacts_0::::name::::test-results.xml
515525cfc68731ae879af606b79e8cc1a6b9c91a,ModifiedOptionConflict,1b2421d4cb88111a6e4c387f99c7af6f,electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_17::::timeoutInMinutes::::2 <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_1::::timeoutInMinutes::::2
319d9e519f9d8ee1646ee897b5017952c38b2f40,ModifiedOptionConflict,dc82fd0943c552f59ed857849b20fc6e,electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_17::::task::::PublishBuildArtifacts@1 <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_18::::task::::PublishBuildArtifacts@1
034a792df1fbecee23ef42f906032e2087adf8c6,ModifiedOptionConflict,3d48b03f00bb162b7e111965fa6888e9,electron::::azure-pipelines-arm.yml::::steps::::steps_6::::displayName::::Download native unittest executables <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_6::::displayName::::Download native unittest executables
