occurred_at,conflict_type,conflict_id,link
1f40c77f1d9ad65911eb6716525de6aa302eda4c,ModifiedOptionConflict,c23e42d47052b59f8579526312a50daa,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_6::::python::::pypy3 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_6::::tox::::pypy3
4e8787b915dec0f6861292b2fccba640c632a46e,ModifiedOptionConflict,d3a355d09fda192bbd102262a8ab1081,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_2::::python::::3.10 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_8::::python::::3.10
28d0f66c1f5a6a9d3f0c229822e917d115fa5aea,ModifiedOptionConflict,43868e0c8af9fd760136d558a6dae5d7,"flask::::.travis.yml::::matrix::::include::::python/2.7::::env::::TOXENV=py,codecov <-> flask::::.travis.yml::::matrix::::include::::python/pypy::::env::::TOXENV=py,codecov"
ea66c685537c437e38b2ff3627fb7733e37fa4cd,ModifiedOptionConflict,3597277330ed024fcbba1cb63912771c,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_0::::python::::3.10 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_9::::python::::3.10
1f40c77f1d9ad65911eb6716525de6aa302eda4c,ModifiedOptionConflict,9adff8fe65d4db5d4b9ffe27bf752699,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_0::::python::::3.9 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_7::::python::::3.9
28d0f66c1f5a6a9d3f0c229822e917d115fa5aea,ModifiedOptionConflict,9727bfeb8b4e14ef2609fe3b8ea1910e,"flask::::.travis.yml::::matrix::::include::::python/3.6::::env::::TOXENV=py,codecov <-> flask::::.travis.yml::::matrix::::include::::python/pypy::::env::::TOXENV=py,codecov"
84f8e1634fed25de6ab065899234535d531e44ab,ModifiedOptionConflict,0af92000bfc0a993b3e394be1edc910d,flask::::.azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_2::::script::::tox <-> flask::::.azure-pipelines.yml::::jobs::::jobs_1::::steps::::steps_1::::script::::tox
76467527d6e44474cbe8982fff4e37f91214c036,ModifiedOptionConflict,7b3b1c083856832852909268f90f54da,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_5::::python::::pypy3 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_5::::tox::::pypy3
76467527d6e44474cbe8982fff4e37f91214c036,ModifiedOptionConflict,6eb7a320d79202bb18d5bf03be03cb4d,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_6::::python::::3.8 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_7::::python::::3.8
e609dddd604bd8c808145973d91dcb8bb56a9906,ModifiedOptionConflict,f0d83a2e571300b0ec7b4352dbe3ad7f,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_7::::name::::3.6 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_7::::python::::3.6
