occurred_at,conflict_type,conflict_id,link
ebd38bcfaaf61cc4c2a3616212cddb119526babf,ModifiedOptionConflict,f4deb607a17bf165178eddcdfbfbea1d,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_4::::run::::sudo apt-get install -y xvfb <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_3::::run::::sudo apt-get install -y xvfb
7118ccafa95916267c2160cdaf12b4be95e1f6b2,ModifiedOptionConflict,dc74a4bb19cff942f4ed483fd12390fc,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_4::::name::::Build with Maven <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_4::::name::::Build with Maven
a3753807aebd228faf57f4fa7a6dd18f9e9879b6,ModifiedOptionConflict,9dc7a6130cdffbbaf9b508134d6c8e96,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_2::::with::::path::::~/.m2/repository <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_2::::with::::path::::~/.m2/repository
ebd38bcfaaf61cc4c2a3616212cddb119526babf,ModifiedOptionConflict,4a3671a0e0d17292d8d027be5cc5df72,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_4::::name::::Install xvfb <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_3::::name::::Install xvfb
a3753807aebd228faf57f4fa7a6dd18f9e9879b6,ModifiedOptionConflict,0307bd38dc134068aeae6adb1d0caa60,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_2::::with::::key::::${{ runner.os }}-maven-${{ hashFiles('**/pom.xml') }} <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_2::::with::::key::::${{ runner.os }}-maven-${{ hashFiles('**/pom.xml') }}
72bb189dc06d8edd4e8e3ef1a92b9201043087cd,ModifiedOptionConflict,028fc409072f76c2b615702143231d91,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_1::::with::::java-version::::${{ matrix.java-version }} <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_1::::with::::java-version::::${{ matrix.java-version }}
a3753807aebd228faf57f4fa7a6dd18f9e9879b6,ModifiedOptionConflict,4014a8d49ef62abf90164b585e3e5bdd,"java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_2::::with::::restore-keys::::${{ runner.os }}-maven-
 <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_2::::with::::restore-keys::::${{ runner.os }}-maven-
"
ebd38bcfaaf61cc4c2a3616212cddb119526babf,ModifiedOptionConflict,f91bb30a2fbab8f40b9199b9766f7a4e,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_2::::with::::key::::${{ runner.os }}-sonar <-> java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_2::::with::::restore-keys::::${{ runner.os }}-sonar
7118ccafa95916267c2160cdaf12b4be95e1f6b2,ModifiedOptionConflict,b5e20a65c4d9e9e9873306f1167d11f6,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_4::::run::::xvfb-run mvn clean verify <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_4::::run::::xvfb-run mvn clean verify
72bb189dc06d8edd4e8e3ef1a92b9201043087cd,ModifiedOptionConflict,d5d7ed684308006a11321b103cd1c06c,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_1::::name::::Set up JDK ${{ matrix.java-version }} <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_1::::name::::Set up JDK ${{ matrix.java-version }}
f5886325ec8e07e994f4eeda8d7a4adb1e391f45,ModifiedOptionConflict,0e387bee55d936c369fc8bd9e24568d8,java-design-patterns::::maven-ci.yml::::jobs::::build::::runs-on::::ubuntu-18.04 <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::runs-on::::ubuntu-18.04
7118ccafa95916267c2160cdaf12b4be95e1f6b2,ModifiedOptionConflict,e6fd3e180a46b4766b9189a9e826734d,java-design-patterns::::maven-ci.yml::::jobs::::build::::steps::::steps_3::::run::::sudo apt-get install xvfb <-> java-design-patterns::::maven-pr-builder.yml::::jobs::::build::::steps::::steps_3::::run::::sudo apt-get install xvfb
