occurred_at,conflict_type,conflict_id,link
b502866960b30863e56968bd35e720905ac58025,ModifiedOptionConflict,05eae18b1491f19a166213395391df2e,jquery::::package.json::::devDependencies::::grunt-jsonlint::::1.1.0 <-> jquery::::package.json::::devDependencies::::testswarm::::1.1.0
b7283d738ec4c2d9d87cb16c32a3209cab567ed1,ModifiedOptionConflict,8850d3aaf62383d8f3fd0211c1119798,jquery::::package.json::::devDependencies::::grunt-jscs-checker::::0.3.2 <-> jquery::::package.json::::devDependencies::::gzip-js::::0.3.2
b502866960b30863e56968bd35e720905ac58025,ModifiedOptionConflict,b1bd148119045f27b24496cf992d9018,jquery::::package.json::::devDependencies::::grunt-contrib-watch::::1.1.0 <-> jquery::::package.json::::devDependencies::::karma-firefox-launcher::::1.1.0
b13d8229ae25a6c48b1d59a0e592cde154e063f0,ModifiedOptionConflict,3c1a1a35f0387bfaf9d3b78a07f2739d,jquery::::package.json::::devDependencies::::grunt-contrib-watch::::0.3.1 <-> jquery::::package.json::::devDependencies::::gzip-js::::0.3.1
c5fc953d19436cfa706c2477c7bdcdc8b6cdd1e2,ModifiedOptionConflict,5e74f5fd1dbf91d367772f9e247888d3,jquery::::package.json::::devDependencies::::grunt-contrib-jshint::::0.1.1rc6 <-> jquery::::package.json::::devDependencies::::grunt-contrib-uglify::::0.1.1rc6
b502866960b30863e56968bd35e720905ac58025,ModifiedOptionConflict,330776aa9e83d3d7254891fb3a2ac642,jquery::::package.json::::devDependencies::::core-js-bundle::::3.0.0 <-> jquery::::package.json::::devDependencies::::eslint-config-jquery::::3.0.0
4f3b8f0d0bd2b02960a42e64be0dcbf8073c94bb,ModifiedOptionConflict,bd8200dd900ae36d36787486615ab3f4,jquery::::package.json::::devDependencies::::requirejs::::2.3.3 <-> jquery::::package.json::::devDependencies::::sizzle::::2.3.3
4f3b8f0d0bd2b02960a42e64be0dcbf8073c94bb,ModifiedOptionConflict,a26bd91cf066338b829cfa171550740b,jquery::::package.json::::devDependencies::::eslint-config-jquery::::1.0.1 <-> jquery::::package.json::::devDependencies::::grunt::::1.0.1
91017047fc85cf634d9c7726901c250708f58731,ModifiedOptionConflict,a810fef6773948afb8f50a0673b2156a,jquery::::package.json::::devDependencies::::grunt-contrib-watch::::0.6.1 <-> jquery::::package.json::::devDependencies::::grunt-jscs-checker::::0.6.1
4f3b8f0d0bd2b02960a42e64be0dcbf8073c94bb,ModifiedOptionConflict,c28a0ccffb533c54ce21f6eba4faadc3,jquery::::package.json::::devDependencies::::eslint-config-jquery::::1.0.1 <-> jquery::::package.json::::devDependencies::::karma-firefox-launcher::::1.0.1
31783e60f5649b194128a6e39404617c69117dab,ModifiedOptionConflict,49c8645f2a7c9c3ce8eafcf5062c4523,jquery::::package.json::::devDependencies::::grunt-cli::::1.2.0 <-> jquery::::package.json::::devDependencies::::grunt-newer::::1.2.0
