occurred_at,conflict_type,conflict_id,link
165b6475d30e3f985b123f574810243683d53b50,ModifiedOptionConflict,9de4178e03482742d17b39c3512c98c6,json-server::::package.json::::devDependencies::::@babel/core::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/plugin-transform-react-jsx::::^7.0.0
bbc2011ec3e5b9ba9f30e96aa928558ee11814ae,ModifiedOptionConflict,8a450ec84ec332772ffce205f031d434,json-server::::package.json::::dependencies::::nanoid::::^2.0.0 <-> json-server::::package.json::::devDependencies::::os-tmpdir::::^2.0.0
7ce599c50290e5c3a2336fd5b0bd84c3508df236,ModifiedOptionConflict,6fe16ed9a98c23e38c29357ce177a2dc,json-server::::package.json::::dependencies::::method-override::::^3.0.0 <-> json-server::::package.json::::devDependencies::::rimraf::::^3.0.0
e1f45f85d6e3339049c629cf20789c84c921ea35,ModifiedOptionConflict,46e20b66772deb9b4cff1ea1232d7d2c,json-server::::package.json::::dependencies::::please-upgrade-node::::^3.0.1 <-> json-server::::package.json::::devDependencies::::eslint-plugin-standard::::^3.0.1
aef028779faae4af20b5a1f9c7789f0a8e73ff9a,ModifiedOptionConflict,2a4d9a0e5001f17694d6d0acee713959,json-server::::package.json::::dependencies::::nanoid::::^1.3.0 <-> json-server::::package.json::::devDependencies::::milligram::::^1.3.0
ff9e4e29fd4b92dbb6a7b86b2d099243f3a703a1,ModifiedOptionConflict,486983921e1eecb5bc16556664da055a,json-server::::package.json::::dependencies::::pluralize::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/plugin-transform-regenerator::::^7.0.0
4ef7bbcfcc60f21483344878b190fee96023d64a,ModifiedOptionConflict,f3cde57129ba9094fb105261cc97a039,json-server::::package.json::::dependencies::::nanoid::::^1.0.1 <-> json-server::::package.json::::devDependencies::::pkg-ok::::^1.0.1
1b9e4037a9aad162a7e0649a0831366c4465cee7,ModifiedOptionConflict,1ebbce577974823ef9fcfbd4475f4a20,json-server::::package.json::::devDependencies::::@babel/plugin-syntax-jsx::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/register::::^7.0.0
2b26630ac6379fba77eb104b22e83b41a004b52e,ModifiedOptionConflict,3178a92dcd9889ca40980e6d4d53e4c3,json-server::::package.json::::dependencies::::errorhandler::::^1.2.0 <-> json-server::::package.json::::devDependencies::::supertest::::^1.2.0
1b9e4037a9aad162a7e0649a0831366c4465cee7,ModifiedOptionConflict,5fe777ae8129955c7876e826c2994926,json-server::::package.json::::dependencies::::pluralize::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/node::::^7.0.0
2e833d20f44fca623a1d10b2d950e6b5bbddde82,ModifiedOptionConflict,09faa4ac195e9b8bf4879e3533c07bbf,json-server::::package.json::::dependencies::::update-notifier::::^3.0.0 <-> json-server::::package.json::::devDependencies::::whatwg-fetch::::^3.0.0
1b9e4037a9aad162a7e0649a0831366c4465cee7,ModifiedOptionConflict,75f1dd6086aa1f5fe3151c55d997df09,json-server::::package.json::::devDependencies::::@babel/plugin-transform-react-jsx::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/plugin-transform-regenerator::::^7.0.0
ff9e4e29fd4b92dbb6a7b86b2d099243f3a703a1,ModifiedOptionConflict,ef97fab74ae8cd4d1b2f40d814cfa188,json-server::::package.json::::dependencies::::method-override::::^3.0.0 <-> json-server::::package.json::::devDependencies::::eslint-plugin-prettier::::^3.0.0
f1621c38febbbf5f4b3168911c6cbe359a67a555,ModifiedOptionConflict,390ac61887d7514c68eb7d425c5696bd,json-server::::package.json::::devDependencies::::@babel/core::::^7.8.4 <-> json-server::::package.json::::devDependencies::::@babel/node::::^7.8.4
8f2aa1a6a435c1c51527e464f7f4e9a93808cca4,ModifiedOptionConflict,d431e82ea29552b0013b62d7feff1484,json-server::::package.json::::dependencies::::json-parse-helpfulerror::::^1.0.3 <-> json-server::::package.json::::dependencies::::nanoid::::^1.0.3
4a8d8c80d0130ee5c8975c611968069bb96f2d52,ModifiedOptionConflict,253726fec653ca0d3db1749e4e7f9fc9,json-server::::package.json::::dependencies::::nanoid::::^1.0.1 <-> json-server::::package.json::::dependencies::::server-destroy::::^1.0.1
4a8d8c80d0130ee5c8975c611968069bb96f2d52,ModifiedOptionConflict,79bd530f46dd745d652785bd4234e535,json-server::::package.json::::dependencies::::yargs::::^10.0.3 <-> json-server::::package.json::::devDependencies::::standard::::^10.0.3
7020451a2fa880625a8180abd82840f7cc57bfd9,ModifiedOptionConflict,13c6132120a35dacc863bd6dd1edbfda,json-server::::package.json::::devDependencies::::@babel/cli::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/plugin-syntax-jsx::::^7.0.0
f1621c38febbbf5f4b3168911c6cbe359a67a555,ModifiedOptionConflict,a978a24cdfc3040145b6b19c9db66b12,json-server::::package.json::::dependencies::::update-notifier::::^4.0.0 <-> json-server::::package.json::::devDependencies::::temp-write::::^4.0.0
ff9e4e29fd4b92dbb6a7b86b2d099243f3a703a1,ModifiedOptionConflict,ee96c742b615c498c83fc34540243547,json-server::::package.json::::dependencies::::errorhandler::::^1.2.0 <-> json-server::::package.json::::dependencies::::express-urlrewrite::::^1.2.0
f1621c38febbbf5f4b3168911c6cbe359a67a555,ModifiedOptionConflict,0257fdd0e64596ecac5dadb03eb68fe9,json-server::::package.json::::devDependencies::::@babel/cli::::^7.8.4 <-> json-server::::package.json::::devDependencies::::@babel/core::::^7.8.4
7020451a2fa880625a8180abd82840f7cc57bfd9,ModifiedOptionConflict,6a6a907db04a1d54b3fa60716813a694,json-server::::package.json::::devDependencies::::supertest::::^3.1.0 <-> json-server::::package.json::::devDependencies::::webpack-cli::::^3.1.0
7020451a2fa880625a8180abd82840f7cc57bfd9,ModifiedOptionConflict,e4cdb9380be312acd4d817b37bb4ecb5,json-server::::package.json::::devDependencies::::eslint-plugin-prettier::::^2.6.2 <-> json-server::::package.json::::devDependencies::::rimraf::::^2.6.2
f1621c38febbbf5f4b3168911c6cbe359a67a555,ModifiedOptionConflict,68413b1bef9db1f09ed183d2ece4e8b6,json-server::::package.json::::dependencies::::chalk::::^3.0.0 <-> json-server::::package.json::::dependencies::::method-override::::^3.0.0
88c55544e1a67398783ef680216e99a15adb35f1,ModifiedOptionConflict,be930c4a7429fd2317c72503646ff40f,json-server::::package.json::::dependencies::::morgan::::^1.3.1 <-> json-server::::package.json::::dependencies::::yargs::::^1.3.1
1b9e4037a9aad162a7e0649a0831366c4465cee7,ModifiedOptionConflict,48de3e37e51cc0dde559caeedeb10d56,json-server::::package.json::::devDependencies::::@babel/node::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/polyfill::::^7.0.0
ff9e4e29fd4b92dbb6a7b86b2d099243f3a703a1,ModifiedOptionConflict,b2824e314f0c9ffb9873c07e396f8a55,json-server::::package.json::::dependencies::::object-assign::::^4.0.1 <-> json-server::::package.json::::devDependencies::::eslint-plugin-promise::::^4.0.1
f1621c38febbbf5f4b3168911c6cbe359a67a555,ModifiedOptionConflict,268182451bcfcb5e3df8b22325fa4064,json-server::::package.json::::dependencies::::json-parse-helpfulerror::::^1.0.3 <-> json-server::::package.json::::devDependencies::::mkdirp::::^1.0.3
7020451a2fa880625a8180abd82840f7cc57bfd9,ModifiedOptionConflict,3691f3f2275a8babdbe4132e6508daf7,json-server::::package.json::::devDependencies::::@babel/core::::^7.0.0 <-> json-server::::package.json::::devDependencies::::@babel/plugin-transform-react-jsx::::^7.0.0
bbc2011ec3e5b9ba9f30e96aa928558ee11814ae,ModifiedOptionConflict,9eb08a69d3fd3091d8f7c2eeeba5bbb6,json-server::::package.json::::dependencies::::object-assign::::^4.0.1 <-> json-server::::package.json::::devDependencies::::eslint-plugin-promise::::^4.0.1
