occurred_at,conflict_type,conflict_id,link
a927c9f842cbebed7edffe58dee51f08e0ad8054,ModifiedOptionConflict,1dbed49a21d43a8f6f6dec78faee3794,"material-ui::::azure-pipelines.yml::::steps::::steps_10::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest')) <-> material-ui::::azure-pipelines.yml::::steps::::steps_11::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest'))"
f0cdca8e1df266f7aca50afb899b73663986da36,ModifiedOptionConflict,6dcbe698031949cad5eeb1c8795769e0,material-ui::::config.yml::::jobs::::test_browser::::steps::::steps_5::::run::::name::::Install dependencies for Chrome Headless <-> material-ui::::config.yml::::jobs::::test_build::::steps::::steps_11::::run::::name::::Install dependencies for Chrome Headless
56d344ac704403772d1e262698a5b1d5609673d0,ModifiedOptionConflict,4fbe09ecfaba6a331b03b609db9342ae,material-ui::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_11::::task::::PublishPipelineArtifact@1 <-> material-ui::::azure-pipelines.yml::::jobs::::jobs_1::::steps::::steps_4::::task::::PublishPipelineArtifact@1
22575af517dc14861a637ddfd8d93f72a971cf18,ModifiedOptionConflict,efe7e30536ac3f3a1654b4b232553661,material-ui::::maintenance.yml::::jobs::::main::::steps::::steps_1::::with::::retryMax::::10 <-> material-ui::::netlify.toml::::build::::environment::::NODE_VERSION::::10
24bbadf9ef955f5c1b9ec5af7c3c5eeea876a0a0,ModifiedOptionConflict,18fb4719391fafa715c13b0b7136bf42,material-ui::::config.yml::::jobs::::checkout::::steps::::steps_0::::run::::command::::git diff --exit-code <-> material-ui::::config.yml::::jobs::::test_build::::steps::::steps_3::::run::::command::::git diff --exit-code
6bb9231175b14d41d2255c267df0f39dd4c971fe,ModifiedOptionConflict,6f425b6542c8096f7685600c2090f8fc,material-ui::::config.yml::::jobs::::size_snapshot::::steps::::steps_2::::run::::name::::Install js dependencies <-> material-ui::::config.yml::::jobs::::test_build::::steps::::steps_2::::run::::name::::Install js dependencies
6bb9231175b14d41d2255c267df0f39dd4c971fe,ModifiedOptionConflict,8e25ef8aa65a3de1aaddf6c3aa710196,"material-ui::::config.yml::::jobs::::test_build::::steps::::steps_2::::run::::command::::yarn config set yarn-offline-mirror ~/.cache/npm-packages-offline-cache/v1
yarn
 <-> material-ui::::config.yml::::jobs::::test_unit::::steps::::steps_2::::run::::command::::yarn config set yarn-offline-mirror ~/.cache/npm-packages-offline-cache/v1
yarn
"
016e0e4e29d838ad3eb9a91218e03382224e0d04,ModifiedOptionConflict,9369d9faa656d53aba3950656abc2ecf,material-ui::::config.yml::::jobs::::javascript::::steps::::steps_0::::attach_workspace::::at::::~/ <-> material-ui::::config.yml::::jobs::::test_moment::::steps::::steps_0::::attach_workspace::::at::::~/
6f9eecf48baca339a6b15c5fcfb683cba11e4871,ModifiedOptionConflict,3acc0e26c81322c46a5f328c82cae6ca,material-ui::::config.yml::::jobs::::checkout::::steps::::steps_5::::save_cache::::paths::::/tmp/material-ui <-> material-ui::::config.yml::::jobs::::test_regressions::::<<::::working_directory::::/tmp/material-ui
506a7a429851446b08fefda52abcb8a792a5c647,ModifiedOptionConflict,64c72b59b79e4a50f73184c2049726a4,material-ui::::config.yml::::defaults::::docker::::docker_0::::image::::circleci/node:9.5 <-> material-ui::::config.yml::::jobs::::test_build::::docker::::docker_0::::image::::circleci/node:9.5
0e2c974737da2608a1652dbbeb4a53ed1ed02364,ModifiedOptionConflict,2dff652abd8b14df71ca447dc1c19e75,material-ui::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_9::::task::::PublishPipelineArtifact@1 <-> material-ui::::azure-pipelines.yml::::jobs::::jobs_1::::steps::::steps_4::::task::::PublishPipelineArtifact@1
