occurred_at,conflict_type,conflict_id,link
47545935c167c28f66896768481e7d25a870eaff,ModifiedOptionConflict,b68da344908b45e7632097ce8d105c46,models::::darknet53_tfds.yaml::::trainer::::optimizer_config::::warmup::::linear::::warmup_steps::::8000 <-> models::::params.yaml::::trainer::::optimizer_config::::warmup::::linear::::warmup_steps::::8000
669807e6caa81427290b98369391c808e42234f1,ModifiedOptionConflict,f936f7926292322ac485c24f93d055bc,models::::csp_darknet53_tfds.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::initial_learning_rate::::0.1 <-> models::::imagenet_resnet152_tpu.yaml::::task::::losses::::label_smoothing::::0.1
669807e6caa81427290b98369391c808e42234f1,ModifiedOptionConflict,b90506f05ade7a9fc95c7a844bb5a5c8,models::::csp_darknet53.yaml::::task::::train_data::::global_batch_size::::128 <-> models::::csp_darknet53_tfds.yaml::::task::::validation_data::::global_batch_size::::128
76df72b4c7c8cce30b7457882e77e51e39e168c8,ModifiedOptionConflict,c39dc2bb6b0e172ced6c32bc6b0898bb,models::::k400_slowonly8x8_tpu.yaml::::task::::model::::dropout_rate::::0.5 <-> models::::movinet_a1_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.5
f4477a292607b3159b293b88b144d0ed028155a8,ModifiedOptionConflict,b8f0526f41dda6c03602b7cfbdda416b,models::::deeplab_resnet50_pascal_tpu.yaml::::task::::model::::backbone::::dilated_resnet::::output_stride::::8 <-> models::::imagenet_resnet50_deeplab_tpu.yaml::::task::::model::::backbone::::dilated_resnet::::output_stride::::8
4682f5c8b78992b235383898a3c463a6dd45b3af,ModifiedOptionConflict,8108401cbb18458047134f08977710ab,models::::512.yaml::::task::::train_data::::parser::::aug_scale_max::::1.9 <-> models::::512.yaml::::task::::train_data::::parser::::mosaic::::aug_scale_max::::1.9
60bb50675ed7fab3afd05edab02a45acee57532a,ModifiedOptionConflict,2349ba94132feea89706b031691021f6,models::::imagenet_resnet101_deeplab_tpu.yaml::::trainer::::train_steps::::62400 <-> models::::imagenet_resnet152_tpu.yaml::::trainer::::train_steps::::62400
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,1c886f1deebfd108e7f005db37eecc26,models::::efficientnet-b1-tpu.yaml::::validation_dataset::::batch_size::::128 <-> models::::params.yaml::::task::::validation_data::::global_batch_size::::128
c5234326729f489f4423a23daabfdd381f4f25ad,ModifiedOptionConflict,bf099f396588a0edda941227782f5921,models::::coco_spinenet143_tpu.yaml::::task::::annotation_file::::/readahead/200M/placer/prod/home/snaggletooth/test/data/coco/instances_val2017.json <-> models::::coco_spinenet190_tpu.yaml::::task::::annotation_file::::/readahead/200M/placer/prod/home/snaggletooth/test/data/coco/instances_val2017.json
6d3cfef49b388b818e5d3123f646dca71433c13b,ModifiedOptionConflict,71a7dbe8974e0132fc6e30f66059c427,models::::csp_darknet53_tfds.yaml::::trainer::::summary_interval::::10000 <-> models::::params.yaml::::trainer::::validation_interval::::10000
60bb50675ed7fab3afd05edab02a45acee57532a,ModifiedOptionConflict,e32f8be3efc1fb6b13c9a2f4beeb1dc7,models::::imagenet_resnet101_deeplab_tpu.yaml::::trainer::::optimizer_config::::learning_rate::::cosine::::decay_steps::::62400 <-> models::::imagenet_resnet152_tpu.yaml::::trainer::::optimizer_config::::learning_rate::::cosine::::decay_steps::::62400
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,601f337bf28c665c07e6b0f4e6b50216,models::::efficientnet-b0-gpu.yaml::::model::::loss::::label_smoothing::::0.1 <-> models::::params.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::initial_learning_rate::::0.1
554166437fc64865a38bf0bf2acd5c418476820a,ModifiedOptionConflict,fa54b1ccbb24fef71e82b155f676a89a,models::::coco_spinenet143_tpu.yaml::::task::::gradient_clip_norm::::0.0 <-> models::::efficientnet-b1-tpu.yaml::::model::::optimizer::::moving_average_decay::::0.0
76df72b4c7c8cce30b7457882e77e51e39e168c8,ModifiedOptionConflict,bd12126fee271752f7775ee33c833aca,models::::k400_resnet3drs_50_tpu.yaml::::task::::model::::dropout_rate::::0.5 <-> models::::movinet_a0_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.5
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,f33a9222ca0a925299a413c1fe1f0a8f,models::::csp_darknet53_tfds.yaml::::trainer::::validation_interval::::500 <-> models::::darknet53_tfds.yaml::::trainer::::validation_interval::::500
1cb5e572d1d86c1e4000567b47a97ff0bb74dab9,ModifiedOptionConflict,75b22b3b54dafab71a1629c9522c4b9b,models::::coco_spinenet49_mobile_tpu.yaml::::task::::train_data::::parser::::aug_scale_min::::0.1 <-> models::::imagenet_simclr_pretrain_gpu.yaml::::task::::loss::::temperature::::0.1
83b992c5066a20ce04785385481b3e108b288e11,ModifiedOptionConflict,2ce5e58dad90aeb31522128597368da7,models::::k400_slowonly8x8_tpu.yaml::::task::::validation_data::::global_batch_size::::64 <-> models::::squad_v1.yaml::::task::::validation_data::::query_length::::64
ded0e2588947d6822f35622a7c304601b19e1e08,ModifiedOptionConflict,5b526badcde187855e7fbff07bbaabc8,models::::csp_darknet53.yaml::::task::::model::::backbone::::darknet::::model_id::::cspdarknettiny <-> models::::darknet53.yaml::::task::::model::::backbone::::darknet::::model_id::::cspdarknettiny
669807e6caa81427290b98369391c808e42234f1,ModifiedOptionConflict,eb794b2090dc801d5c4395ac22c92fcd,models::::csp_darknet53_tfds.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::end_learning_rate::::0.0001 <-> models::::darknet53.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::end_learning_rate::::0.0001
6d3cfef49b388b818e5d3123f646dca71433c13b,ModifiedOptionConflict,7c2d46cbd503e326eff1ecae3c1ff45b,models::::darknet53_tfds.yaml::::trainer::::validation_interval::::10000 <-> models::::params.yaml::::trainer::::summary_interval::::10000
3cb8437460fde14842c3950d29a695471c0745fe,ModifiedOptionConflict,084795ac3d11ab0d5cbee1a9918a2f1e,models::::darknet53.yaml::::trainer::::optimizer_config::::warmup::::linear::::warmup_steps::::1000 <-> models::::efficientnet-b0-gpu.yaml::::validation_dataset::::num_classes::::1000
60bb50675ed7fab3afd05edab02a45acee57532a,ModifiedOptionConflict,a7d7fe6510ec39bff64fa05f8de4ca41,models::::imagenet_resnet101_deeplab_tpu.yaml::::task::::losses::::l2_weight_decay::::0.0001 <-> models::::imagenet_resnet50_tpu.yaml::::task::::losses::::l2_weight_decay::::0.0001
08f9393ab192a65a6be05793e2db5885963bc6d6,ModifiedOptionConflict,63c78384b35bf05b96db015bac119b9e,models::::imagenet_resnet101_deeplab_tpu.yaml::::task::::model::::backbone::::dilated_resnet::::stochastic_depth_drop_rate::::0.2 <-> models::::movinet_a2_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.2
83a9a2391abe7319665fd7b292a665f9f8bf4160,ModifiedOptionConflict,061790e3dd712e450e49e2e11e71ba90,models::::cloud.yml::::trainingInput::::runtimeVersion::::1.0 <-> models::::tcn_default.yml::::contrastive::::margin::::1.0
c5234326729f489f4423a23daabfdd381f4f25ad,ModifiedOptionConflict,9874017cfb8289e96fa14b63dee12e72,models::::coco_spinenet49_tpu.yaml::::task::::annotation_file::::/readahead/200M/placer/prod/home/snaggletooth/test/data/coco/instances_val2017.json <-> models::::coco_spinenet96_tpu.yaml::::task::::annotation_file::::/readahead/200M/placer/prod/home/snaggletooth/test/data/coco/instances_val2017.json
ee7286e3e5e1eba8fe33ed72a2f0e4231b6ffd12,ModifiedOptionConflict,4931c230879edc484b8f6d8f46891d23,models::::darknet53.yaml::::task::::train_data::::global_batch_size::::2 <-> models::::darknet53.yaml::::task::::validation_data::::global_batch_size::::2
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,ce4ac35760f1b800f08aa051645b4461,models::::darknet53.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::end_learning_rate::::0.0001 <-> models::::params.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::end_learning_rate::::0.0001
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,dcfb650db99a2faa69de053397d79556,models::::darknet53.yaml::::trainer::::train_steps::::800000 <-> models::::params.yaml::::trainer::::train_steps::::800000
e748d7853daa5a0dcb9afc0a7581af148ab2fc3c,ModifiedOptionConflict,13bc280e87d9c5d1016693fe98bf1dcd,models::::coco_spinenet49xs_mobile_tpu.yaml::::task::::train_data::::parser::::aug_scale_min::::0.5 <-> models::::k400_slowonly16x4_tpu.yaml::::task::::model::::dropout_rate::::0.5
4682f5c8b78992b235383898a3c463a6dd45b3af,ModifiedOptionConflict,fc2795fd636fbc355541ad8e2eeabd01,models::::512.yaml::::task::::model::::detection_generator::::iou_thresh::::0.25 <-> models::::imagenet_resnetrs350_i256.yaml::::task::::model::::backbone::::resnet::::se_ratio::::0.25
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,3cce00ac2c9c019dd535c562eb9162bd,models::::darknet53.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::decay_steps::::799000 <-> models::::darknet53_tfds.yaml::::trainer::::optimizer_config::::learning_rate::::polynomial::::decay_steps::::799000
83b992c5066a20ce04785385481b3e108b288e11,ModifiedOptionConflict,b462c69ee0e4ddcaeaca617483d8d532,models::::k400_3d-resnet50_tpu.yaml::::task::::validation_data::::global_batch_size::::64 <-> models::::squad_v1.yaml::::task::::validation_data::::query_length::::64
be159399991e317c60b97b3f65375cc4805ff7a2,ModifiedOptionConflict,893c34f9ef65ed582c088af6e85a8591,models::::k400_3d-resnet50_tpu.yaml::::trainer::::train_steps::::42104 <-> models::::k400_slowonly8x8_tpu.yaml::::trainer::::train_steps::::42104
21deb500c35b44ab5c815d58f0aa796d929fc8e0,ModifiedOptionConflict,4eb2476e01efdf2fd11d71e6d5d1127c,models::::imagenet_resnet101_deeplab_tpu.yaml::::task::::losses::::l2_weight_decay::::0.00004 <-> models::::imagenet_resnet350_tpu.yaml::::task::::losses::::l2_weight_decay::::0.00004
6d3cfef49b388b818e5d3123f646dca71433c13b,ModifiedOptionConflict,794a8874e8178565dc9caae627685143,models::::darknet53_tfds.yaml::::runtime::::mixed_precision_dtype::::float32 <-> models::::efficientnet-b0-gpu.yaml::::validation_dataset::::dtype::::float32
b656833a0cba57e1afd9d6e83e714f2ff0e5bee9,ModifiedOptionConflict,02747dfff6c7ec27983fa6b5fcb3dd1a,models::::cifar_simclr_pretrain.yaml::::trainer::::optimizer_config::::learning_rate::::type::::cosine <-> models::::imagenet_resnet50_tpu.yaml::::trainer::::optimizer_config::::learning_rate::::type::::cosine
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,156ea01632a9289c41c104aea30cc6b7,models::::darknet53_tfds.yaml::::task::::validation_data::::global_batch_size::::128 <-> models::::tpu.yaml::::train_dataset::::batch_size::::128
4682f5c8b78992b235383898a3c463a6dd45b3af,ModifiedOptionConflict,dbffde3a0c035d0efcde7d8f06ebd501,models::::512.yaml::::task::::train_data::::global_batch_size::::1 <-> models::::efficientnet-b1-tpu.yaml::::evaluation::::epochs_between_evals::::1
64f16d616822df4d5aaa792dda4b131443c6620b,ModifiedOptionConflict,93220927159330738ca7ef697a527168,models::::coco_spinenet49xs_mobile_tpu.yaml::::trainer::::validation_steps::::625 <-> models::::imagenet_simclr_pretrain_gpu.yaml::::trainer::::steps_per_loop::::625
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,90b7804537c44caa5b8361dbb83c00f5,models::::efficientnet-b0-tpu.yaml::::validation_dataset::::batch_size::::128 <-> models::::params.yaml::::task::::train_data::::global_batch_size::::128
eb6fa0b27d3429898d2c5d0ba5573ebb475582d6,ModifiedOptionConflict,df047b391ce10f74d02a35d24053d52d,models::::efficientnet-b0-tpu.yaml::::model::::optimizer::::moving_average_decay::::0. <-> models::::tpu.yaml::::model::::optimizer::::moving_average_decay::::0.
4682f5c8b78992b235383898a3c463a6dd45b3af,ModifiedOptionConflict,3589dd8c33b2dee85828e684bb2a56b3,models::::512.yaml::::task::::smart_bias_lr::::0.1 <-> models::::imagenet_resnetrs270_i256.yaml::::task::::model::::backbone::::resnet::::stochastic_depth_drop_rate::::0.1
47545935c167c28f66896768481e7d25a870eaff,ModifiedOptionConflict,1ad3e30bd1124334814c84bddca4e493,models::::darknet53_tfds.yaml::::runtime::::mixed_precision_dtype::::float16 <-> models::::params.yaml::::runtime::::mixed_precision_dtype::::float16
6d3cfef49b388b818e5d3123f646dca71433c13b,ModifiedOptionConflict,b9556bd2622d5cd1683cdf0cbb55b5a9,models::::darknet53.yaml::::runtime::::mixed_precision_dtype::::float32 <-> models::::params.yaml::::runtime::::mixed_precision_dtype::::float32
b03da6ec5af54afea2df77fa9a83541b52b6680f,ModifiedOptionConflict,1d0832a5218de15fafe688ba3a9721a0,models::::efficientnet-b0-gpu.yaml::::train_dataset::::builder::::records <-> models::::tpu.yaml::::train_dataset::::builder::::records
47545935c167c28f66896768481e7d25a870eaff,ModifiedOptionConflict,4d410224db3e3b94a705f3a7c6d4e9ef,models::::coco_retinanet_gpu.yaml::::task::::train_data::::global_batch_size::::16 <-> models::::params.yaml::::task::::validation_data::::global_batch_size::::16
4682f5c8b78992b235383898a3c463a6dd45b3af,ModifiedOptionConflict,002e367c20a6edb9677d33d92b325a2b,models::::512.yaml::::task::::train_data::::parser::::mosaic::::mosaic_frequency::::1.0 <-> models::::movinet_a1_k600_8x8.yaml::::trainer::::optimizer_config::::optimizer::::rmsprop::::epsilon::::1.0
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,9ae2036b1ac841c242ae6eb742020481,models::::csp_darknet53.yaml::::trainer::::validation_steps::::400 <-> models::::params.yaml::::trainer::::validation_steps::::400
4682f5c8b78992b235383898a3c463a6dd45b3af,ModifiedOptionConflict,911cd8edbbdda0394aed043ac33af548,models::::512.yaml::::runtime::::mixed_precision_dtype::::float16 <-> models::::imagenet_simclr_pretrain_gpu.yaml::::runtime::::mixed_precision_dtype::::float16
32dcc1e4350263942343debbf044945b7ec4ef9f,ModifiedOptionConflict,8fc06f8ec8e4cfb63137efa011e9a88a,models::::darknet53_tfds.yaml::::runtime::::num_gpus::::2 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::stem_pool_temporal_stride::::2
47545935c167c28f66896768481e7d25a870eaff,ModifiedOptionConflict,7fb9a20cc0eacdb5cffac41c5191c019,models::::darknet53_tfds.yaml::::trainer::::validation_steps::::3200 <-> models::::params.yaml::::trainer::::validation_steps::::3200
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,dda4584675ba6292b55cc9698ad89feb,models::::csp_darknet53.yaml::::trainer::::validation_steps::::400 <-> models::::darknet53_tfds.yaml::::trainer::::validation_steps::::400
