occurred_at,conflict_type,conflict_id,link
8ad72f17c28112c4a75be277e973b2a610a06329,ModifiedOptionConflict,70df7ba4518032245b51266127a08ec5,storybook::::package.json::::dependencies::::babel-runtime::::^6.3.14 <-> storybook::::package.json::::devDependencies::::babel-cli::::^6.3.14
8b973a302a2d79c8d8193acf785a610d4e29ea1b,ModifiedOptionConflict,6b863b903c439c9ad225e059f7887d14,storybook::::package.json::::devDependencies::::eslint::::1.7.x <-> storybook::::package.json::::devDependencies::::nodemon::::1.7.x
bcd50576d8bd7d8e01eb05832ca200bbfb804545,ModifiedOptionConflict,915ba329d7734df55ef77f0227fa383d,storybook::::package.json::::devDependencies::::react::::^15.2.0 <-> storybook::::package.json::::peerDependencies::::react::::^15.2.0
f586419a829a68603d2f4652e300a9f1bfd5a688,ModifiedOptionConflict,86bd701fdb2d6840b86ffbd73a28ffe9,storybook::::package.json::::devDependencies::::@storybook/addons::::3.0.0-alpha.0 <-> storybook::::package.json::::version::::3.0.0-alpha.0
bb9e1f42c3d8fb851f806276ea44686ab2fcfd1a,ModifiedOptionConflict,dc82eb64c851dd020b0fe5520b281bce,storybook::::package.json::::devDependencies::::react-native::::^0.31.0 <-> storybook::::package.json::::peerDependencies::::react-native::::^0.31.0
f95d5d00a55b60104a6b73d75b5920f57fb4ae15,ModifiedOptionConflict,5b80c032bd88d2c3586668c33d10a9ea,storybook::::package.json::::dependencies::::@kadira/storybook-ui::::^3.1.0 <-> storybook::::package.json::::devDependencies::::eslint-plugin-babel::::^3.1.0
1bcb2759de8ae7913991c3e82cd503612ccfafdf,ModifiedOptionConflict,a80d5862e4ffcda4984bbda7432616ce,storybook::::package.json::::devDependencies::::babel-eslint::::^7.0.0 <-> storybook::::package.json::::devDependencies::::eslint-config-airbnb::::^7.0.0
e5173270fd4f92936fead26652edbcdc4d690552,ModifiedOptionConflict,597229a271be2858e9d5db1947f43d42,storybook::::package.json::::devDependencies::::react-addons-test-utils::::^0.14.7 || ^15.0.0 <-> storybook::::package.json::::peerDependencies::::react::::^0.14.7 || ^15.0.0
5e9527de491f898b10d7c147930dc51f482e51c1,ModifiedOptionConflict,026575ad2970b8e07f3730ca3ba6311c,storybook::::package.json::::devDependencies::::babel-cli::::^6.5.0 <-> storybook::::package.json::::devDependencies::::babel-plugin-transform-runtime::::^6.5.0
02a1bc67f40771e194fd783669aaffbc1fe98d39,ModifiedOptionConflict,7f08c978ca71fc0da0681bad152ec995,storybook::::package.json::::devDependencies::::react-dom::::^0.14.7 || ^15.0.0 <-> storybook::::package.json::::peerDependencies::::react::::^0.14.7 || ^15.0.0
9ade0664d145096512e4e0c480c08ccb8f2f3a97,ModifiedOptionConflict,04fc5f0432c761659895aa0cee55defb,storybook::::dependencies.yml::::collectors::::collectors_0::::actors::::actors_0::::type::::js-lerna <-> storybook::::dependencies.yml::::collectors::::collectors_0::::type::::js-lerna
7edbd155c531744b31b9cd3352bb39fc5bf4d0cb,ModifiedOptionConflict,d9cbddaef79d5d49632fb1c39a2471a9,storybook::::package.json::::devDependencies::::babel-cli::::^6.5.0 <-> storybook::::package.json::::devDependencies::::babel-plugin-transform-runtime::::^6.5.0
23dcc339d65659f17cb02019537e6d9b185cfc93,ModifiedOptionConflict,73f2a66adffbc40c12f84c7178957bb2,storybook::::package.json::::devDependencies::::chai::::^3.5.0 <-> storybook::::package.json::::devDependencies::::eslint::::^3.5.0
5e9527de491f898b10d7c147930dc51f482e51c1,ModifiedOptionConflict,f9052bdf9472d3f7055e5ec167fa1a3f,storybook::::package.json::::devDependencies::::babel-core::::^6.5.0 <-> storybook::::package.json::::devDependencies::::babel-preset-react::::^6.5.0
b5d8c5e85257bc064ff86d3a7cc3b06e90dafb4d,ModifiedOptionConflict,c2e1981e13b32ffdc126145e5a312819,storybook::::package.json::::devDependencies::::eslint-plugin-babel::::2.x.x <-> storybook::::package.json::::devDependencies::::mocha::::2.x.x
f941663fd5636bf75a3f2db39bfc360ded73268b,ModifiedOptionConflict,e3d417051e52c4bc251401cacf2c9822,storybook::::package.json::::devDependencies::::babel-preset-es2015::::^6.5.0 <-> storybook::::package.json::::devDependencies::::babel-preset-stage-0::::^6.5.0
04f0e8542a5fef1ff9d297bface3a794c04a8442,ModifiedOptionConflict,5dd199f79751cb67118d01598896f8f4,storybook::::dependencies.yml::::collectors::::collectors_0::::actors::::actors_0::::settings::::bootstrap_command::::yarn <-> storybook::::dependencies.yml::::collectors::::collectors_0::::settings::::bootstrap_command::::yarn
9a2abd02f59303ab4f4045ede41838dd295aaa85,ModifiedOptionConflict,f2dde0619b2c3e697531fa4238f56abd,storybook::::package.json::::devDependencies::::react-addons-test-utils::::^15.3.2 <-> storybook::::package.json::::devDependencies::::react::::^15.3.2
97683f82f91c481172bc475cca080eac33c7c0f5,ModifiedOptionConflict,c55d13a5304a8cbc4c7afc43c63dd442,storybook::::package.json::::devDependencies::::react-addons-test-utils::::^15.0.0 <-> storybook::::package.json::::devDependencies::::react-dom::::^15.0.0
23dcc339d65659f17cb02019537e6d9b185cfc93,ModifiedOptionConflict,e2ab987de7ceacec8e3e4a84d1db5eb9,storybook::::package.json::::devDependencies::::react-addons-test-utils::::^0.14.7 || ^15.0.0 <-> storybook::::package.json::::peerDependencies::::react::::^0.14.7 || ^15.0.0
