occurred_at,conflict_type,conflict_id,link
2bef68f68bb6dbbefee151ea853b92ac17bb5acc,ModifiedOptionConflict,ac3f5e950158e725b75cfe32704966c9,tensorflow::::_project.yaml::::breadcrumb_name::::XLA <-> tensorflow::::_project.yaml::::name::::XLA
9f25a94c75c708189d903930535a2115b86b94b5,ModifiedOptionConflict,1882767bf9c358bb8577ff725c313a53,tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_0::::title::::Overview <-> tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_12::::title::::Overview
65a639fafbe88b4867ff474b0884ebc2cc7c29d8,ModifiedOptionConflict,b7111e5af43aa9855ad5dc5a4139b824,tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_0::::title::::Overview <-> tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::name::::Overview
f9486f4879dcdc07ebc37b23558ceff2f6698184,ModifiedOptionConflict,bc2269682284d29a429d90b176f013a7,tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_0::::title::::Overview <-> tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_14::::title::::Overview
a5697d8ae343434a08b69452291bdaf92d60e1e0,ModifiedOptionConflict,3ae82f088687dab24cceff3f66d8bf33,tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_14::::path::::/lite/convert/ <-> tensorflow::::_index.yaml::::landing_page::::rows::::rows_5::::items::::items_1::::buttons::::buttons_0::::path::::/lite/convert/
9f25a94c75c708189d903930535a2115b86b94b5,ModifiedOptionConflict,d15825dd35480dc547dd2e3e73af668f,tensorflow::::_index.yaml::::landing_page::::rows::::rows_1::::classname::::devsite-landing-row-cards <-> tensorflow::::_index.yaml::::landing_page::::rows::::rows_2::::classname::::devsite-landing-row-cards
18f1e3f56abe2cc6968a6f788b4fb54574bafefe,ModifiedOptionConflict,360303248239d943582e806fb24d7ad7,tensorflow::::spec.yml::::slice_sets::::py-devel::::py-devel_0::::args::::USE_PYTHON_3_NOT_2=1 <-> tensorflow::::spec.yml::::slice_sets::::py-devel::::py-devel_1::::args::::USE_PYTHON_3_NOT_2=1
6c2bf6576321ad53ff1eb6d66b6efae2c93ef4e0,ModifiedOptionConflict,d3f11b75fe9471b1eb93c2dcace2835c,tensorflow::::_index.yaml::::project_path::::/_project.yaml <-> tensorflow::::_project.yaml::::parent_project_metadata_path::::/_project.yaml
d5d8a1bd06751b3ad166380a0a0ca00a3412145b,ModifiedOptionConflict,d66ce61e83d8cae292afb38e609dfdde,tensorflow::::_project.yaml::::breadcrumb_name::::TensorFlow Lite <-> tensorflow::::_project.yaml::::name::::TensorFlow Lite
b20d3db459ed50f74a1ad53de9d371a3d10df1af,ModifiedOptionConflict,538a96672117ed23bdd8bb270e281451,tensorflow::::_index.yaml::::landing_page::::rows::::rows_2::::items::::items_1::::path::::/lite/image/labeling/ <-> tensorflow::::_index.yaml::::landing_page::::rows::::rows_3::::items::::items_0::::path::::/lite/image/labeling/
