occurred_at,conflict_type,conflict_id,link
bc7eb9611030aed3204aff4e662c318cbf9143a6,ModifiedOptionConflict,533cb7e4a4ecee67ae09377756680cd2,terminal::::build-console-steps.yml::::steps::::steps_5::::task::::PowerShell@2 <-> terminal::::check-formatting.yml::::jobs::::jobs_0::::steps::::steps_1::::task::::PowerShell@2
57ad2d57fd1655e0544e194fe4a53809b89bce99,ModifiedOptionConflict,28e58bd1791ae09469334cf28c8d4c16,terminal::::build-console-steps.yml::::steps::::steps_9::::task::::PublishBuildArtifacts@1 <-> terminal::::release-sign-and-bundle.yml::::jobs::::jobs_0::::steps::::steps_6::::task::::PublishBuildArtifacts@1
22103ff9c62479294c3a6284e322eaee717bcb5f,ModifiedOptionConflict,82886a09e9f6477d1756238f2e580b8c,terminal::::build-console-steps.yml::::steps::::steps_8::::task::::PublishBuildArtifacts@1 <-> terminal::::release-sign-and-bundle.yml::::jobs::::jobs_0::::steps::::steps_6::::task::::PublishBuildArtifacts@1
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,8c8435f1a2bab6aac6575e6a893fc983,terminal::::build-console-steps.yml::::steps::::steps_17::::task::::CopyFiles@2 <-> terminal::::build-console-steps.yml::::steps::::steps_18::::task::::CopyFiles@2
22103ff9c62479294c3a6284e322eaee717bcb5f,ModifiedOptionConflict,e96bc3fc38e7abecb50c8f631b5c069d,"terminal::::build-console-steps.yml::::steps::::steps_7::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest')) <-> terminal::::build-console-steps.yml::::steps::::steps_8::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest'))"
c801029e3ee9992eb41b1ae67b1e5591f3a17210,ModifiedOptionConflict,a1caaac9f1b942a0a448bb6918bc5186,terminal::::build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::task::::VSBuild@1 <-> terminal::::build-console-steps.yml::::steps::::steps_7::::task::::VSBuild@1
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,a22a0149c1caf370876e69bd6f6a5fcb,terminal::::build-console-steps.yml::::steps::::steps_10::::inputs::::targetType::::inline <-> terminal::::build-console-steps.yml::::steps::::steps_11::::inputs::::targetType::::inline
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,37540e6b3dcb522a24ccf05825fac179,"terminal::::pgo-merge-pgd-job.yml::::jobs::::jobs_0::::steps::::steps_1::::task::::DownloadBuildArtifacts@0 <-> terminal::::release.yml::::jobs::::jobs_2::::${{ if eq(parameters.buildWPF, true) }}::::${{ if eq(parameters.buildWPF, true) }}_0::::steps::::steps_2::::task::::DownloadBuildArtifacts@0"
c801029e3ee9992eb41b1ae67b1e5591f3a17210,ModifiedOptionConflict,3ba2164ff3f4c0ef1ef25e17a80ab401,"terminal::::build-console-steps.yml::::steps::::steps_8::::condition::::ne(variables['PGOBuildMode'], 'Instrument') <-> terminal::::build-console-steps.yml::::steps::::steps_9::::condition::::ne(variables['PGOBuildMode'], 'Instrument')"
a34c47a493e060f7ce5a690d7ee81605a4e79ee4,ModifiedOptionConflict,3f08a736ccec918add3aafa1549ccb07,terminal::::build-console-steps.yml::::steps::::steps_7::::inputs::::targetType::::filePath <-> terminal::::release-sign-and-bundle.yml::::jobs::::jobs_0::::steps::::steps_4::::inputs::::targetType::::filePath
1e2f203395424a0304efe16d955e5b14fd3a5e56,ModifiedOptionConflict,317f35512656de2459984ec85a4602dd,terminal::::build-console-steps.yml::::steps::::steps_10::::task::::VSTest@2 <-> terminal::::build-console-steps.yml::::steps::::steps_9::::task::::VSTest@2
509ecb10507cb5ccfbd7e0003f7c838dea07d85c,ModifiedOptionConflict,8627bf4ed76a8d1f5267f5adda4711b4,"terminal::::pgo-build-and-publish-nuget-job.yml::::jobs::::jobs_0::::steps::::steps_6::::task::::PublishBuildArtifacts@1 <-> terminal::::release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_1::::task::::PublishBuildArtifacts@1"
8ae4f2fc1b18ea9d80dbaaf5da57b9cd5030891a,ModifiedOptionConflict,0f18455b00f0c8841c1d0b24fdbb11d4,terminal::::ci.yml::::jobs::::jobs_1::::template::::./templates/build-console-ci.yml <-> terminal::::ci.yml::::jobs::::jobs_3::::template::::./templates/build-console-ci.yml
22103ff9c62479294c3a6284e322eaee717bcb5f,ModifiedOptionConflict,d8069611203e9c17efcbf1daa1fe0606,terminal::::build-console-steps.yml::::steps::::steps_5::::task::::VSTest@2 <-> terminal::::build-console-steps.yml::::steps::::steps_6::::task::::VSTest@2
c801029e3ee9992eb41b1ae67b1e5591f3a17210,ModifiedOptionConflict,b3d1dfef2c3ad30ed99ef8d7ec06761e,terminal::::build-console-steps.yml::::steps::::steps_5::::task::::CmdLine@1 <-> terminal::::helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_0::::task::::CmdLine@1
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,c1baaa733f43039fed0d604e7fa7cd86,terminal::::build-console-steps.yml::::steps::::steps_12::::displayName::::Run Unit Tests <-> terminal::::release.yml::::jobs::::jobs_0::::steps::::steps_15::::displayName::::Run Unit Tests
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,2c91a3bbe6bef12240f4eca999f45c83,terminal::::build-console-steps.yml::::steps::::steps_5::::displayName::::Display build machine environment variables <-> terminal::::helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_0::::displayName::::Display build machine environment variables
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,9f41355bee4228a65571ba2e277a5fad,terminal::::build-console-steps.yml::::steps::::steps_21::::inputs::::ArtifactName::::PGO <-> terminal::::pgo-merge-pgd-job.yml::::parameters::::pgoArtifact::::PGO
a34c47a493e060f7ce5a690d7ee81605a4e79ee4,ModifiedOptionConflict,5675aeb49ed535bc4d851300bbaccd81,terminal::::build-console-ci.yml::::jobs::::jobs_0::::steps::::steps_0::::parameters::::additionalBuildArguments::::${{ parameters.additionalBuildArguments }} <-> terminal::::build-console-steps.yml::::steps::::steps_5::::inputs::::msbuildArgs::::${{ parameters.additionalBuildArguments }}
52235b0fb6b3476bedf573d5f7fc5624e1bdbd3f,ModifiedOptionConflict,13d6fc1a1d6d0e17c43a256fed17f07b,terminal::::build-console-steps.yml::::steps::::steps_12::::displayName::::Run Unit Tests <-> terminal::::release.yml::::jobs::::jobs_0::::steps::::steps_14::::displayName::::Run Unit Tests
7dadde5dd6742b56ed192286ce92be61072cce09,ModifiedOptionConflict,45aa0461c36fb6af1c6a484e1e02f99b,terminal::::build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::displayName::::Build solution **\OpenConsole.sln <-> terminal::::build-console-steps.yml::::steps::::steps_4::::displayName::::Build solution **\OpenConsole.sln
a34c47a493e060f7ce5a690d7ee81605a4e79ee4,ModifiedOptionConflict,acbada1e87acbe745767003a0ca983ee,"terminal::::build-console-steps.yml::::steps::::steps_10::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest')) <-> terminal::::build-console-steps.yml::::steps::::steps_11::::condition::::and(succeeded(), ne(variables['Build.Reason'], 'PullRequest'))"
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,c53c1766c260ef4555efbe48ccd212db,"terminal::::release.yml::::jobs::::jobs_0::::steps::::steps_4::::task::::NuGetCommand@2 <-> terminal::::release.yml::::jobs::::jobs_2::::${{ if eq(parameters.buildWPF, true) }}::::${{ if eq(parameters.buildWPF, true) }}_0::::steps::::steps_6::::task::::NuGetCommand@2"
26911c21aeb333377164afc61aa53fdd4009782b,ModifiedOptionConflict,b57cebc0949588366f81859018295d15,"terminal::::build-console-steps.yml::::steps::::steps_20::::condition::::and(succeeded(), eq(variables['PGOBuildMode'], 'Instrument')) <-> terminal::::build-console-steps.yml::::steps::::steps_21::::condition::::and(succeeded(), eq(variables['PGOBuildMode'], 'Instrument'))"
431d51de4c7219aa49e12f5468add009a517949b,ModifiedOptionConflict,d286fe4fbe018859c387adc71c9e914e,terminal::::build-console-steps.yml::::steps::::steps_6::::task::::powershell@2 <-> terminal::::pgo-build-and-publish-nuget-job.yml::::jobs::::jobs_0::::steps::::steps_4::::task::::powershell@2
5d082ffe67c9714472dcc1548c6b5b7b60780d2c,ModifiedOptionConflict,b9a350b78ebb510fff9d7b3eebbcbfe9,terminal::::build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_1::::displayName::::Ensure NuGet 4.8.1 <-> terminal::::build-console-steps.yml::::steps::::steps_1::::displayName::::Ensure NuGet 4.8.1
