occurred_at,conflict_type,conflict_id,link
b7c13f89bc42fdf62b846dd08f7771cfbe44ca41,ModifiedOptionConflict,bcabe92c058b5c8facf4d6af118e40e0,three::::ci.yml::::jobs::::lint::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::name::::Install packages
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,7d2590c701833481343723433d67396c,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Build <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::name::::Build
c324671a94dbb4704b6539a12d2f5f0b3507bbd9,ModifiedOptionConflict,076475d6ca1087dd7fef56be19cd272c,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::run::::npm ci <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::run::::npm ci
7c8ca6490c19da7d2e1e21f8b21f4961664960e4,ModifiedOptionConflict,268a31b394c1116c3384733b540b622e,three::::.travis.yml::::node_js::::12 <-> three::::ci.yml::::jobs::::unit::::steps::::steps_1::::with::::node-version::::12
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,a2d7daa29492f5953ba8585b347535ca,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::run::::npm run build <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::run::::npm run build
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,102162e8eb4d6e9e9bd78e23029bb32a,three::::ci.yml::::jobs::::lint::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::name::::Install packages
b6f7fd42487ba75d6e9c11c09c6059daa83a67d7,ModifiedOptionConflict,3f244e6c3dc47cbec3409f4142f2b9b3,three::::package.json::::devDependencies::::qunit::::^2.10.0 <-> three::::package.json::::devDependencies::::rollup::::^2.10.0
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,00713e3d869de13ce50fc635b925c552,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::run::::npm ci <-> three::::ci.yml::::jobs::::lint::::steps::::steps_3::::run::::npm ci
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,e86f2410441615ba3b6a5a106b0f6e2f,three::::package.json::::devDependencies::::eslint-config-mdcs::::^5.0.0 <-> three::::package.json::::devDependencies::::pngjs::::^5.0.0
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,fd4162a65f997e0947f12f1294ebfc34,three::::package.json::::devDependencies::::concurrently::::^5.2.0 <-> three::::package.json::::devDependencies::::pixelmatch::::^5.2.0
b7c13f89bc42fdf62b846dd08f7771cfbe44ca41,ModifiedOptionConflict,18e3f1dfcfa8886058d1e56bfe683cb4,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Install packages
9833a661c3f6a89ea60ecb08fe003895382c6778,ModifiedOptionConflict,3a35bcc8ab90185f033cfb540675dfbc,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::run::::npm run build <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::run::::npm run build
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,e67361bfc7c3cb3ada3120b5f630b234,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Install packages
b511404f934908c902fa491ffaa5d3f0cf729aaf,ModifiedOptionConflict,88495d6782a6788abb080ec994adffdc,three::::.travis.yml::::script::::npm run build <-> three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::run::::npm run build
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,3ec65f15c9d84db5923f1e79ef59049a,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::lint::::steps::::steps_3::::name::::Install packages
6895d65e0457ca6c2188542b1bb73caa2bd6a3d5,ModifiedOptionConflict,4992615269938190b4d9d4f997439e44,three::::package.json::::devDependencies::::concurrently::::^5.2.0 <-> three::::package.json::::devDependencies::::pixelmatch::::^5.2.0
1e2f9b4da59629adf34613070406418d9ba6a6ae,ModifiedOptionConflict,68ba81dd5103087abe4f74e6129120fd,three::::package.json::::devDependencies::::qunit::::^2.10.0 <-> three::::package.json::::devDependencies::::rollup::::^2.10.0
