occurred_at,conflict_type,conflict_id,link
76a1417f2af9bfad3ad7cd2a5d3ad5de9d5f5f13,ModifiedOptionConflict,87e42dedbf8a778048f7205edea402ef,transformers::::config.yml::::jobs::::run_tests_torch::::steps::::steps_2::::run::::sudo pip install pytest codecov pytest-cov pytest-xdist <-> transformers::::config.yml::::jobs::::run_tests_torch_and_tf::::steps::::steps_3::::run::::sudo pip install pytest codecov pytest-cov pytest-xdist
084873b0258d45ad4b1882d12976b694e03c5c7c,ModifiedOptionConflict,4ccdb5742f98fd8d3d6bbad455179ba2,transformers::::config.yml::::jobs::::run_tests_custom_tokenizers::::steps::::steps_6::::store_artifacts::::path::::~/transformers/tests_output.txt <-> transformers::::config.yml::::jobs::::run_tests_pipelines_torch::::steps::::steps_7::::store_artifacts::::path::::~/transformers/tests_output.txt
58f672e65ca6e2efe8c8ed7abcb5392429309af7,ModifiedOptionConflict,1701e8a6bf8861f601dc9a6eb351fd6a,transformers::::self-push.yml::::jobs::::run_tests_tf_multi_gpu::::steps::::steps_3::::run::::nvidia-smi <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_4::::run::::nvidia-smi
9e9b8f1d99fa898bbcb5f270e1bedcd9012cd7fc,ModifiedOptionConflict,4fea4edfdaa168b35f4412aa4cfc7bd7,transformers::::self-push.yml::::jobs::::run_tests_torch_cuda_extensions_gpu::::steps::::steps_6::::name::::Test suite reports artifacts <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_cuda_extensions_gpu::::steps::::steps_6::::name::::Test suite reports artifacts
d2100428d3652cefbffcf0bd00f0881090d26333,ModifiedOptionConflict,7ae8407c77e100651fdccabbf807438e,transformers::::config.yml::::jobs::::build_py3_torch::::steps::::steps_5::::run::::sudo pip install mecab-python3 <-> transformers::::config.yml::::jobs::::build_py3_torch_and_tf::::steps::::steps_6::::run::::sudo pip install mecab-python3
f1299f50381b81fc10f9c40360b901b38859f9e4,ModifiedOptionConflict,4cc01d1e63a6bbfb36b12150a51e8c43,transformers::::self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_9::::name::::Run all non-slow tests on GPU <-> transformers::::self-push.yml::::jobs::::run_tests_torch_gpu::::steps::::steps_8::::name::::Run all non-slow tests on GPU
3c8d401cf67a61ef1010ababd131c7c5e4c57af9,ModifiedOptionConflict,d59c6ba56eee5e7c74b9a4847373b6b2,transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_multiple_gpu::::steps::::steps_10::::name::::Failure short reports <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_11::::name::::Failure short reports
d740351f7dfd6176e40efaeca694aca5622a55cd,ModifiedOptionConflict,28d9a5bdadc725fd7dcd0768a03827bd,"transformers::::config.yml::::jobs::::build_doc::::steps::::steps_0::::run::::sudo pip install .[tf,torch,docs] <-> transformers::::config.yml::::jobs::::deploy_doc::::steps::::steps_1::::run::::sudo pip install .[tf,torch,docs]"
58f672e65ca6e2efe8c8ed7abcb5392429309af7,ModifiedOptionConflict,a86faa751da018f4c730e43de8db02de,transformers::::self-push.yml::::jobs::::run_tests_tf_multi_gpu::::steps::::steps_3::::run::::nvidia-smi <-> transformers::::self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_3::::run::::nvidia-smi
58f672e65ca6e2efe8c8ed7abcb5392429309af7,ModifiedOptionConflict,89a4d1dca509203bbae44099bb9b02b7,transformers::::self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_1::::name::::Python version <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_2::::name::::Python version
58f672e65ca6e2efe8c8ed7abcb5392429309af7,ModifiedOptionConflict,50699e67131dbabffd887dc34260ea04,transformers::::self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_2::::run::::pwd <-> transformers::::self-push.yml::::jobs::::run_tests_torch_gpu::::steps::::steps_2::::run::::pwd
58f672e65ca6e2efe8c8ed7abcb5392429309af7,ModifiedOptionConflict,1795a9df0b6b4bbefe3a8b55443b8509,"transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_5::::run::::(pkill -f tests; pkill -f examples) || echo ""no zombies"" <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_5::::run::::(pkill -f tests; pkill -f examples) || echo ""no zombies"""
961732c276241620e80a81ec28e95374963a166e,ModifiedOptionConflict,ec1a5e89c1e2876ecedcd9869acf1666,transformers::::config.yml::::jobs::::run_tests_pipelines_tf_all::::steps::::steps_6::::store_artifacts::::path::::~/transformers/tests_output.txt <-> transformers::::config.yml::::jobs::::run_tests_tf::::steps::::steps_8::::store_artifacts::::path::::~/transformers/tests_output.txt
f1299f50381b81fc10f9c40360b901b38859f9e4,ModifiedOptionConflict,e53e95de1d6f6d66992b3501a6b825b2,"transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_7::::run::::source .env/bin/activate
python -c ""import torch; print('Cuda available:', torch.cuda.is_available())""
python -c ""import torch; print('Number of GPUs available:', torch.cuda.device_count())""
 <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_7::::run::::source .env/bin/activate
python -c ""import torch; print('Cuda available:', torch.cuda.is_available())""
python -c ""import torch; print('Number of GPUs available:', torch.cuda.device_count())""
"
f1299f50381b81fc10f9c40360b901b38859f9e4,ModifiedOptionConflict,f730772f6551644dc036b56388911e1a,transformers::::github-torch-hub.yml::::jobs::::torch_hub_integration::::steps::::steps_4::::name::::Install dependencies <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_6::::name::::Install dependencies
52c7ca04888a85f1178271b543853254299f2cf8,ModifiedOptionConflict,1b65ca8573b7bd8fe0911eaf25ceb4bf,transformers::::config.yml::::jobs::::run_tests_flax::::steps::::steps_6::::store_artifacts::::path::::~/transformers/reports <-> transformers::::config.yml::::jobs::::run_tests_torch_and_tf::::steps::::steps_8::::store_artifacts::::path::::~/transformers/reports
985d708842d654b42256ba73e2172ca97735bb4c,ModifiedOptionConflict,8fc2ceea867c2f296677a173e33355f6,"transformers::::self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_2::::run::::apt -y update && apt install -y libsndfile1-dev
pip install --upgrade pip
pip install .[sklearn,testing,onnxruntime,sentencepiece,speech]
 <-> transformers::::self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_2::::run::::apt -y update && apt install -y libsndfile1-dev
pip install --upgrade pip
pip install .[sklearn,testing,onnxruntime,sentencepiece,speech]
"
