occurred_at,conflict_type,conflict_id,link
1f4e8a293dee182bcc09fb179c321ab83d1b3320,ModifiedOptionConflict,8a5e17a97ebe7521fac9c755d4bb6a9f,"webpack::::test.yml::::jobs::::integration::::steps::::steps_2::::run::::echo ""::set-output name=dir::$(yarn cache dir)"" <-> webpack::::test.yml::::jobs::::lint::::steps::::steps_2::::run::::echo ""::set-output name=dir::$(yarn cache dir)"""
72a45ab9a9704d42bb8f82ee357a9c54486d6cc1,ModifiedOptionConflict,c2982ff525b97cebddbf1c98a53aeb8a,webpack::::.travis.yml::::matrix::::include::::os/linux::::node_js::::8 <-> webpack::::appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version::::8
9c668a52bccae522fa224494678a8955f4c97581,ModifiedOptionConflict,afc171abff773367f9c1cd3ff42b2dcc,webpack::::azure-pipelines.yml::::jobs::::jobs_1::::steps::::steps_0::::inputs::::versionSpec::::^10.10.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::matrix::::node-10::::node_version::::^10.10.0
8dd38f5c8a880afff6d6b9aabac9f17dd197fbd5,ModifiedOptionConflict,c9eb3a2d7ee64ef5aa086867bf319ab6,webpack::::azure-pipelines.yml::::jobs::::jobs_2::::strategy::::maxParallel::::6 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::maxParallel::::6
1f4e8a293dee182bcc09fb179c321ab83d1b3320,ModifiedOptionConflict,e12f088a3aa673ffcfe3df60423b7bd9,webpack::::azure-pipelines.yml::::jobs::::jobs_2::::steps::::steps_4::::script::::yarn --frozen-lockfile <-> webpack::::test.yml::::jobs::::unit::::steps::::steps_4::::run::::yarn --frozen-lockfile
0efff8fb953f6504eb13560a4bedbce0214c0ae1,ModifiedOptionConflict,728b29a241f3a57d3ccbe283b19a3dad,webpack::::open-bot.yaml::::rules::::rules_8::::filters::::ensure::::value::::{{review.state}} <-> webpack::::open-bot.yaml::::rules::::rules_9::::filters::::ensure::::value::::{{review.state}}
ab30c6b1c0100634ad46bcaf47ff12963e22aac9,ModifiedOptionConflict,c80d46766221d636fb8c314c316c1892,webpack::::open-bot.yaml::::rules::::rules_0::::actions::::comment::::identifier::::ci-result <-> webpack::::open-bot.yaml::::rules::::rules_4::::actions::::comment::::identifier::::ci-result
14a7637925c16f4919bcdf9895d8e1a8e0766d4e,ModifiedOptionConflict,86a4cea09ab472ac0470b1de82535848,webpack::::azure-pipelines.yml::::jobs::::jobs_2::::strategy::::maxParallel::::3 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_4::::strategy::::maxParallel::::3
8e6621f55cb6404881c3a01b3ae3bbf22f19e1e8,ModifiedOptionConflict,a9e578494ca5f134c6833e6f1599dff4,"webpack::::azure-pipelines.yml::::jobs::::jobs_1::::steps::::steps_2::::script::::set -e
export PATH=""$HOME/.yarn/bin:$HOME/.config/yarn/global/node_modules/.bin:$PATH""
node -v
yarn -v
 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_4::::steps::::steps_2::::script::::set -e
export PATH=""$HOME/.yarn/bin:$HOME/.config/yarn/global/node_modules/.bin:$PATH""
node -v
yarn -v
"
4ccd984ece1f48b9df6d735f65fecdf046bf01f8,ModifiedOptionConflict,3aa74c55186bb1c998108046dfdd7b89,webpack::::open-bot.yaml::::rules::::rules_1::::filters::::any::::ensure_2::::equals::::failure <-> webpack::::open-bot.yaml::::rules::::rules_4::::filters::::ensure::::equals::::failure
9ffd97c3c137376ebde7ca8421f5f26207376296,ModifiedOptionConflict,80c2c78322a9d81ce3cc778b96e231a2,webpack::::open-bot.yaml::::rules::::rules_5::::filters::::ensure::::value::::{{status.state}} <-> webpack::::open-bot.yaml::::rules::::rules_6::::filters::::ensure::::value::::{{status.state}}
