,name,url,stars
0,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,347613
1,996.ICU,https://github.com/996icu/996.ICU,262662
2,free-programming-books,https://github.com/EbookFoundation/free-programming-books,235639
3,coding-interview-university,https://github.com/jwasham/coding-interview-university,221855
4,awesome,https://github.com/sindresorhus/awesome,205152
5,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,197121
6,vue,https://github.com/vuejs/vue,196915
7,public-apis,https://github.com/public-apis/public-apis,196524
8,react,https://github.com/facebook/react,189872
9,system-design-primer,https://github.com/donnemartin/system-design-primer,184085
10,tensorflow,https://github.com/tensorflow/tensorflow,165760
11,bootstrap,https://github.com/twbs/bootstrap,158006
12,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,154746
13,CS-Notes,https://github.com/CyC2018/CS-Notes,152719
14,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,146507
15,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,144555
16,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,143561
17,flutter,https://github.com/flutter/flutter,141957
18,Python,https://github.com/TheAlgorithms/Python,138518
19,gitignore,https://github.com/github/gitignore,134248
20,linux,https://github.com/torvalds/linux,133263
21,vscode,https://github.com/microsoft/vscode,133014
22,awesome-python,https://github.com/vinta/awesome-python,130425
23,javascript,https://github.com/airbnb/javascript,124044
24,JavaGuide,https://github.com/Snailclimb/JavaGuide,123306
25,Python-100-Days,https://github.com/jackfrued/Python-100-Days,119857
26,computer-science,https://github.com/ossu/computer-science,117295
27,youtube-dl,https://github.com/ytdl-org/youtube-dl,110836
28,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,107223
29,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,106982
30,react-native,https://github.com/facebook/react-native,103315
31,electron,https://github.com/electron/electron,102148
32,d3,https://github.com/d3/d3,101559
33,go,https://github.com/golang/go,100716
34,30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,96728
35,create-react-app,https://github.com/facebook/create-react-app,95548
36,axios,https://github.com/axios/axios,94003
37,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,93367
38,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,91475
39,kubernetes,https://github.com/kubernetes/kubernetes,89361
40,node,https://github.com/nodejs/node,88275
41,next.js,https://github.com/vercel/next.js,88181
42,terminal,https://github.com/microsoft/terminal,83662
43,deno,https://github.com/denoland/deno,82977
44,three.js,https://github.com/mrdoob/three.js,82826
45,awesome-go,https://github.com/avelino/awesome-go,82315
46,angular,https://github.com/angular/angular,82032
47,TypeScript,https://github.com/microsoft/TypeScript,81523
48,ant-design,https://github.com/ant-design/ant-design,80721
49,material-ui,https://github.com/mui/material-ui,79127
50,puppeteer,https://github.com/puppeteer/puppeteer,78506
51,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,78444
52,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,76686
53,java-design-patterns,https://github.com/iluwatar/java-design-patterns,75409
