,name,url,stars,technology_counter,technologies_seen
0,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,347613,4,"['cypress.json', 'package.json', 'tsconfig.json', 'Dockerfile']"
1,996.ICU,https://github.com/996icu/996.ICU,262662,0,[]
2,free-programming-books,https://github.com/EbookFoundation/free-programming-books,235639,0,[]
3,coding-interview-university,https://github.com/jwasham/coding-interview-university,221855,0,[]
4,awesome,https://github.com/sindresorhus/awesome,205152,0,[]
5,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,197121,2,"['package.json', 'tsconfig.json']"
6,vue,https://github.com/vuejs/vue,196915,2,"['package.json', 'tsconfig.json']"
7,public-apis,https://github.com/public-apis/public-apis,196524,0,[]
8,react,https://github.com/facebook/react,189872,1,['package.json']
9,system-design-primer,https://github.com/donnemartin/system-design-primer,184085,0,[]
10,tensorflow,https://github.com/tensorflow/tensorflow,165760,1,['Dockerfile']
11,bootstrap,https://github.com/twbs/bootstrap,158006,1,['package.json']
12,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,154746,0,[]
13,CS-Notes,https://github.com/CyC2018/CS-Notes,152719,2,"['.travis.yml', 'package.json']"
14,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,146507,0,[]
15,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,144555,0,[]
16,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,143561,1,['package.json']
17,flutter,https://github.com/flutter/flutter,141957,2,"['Dockerfile', 'package.json']"
18,Python,https://github.com/TheAlgorithms/Python,138518,0,[]
19,gitignore,https://github.com/github/gitignore,134248,0,[]
20,linux,https://github.com/torvalds/linux,133263,0,[]
21,vscode,https://github.com/microsoft/vscode,133014,3,"['package.json', 'tsconfig.json', 'Dockerfile']"
22,awesome-python,https://github.com/vinta/awesome-python,130425,1,['.travis.yml']
23,javascript,https://github.com/airbnb/javascript,124044,1,['package.json']
24,JavaGuide,https://github.com/Snailclimb/JavaGuide,123306,1,['package.json']
25,Python-100-Days,https://github.com/jackfrued/Python-100-Days,119857,0,[]
26,computer-science,https://github.com/ossu/computer-science,117295,0,[]
27,youtube-dl,https://github.com/ytdl-org/youtube-dl,110836,0,[]
28,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,107223,0,[]
29,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,106982,0,[]
30,react-native,https://github.com/facebook/react-native,103315,1,['package.json']
31,electron,https://github.com/electron/electron,102148,3,"['package.json', 'tsconfig.json', 'docker-compose.yml']"
32,d3,https://github.com/d3/d3,101559,1,['package.json']
33,go,https://github.com/golang/go,100716,2,"['package.json', 'Dockerfile']"
34,30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,96728,0,[]
35,create-react-app,https://github.com/facebook/create-react-app,95548,2,"['package.json', 'tsconfig.json']"
36,axios,https://github.com/axios/axios,94003,2,"['package.json', 'tsconfig.json']"
37,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,93367,1,['.travis.yml']
38,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,91475,1,['.travis.yml']
39,kubernetes,https://github.com/kubernetes/kubernetes,89361,2,"['Dockerfile', '.travis.yml']"
