"id","creationdate","score","title","tags"
50553352,2018-05-27 14:50:49,19,Spring retry connection until datasource is available,<mysql><spring><spring-boot><docker-compose><hikaricp>
50508833,2018-05-24 11:58:16,15,sending udp broadcast from a docker container,<docker><spring-boot><networking><udp><docker-compose>
48245398,2018-01-13 23:49:20,12,Spring Boot containers can not connect to the Kafka container,<docker><spring-boot><apache-kafka><docker-compose>
47953901,2017-12-23 15:55:15,11,Spring Kafka Producer not sending to Kafka 1.0.0 (Magic v1 does not support record headers),<spring><spring-boot><apache-kafka><docker-compose><spring-kafka>
57739617,2019-08-31 16:05:55,9,Spring Config server not reachable with docker-compose until client is restarted,<spring><spring-boot><docker><docker-compose><netflix-eureka>
44738469,2017-06-24 16:20:56,8,Spring Cloud Config Server not working with Docker compose,<spring-boot><docker-compose><spring-cloud><spring-cloud-netflix><spring-cloud-config>
44157039,2017-05-24 11:26:58,8,How to configure spring interceptor to get called with every request,<java><node.js><docker><spring-boot><docker-compose>
58880998,2019-11-15 16:21:08,7,"Communications link failure , Spring Boot + MySql +Docker + Hibernate",<mysql><spring><spring-boot><docker><docker-compose>
37490324,2016-05-27 18:40:07,7,Limit JVM memory consumption in a Docker container,<java><docker><spring-boot><docker-compose>
56938511,2019-07-08 15:50:21,7,SpringBoot in Docker not connecting to Mongo in Docker,<mongodb><spring-boot><docker><docker-compose>
33660966,2015-11-11 22:22:02,7,Eureka First Discovery & Config Client Retry with Docker Compose,<spring-boot><spring-cloud><docker-compose><netflix-eureka>
48359972,2018-01-20 19:01:14,7,"Spring Boot, PostgreSQL, and Docker - Connection Refused whil Running in Container",<spring><postgresql><docker><spring-boot><docker-compose>
54145220,2019-01-11 11:02:09,7,Spring Boot + docker-compose + MySQL: Connection refused,<java><mysql><spring-boot><docker><docker-compose>
54479941,2019-02-01 12:52:50,6,How to init MySql Database in Docker Compose,<mysql><spring-boot><docker><docker-compose><init>
45996171,2017-09-01 08:32:44,6,Connecting to Docker Elasticsearch instance through Java/Spring Boot,<java><elasticsearch><docker><spring-boot><docker-compose>
57515333,2019-08-15 19:46:25,6,How to do health check of a spring boot applications which is running in docker container,<spring-boot><docker><docker-compose><dockerfile>
53407287,2018-11-21 07:39:54,6,Docker compose wait for database service initialisation,<mysql><spring-boot><docker><docker-compose>
56441497,2019-06-04 09:52:04,6,Docker MySQL - can't connect from Spring Boot app to MySQL database,<mysql><spring><spring-boot><docker><docker-compose>
56202090,2019-05-18 19:10:43,5,Spring Docker container cannot access Postgres Docker container,<postgresql><spring-boot><docker><docker-compose>
45742999,2017-08-17 18:56:51,5,"com.mongodb.MongoSocketOpenException: Exception opening socket(MongoDB, Docker)",<java><mongodb><spring-boot><docker-compose><netflix-eureka>
59330607,2019-12-13 22:32:51,5,Connect To Docker Compose MongoDb Via Spring boot application,<java><mongodb><spring-boot><docker><docker-compose>
56753810,2019-06-25 12:14:26,5,docker compose: spring boot connection to mysql database refused,<mysql><spring-boot><docker><docker-compose>
52608571,2018-10-02 12:41:24,5,docker-compose inter container communication,<docker><spring-boot><docker-compose>
44125915,2017-05-23 04:38:27,4,docker-compose - externalize spring application.properties,<docker><spring-boot><docker-compose>
53785577,2018-12-14 19:09:26,4,Passing JAVA_OPTS to spring boot application through docker-compose,<java><spring-boot><docker-compose><jvm><spring-boot-docker-plugin>
50573224,2018-05-28 20:41:53,4,docker-compose java cannot access jarfile,<java><shell><docker><spring-boot><docker-compose>
48781110,2018-02-14 06:39:31,4,Deploy of Spring Boot/PostgreSQL project with Gradle and Docker,<java><postgresql><docker><spring-boot><docker-compose>
56369595,2019-05-29 23:03:20,4,Connection refused with Java restHighLevelClient,<spring-boot><elasticsearch><docker-compose><centos>
39967945,2016-10-10 22:53:52,4,How do i wait for a db container to be up before my spring-boot app starts,<spring-boot><docker><docker-compose>
54241346,2019-01-17 17:33:03,4,Switching spring profile based on docker environment variable does not work,<spring-boot><docker><docker-compose>
55708104,2019-04-16 12:24:34,3,Docker - Problem with java netty_tcnative,<spring-boot><docker><docker-compose><netty><grpc-java>
48121123,2018-01-05 20:53:38,3,Docker compose build relative path,<java><docker><spring-boot><build><docker-compose>
65544346,2021-01-02 21:36:07,3,java.net.UnknownHostException: host.docker.internal: Name or service not known on AWS EC2,<spring-boot><docker><amazon-ec2><docker-compose>
51176617,2018-07-04 15:04:48,3,"Running docker compose causes ""Connection to localhost:5432 refused."" exception",<postgresql><docker><spring-boot><docker-compose>
60945565,2020-03-31 07:40:57,3,Mongodb with docker-compose - create user,<mongodb><spring-boot><docker><docker-compose>
60767510,2020-03-20 01:51:07,3,Read docker env variable inside Spring application.yaml,<spring-boot><docker><docker-compose>
60109556,2020-02-07 08:21:38,3,Expose random port to docker-compose.yml,<java><spring><spring-boot><docker><docker-compose>
51400896,2018-07-18 11:28:23,3,Eureka Client with Docker Compose,<docker><spring-boot><docker-compose><dockerfile>
49806177,2018-04-12 21:29:55,3,Connect from one Docker container to the other one,<docker><spring-boot><docker-compose>
49864333,2018-04-16 18:52:07,3,From Springboot app connect to mysql container,<java><mysql><docker><spring-boot><docker-compose>
51632753,2018-08-01 11:59:35,3,Spring Boot REST app returns 400 when requested from other docker-compose service by service name,<java><spring-boot><docker-compose><bad-request>
45330035,2017-07-26 14:33:33,3,Spring Cloud Netflix and Docker Compose - cannot register services with eureka,<spring-boot><docker-compose><spring-cloud><netflix-eureka>
45178901,2017-07-19 00:01:35,3,"docker-compose environment will cover variables in jar, how are docker environment variable and variable in jar mapped?",<docker><spring-boot><docker-compose>
52719225,2018-10-09 10:49:12,3,Debugging spring-boot app in docker doesn't work,<docker><spring-boot><docker-compose><remote-debugging>
44286937,2017-05-31 14:03:21,3,Elasticsearch fails with NoNodeAvailableException,<java><elasticsearch><spring-boot><docker-compose>
53152471,2018-11-05 10:25:04,3,How can I dynamically (by env variable) activate/deactivate logback or logback appender?,<spring-boot><logging><docker-compose><logback><elastic-stack>
53328497,2018-11-15 22:00:11,3,Docker-compose: no main manifest attribute in /app.war,<java><spring><spring-boot><docker><docker-compose>
53429062,2018-11-22 10:38:36,3,Docker: Springboot container can not connect to PostgreSql Container Connection error,<postgresql><spring-boot><docker><docker-compose>
47266795,2017-11-13 14:34:43,3,Applications not registering to eureka when using docker-compose,<docker><spring-boot><docker-compose>
50216280,2018-05-07 14:09:25,3,Docker unable to access jar file,<java><docker><spring-boot><jar><docker-compose>
47027510,2017-10-31 03:39:07,3,Docker Swarm CPU overload on deploy with Spring Boot containers,<docker><spring-boot><docker-compose><docker-swarm>
55084722,2019-03-10 05:26:14,3,ZuulException (SendErrorFilter) at first call,<spring-boot><docker><docker-compose><spring-cloud><netflix-zuul>
50340169,2018-05-14 23:01:26,3,How to understand that spring boot application is ready to work?,<java><spring><docker><spring-boot><docker-compose>
36245276,2016-03-27 08:16:21,3,How can I link an image created volume with a docker-compose specified named volume?,<docker><spring-boot><docker-compose><postgresql-9.4>
33662300,2015-11-12 00:16:18,3,Docker plugin : java.io.FileNotFoundException: /src/main/docker/Dockerfile gradle-docker fails,<docker><spring-boot><boot2docker><dockerfile><docker-compose>
56000337,2019-05-06 07:10:11,3,Neo4jSession Error when trying to retrieve data from Neo4jRepository published on docker[ONLY DOCKER ISSUE],<spring-boot><docker><neo4j><docker-compose><spring-data-neo4j>
65182243,2020-12-07 13:03:43,2,Access Kafka in Remote Host by IP Address running with Docker-Compose and Spring Boot,<spring-boot><apache-kafka><docker-compose><spring-kafka>
59602209,2020-01-05 17:05:45,2,docker-compose spring boot cannot connect to mysql,<java><mysql><spring-boot><docker><docker-compose>
59963013,2020-01-29 08:21:36,2,Unable to put message in ibm mq using container,<java><spring-boot><docker-compose><dockerfile><ibm-mq>
43562842,2017-04-22 18:12:23,2,docker-compose: spring-boot web service access postgres db service,<postgresql><spring-boot><docker-compose>
53996836,2019-01-01 15:52:45,2,Angular cant connect to spring boot endpoints in docker compose,<angular><spring><spring-boot><docker><docker-compose>
51392666,2018-07-18 02:22:30,2,Could not locate PropertySource because of java.net.ConnectException: Connection refused,<spring><docker><spring-boot><docker-compose><microservices>
54238132,2019-01-17 14:32:34,2,docker-compose + spring boot few application don't connect,<java><spring><spring-boot><docker><docker-compose>
51327147,2018-07-13 14:12:40,2,"503 status in case of starting spring configuration server via docker-compose",<docker><spring-boot><docker-compose><http-status-code-503><configserver>
50855368,2018-06-14 10:31:48,2,How to make REST calls between Frontend and Backend using Docker containers,<apache><docker><spring-boot><docker-compose>
54394627,2019-01-28 01:55:45,2,Spring Cloud Config in Docker container is not accessible,<spring-boot><docker><docker-compose><netflix-eureka><spring-cloud-config>
54403380,2019-01-28 13:46:48,2,Unable to link mysql docker container with spring boot application - Communications link failure,<mysql><spring-boot><docker-compose>
54461605,2019-01-31 13:24:02,2,How to load the web app folder to docker container,<spring-boot><docker><docker-compose>
42175951,2017-02-11 12:38:20,2,How to configure dns entries for Docker Compose,<docker><spring-boot><docker-compose>
57318429,2019-08-02 00:06:22,2,How to deploy maven multi-module spring boot to docker container,<maven><spring-boot><docker><docker-compose><multi-module>
56074108,2019-05-10 08:59:08,2,Flyway cannot connect to MySQL from Docker-Container,<mysql><spring-boot><docker><docker-compose><flyway>
60690267,2020-03-15 06:16:10,2,Docker-Compose Java Springboot and MySQL,<java><mysql><spring-boot><docker><docker-compose>
57115673,2019-07-19 15:38:18,2,Running local java/mysql container stack with EB CLI returns: nc: bad address 'mysql-server',<mysql><spring-boot><docker><docker-compose><amazon-elastic-beanstalk>
54678113,2019-02-13 19:37:48,2,Spring Boot cannot connect to MySQLand exits in Docker/Docker compose,<java><mysql><spring-boot><docker><docker-compose>
55021077,2019-03-06 10:40:37,2,Cannot read file via docker container,<java><spring-boot><docker><docker-compose>
56128635,2019-05-14 10:43:41,2,How to define hostname into docker-compose.yml for MongoDB and Spring Boot,<java><mongodb><spring-boot><docker><docker-compose>
64913968,2020-11-19 14:41:13,2,Spring Boot integration test against real postgres DB,<postgresql><spring-boot><docker-compose><integration-testing>
55144892,2019-03-13 14:55:49,2,Calling external web service from docker container java spring boot app,<java><spring-boot><docker-compose>
61368689,2020-04-22 15:17:45,2,zipkin2.reporter.Sender bean not found when using with Zipkin with kafka in docker,<spring-boot><apache-kafka><docker-compose><microservices><zipkin>
39728643,2016-09-27 15:28:33,2,dockercloud haproxy with more than one service on different ports,<docker><spring-boot><docker-compose><haproxy>
57061419,2019-07-16 16:06:15,2,How to connect docker-compose with react and spring boot,<reactjs><spring-boot><docker><docker-compose>
49592445,2018-03-31 21:11:51,2,Spring boot connect to docker service mongodb,<java><docker><spring-boot><docker-compose><spring-data-mongodb>
62459167,2020-06-18 20:48:30,2,Spring Boot issue with Keycloak in Docker Compose,<java><spring><spring-boot><docker-compose><keycloak>
63846409,2020-09-11 11:43:16,2,How to connect dockerized couchbase server from dockerized spring boot,<java><spring-boot><docker><docker-compose><couchbase>
37102273,2016-05-08 16:44:26,2,Environment variables and @Value can't work together on Spring Boot,<java><spring><docker><spring-boot><docker-compose>
49995402,2018-04-24 07:08:11,2,Unable to run Springboot app using Selenium RemoteWebDriver with docker-compose,<selenium><docker><spring-boot><docker-compose>
52368590,2018-09-17 13:11:29,2,Cross origin error with Docker containers,<java><spring-boot><docker><docker-compose><microservices>
51974887,2018-08-22 20:48:00,2,Docker with Spring Boot application stuck at AnnotationConfigServletWebServerApplicationContext on RaspberryPi,<java><spring><docker><spring-boot><docker-compose>
44804018,2017-06-28 13:33:23,2,Docker image for Spring/RabbitMQ tutorial results in connection refused,<spring-boot><rabbitmq><docker-compose>
50834723,2018-06-13 10:17:33,2,docker-compose - Spring boot doesn't connect to postgres unless network_mode: host,<postgresql><spring-boot><docker-compose>
51733944,2018-08-07 19:16:49,2,Docker error when containerizing a spring boot app,<docker><spring-boot><gradle><docker-compose><dockerfile>
64353768,2020-10-14 12:55:36,2,can `bootBuildImage` create writeable volumes?,<spring-boot><docker><docker-compose>
55782044,2019-04-21 10:45:44,2,Jenkins doesn't notify after running docker compose up,<spring-boot><jenkins><docker-compose><jenkins-pipeline>
