"id","creationdate","score","title","tags"
62246824,2020-06-07 14:29:05,21,"Error [ERR_PACKAGE_PATH_NOT_EXPORTED]: No ""exports"" main resolved in /app/node_modules/@babel/helper-compilation-targets/package.json",<node.js><docker><travis-ci><nuxt.js>
26098531,2014-09-29 11:11:16,20,Can travis-ci run docker?,<docker><travis-ci>
32866599,2015-09-30 12:51:51,19,Can Travis CI cache docker images?,<caching><docker><travis-ci>
35305492,2016-02-10 01:45:29,13,Cache docker images on Travis CI,<performance><caching><docker><continuous-integration><travis-ci>
35837905,2016-03-07 06:58:58,13,Running Travis locally using docker,<docker><containers><travis-ci>
34710513,2016-01-10 20:39:08,12,How can I update full description on Docker Hub automatically?,<docker><travis-ci><docker-registry><dockerhub>
55361762,2019-03-26 16:17:29,12,apt-get update fails with 404 in a previously working build,<docker><travis-ci><debian-jessie>
62114945,2020-05-31 10:38:31,10,AttributeError: 'ParsedRequirement' object has no attribute 'req',<python><docker><travis-ci>
32535195,2015-09-12 04:36:35,9,How to run tests on CentOS 7 with Travis-CI?,<docker><travis-ci>
56029398,2019-05-07 19:37:00,8,Zef fails to install JSON::Fast when running in Travis with Docker,<docker><travis-ci><raku><zef>
27254312,2014-12-02 16:32:27,7,Download Github build artifact (release) using wget/curl,<curl><github><docker><wget><travis-ci>
38398135,2016-07-15 14:05:04,6,Error starting docker postgres on travis-,<docker><travis-ci><docker-compose>
43760865,2017-05-03 13:02:57,6,What is the optimal way to store data-files for testing using travis-ci + Docker?,<testing><docker><automated-tests><travis-ci>
50551277,2018-05-27 10:36:03,6,Could not parse .travis.yml,<docker><travis-ci><aws-ecs>
47994152,2017-12-27 14:47:33,5,How to automate Multi-Arch-Docker Image builds,<docker><github><travis-ci><dockerhub>
33132868,2015-10-14 18:24:48,5,Continuous Deployment Using Travis CI and Docker,<docker><travis-ci><continuous-deployment>
38133107,2016-06-30 20:56:10,5,Travis-CI: docker image as build environment,<docker><travis-ci><gitlab-ci>
37335910,2016-05-19 23:57:57,5,How to speed up CI build times when using docker?,<node.js><jenkins><docker><continuous-integration><travis-ci>
35203169,2016-02-04 14:06:37,4,Caching a single file on Travis CI,<docker><travis-ci>
33068097,2015-10-11 17:41:39,4,How to get Docker host IP on Travis CI?,<ruby-on-rails><docker><chef-infra><travis-ci>
55240542,2019-03-19 11:58:17,4,Run coverage test in a docker container,<django><docker><dockerfile><travis-ci><coverage.py>
36683647,2016-04-18 00:16:39,4,How to upload docker container logs from TRAVIS CI to remote machine?,<docker><travis-ci><logfile>
61546515,2020-05-01 16:27:15,4,AWS Elastic Beanstalk with docker incorrect version,<amazon-web-services><docker><amazon-elastic-beanstalk><travis-ci>
61462646,2020-04-27 15:40:30,4,unable to deploy docker application in elasticbeanstalk using travis ci,<amazon-web-services><docker><github><amazon-elastic-beanstalk><travis-ci>
38998245,2016-08-17 13:36:54,4,"How to get all Travis CI environment variables, excluding the system defaults?",<docker><travis-ci>
40280924,2016-10-27 09:26:42,4,How to build my docker (nodejs) container in travis and run in production,<node.js><docker><travis-ci>
