"id","creationdate","score","title","tags"
3779369,2010-09-23 14:21:57,106,Run a single Maven plugin execution?,<database><maven><testing><maven-3><maven-plugin>
23501244,2014-05-06 17:30:22,17,FlywayException: Unable to scan for SQL migrations in location: classpath:db/migration,<java><database><maven><flyway>
23545657,2014-05-08 15:08:26,14,How to use Flyway configuration to handle multiple databases,<java><database><maven><database-migration><flyway>
32166653,2015-08-23 12:28:32,9,No inverse to liquibase.change.core.RawSQLChange created,<java><database><eclipse><maven><liquibase>
33012776,2015-10-08 10:11:47,7,createDatabaseIfNotExist=true not working in .properties file in maven project,<java><database><hibernate><maven><jdbc>
27546313,2014-12-18 12:10:36,6,Flyway database migration to multiple schemas,<java><database><maven><migration><flyway>
60029540,2020-02-02 19:02:26,5,How to export and deploy a JavaFX application with H2 embedded database?,<java><database><maven><javafx><module>
31547146,2015-07-21 18:42:58,5,JUnit test starts before H2´s RUNSCRIPT finishes,<java><database><maven><junit><h2>
27640808,2014-12-24 18:16:25,3,Liquibase - Update changelog XML file from database changes,<java><database><maven><version-control><liquibase>
22201482,2014-03-05 15:04:56,3,Keep Derby Network Server running after build,<database><maven><derby>
42033408,2017-02-03 21:38:16,3,Liquibase always generating changesets for creating/dropping index,<java><database><maven><indexing><liquibase>
13492070,2012-11-21 11:15:04,3,Flyway - not copy sql resources,<java><database><maven><data-migration><flyway>
60772511,2020-03-20 10:37:18,2,Liquibase diff functionality,<database><oracle><maven><devops><liquibase>
4995341,2011-02-14 17:40:59,2,problem running liquibase with maven and postgres-db,<database><postgresql><maven><liquibase>
29933979,2015-04-29 03:47:53,2,Liquibase Maven & Command line working differently,<database><maven><liquibase>
31965222,2015-08-12 12:27:02,2,How insert data to database using Maven,<database><maven><maven-plugin>
14489287,2013-01-23 21:00:20,2,looking fo the proper handling of config and database schema files in subversion project structure,<java><database><svn><maven><database-migration>
36757126,2016-04-20 23:42:29,2,Importing a new cassandra related POM dependency in project resulting in run time errors,<java><database><maven><cassandra>
17099653,2013-06-14 01:11:38,2,Installing Sonar without database in Spring Boot,<database><maven><sonarqube>
64882558,2020-11-17 20:05:44,2,Error on setting ConnectionInitSql with Hikari Version : 3.4.5,<java><database><maven><junit><hikaricp>
24168293,2014-06-11 16:45:57,1,How can I setup my environment to use h2 for tests and mysql for development?,<database><maven><spring-data><h2><jhipster>
37177959,2016-05-12 05:25:55,1,Different data being save to the database,<java><database><hibernate><maven><oracle-sqldeveloper>
47532600,2017-11-28 13:19:23,1,anonymous user in spring database,<database><spring><maven>
40391578,2016-11-02 23:37:50,1,"H2 In-Memory DB, How can I see tables structure?",<database><eclipse><maven><jboss><h2>
61725653,2020-05-11 08:46:05,1,Cant initialize spring-boot Database,<spring><database><spring-boot><maven>
40586646,2016-11-14 10:33:20,1,Maven and Hsqldb: org.hsqldb.HsqlException: Client driver version greater than '2.1.0.0' is required. HSQLDB server version is '2.3.4' (on mac),<java><database><eclipse><maven><hsqldb>
59343951,2019-12-15 12:37:30,1,"Get params from request body, but cannot be used in mybatis annotation join query",<java><database><spring-boot><maven><mybatis>
41099313,2016-12-12 10:58:09,1,How to run derby ij interactive SQL scripting tool with maven,<java><database><maven><derby>
9213264,2012-02-09 15:03:34,1,Maven projects versions stored in a database managed by a version server and a web interface?,<database><maven><release><versions>
29928334,2015-04-28 19:34:48,1,Why IntelliJ IDEA doesn't connect oracle database with java code in maven project?,<java><database><maven><jdbc><intellij-idea>
56378764,2019-05-30 12:55:57,1,How to correctly join tables in Spring Boot,<java><database><maven><spring-boot>
54461836,2019-01-31 13:36:55,1,How can I connect to databese (workbench) with the new STS? (3.9.7),<mysql><database><spring><maven><database-connection>
48162657,2018-01-09 06:41:00,1,Spring : Cannot determine embedded database driver class for database type NONE,<mysql><database><maven><spring-boot><configuration>
14065729,2012-12-28 06:45:41,1,Reusing constants and properties in a maven project?,<java><database><maven><jpa><pom.xml>
48761614,2018-02-13 07:34:15,1,Run same liquibase migration on different schemas,<java><database><maven><database-migration><liquibase>
13515107,2012-11-22 14:45:14,1,MyEclipse + Maven + ActiveJDBC how to auto run instrumentation,<java><database><maven><myeclipse><activejdbc>
58247895,2019-10-05 11:29:21,1,"Database ""mem:"" not found, and IFEXISTS=true when I am trying to connect ht2 database",<java><database><maven><spring-boot><h2>
31695239,2015-07-29 08:31:26,0,Hibernate Maven Project Find Entity by id,<database><hibernate><maven>
32011215,2015-08-14 13:24:51,0,How to automatically run a program when I connect a phone to my computer?,<java><database><eclipse><maven><csv>
33058360,2015-10-10 19:55:57,0,How to configure Liquibase plugin for two DB?,<java><database><maven><database-migration><liquibase>
35764618,2016-03-03 06:20:32,0,Automated database table creation via Jenkins,<database><maven><jenkins><build><continuous-integration>
35827775,2016-03-06 14:01:04,0,Maven Project after deploy won't establish a connection to the Database file,<java><database><sqlite><maven><javafx>
36733484,2016-04-20 03:49:09,0,I can't get the Sqlite database to communicate properly with my JavaFX application IDE - Eclipse packaging with Maven,<java><database><eclipse><sqlite><maven>
38320325,2016-07-12 04:58:14,0,"Cannot log into my remote mongoDB, Modulus, Maven project",<java><mongodb><maven><connection><database>
40561393,2016-11-12 09:20:56,0,What is the best strategy to externalise database properties in a multi-module maven project?,<database><maven><spring-boot><flyway>
40890598,2016-11-30 14:14:32,0,"Exception in thread ""main"" java.lang.NoClassDefFoundError: org/apache/commons/dbcp2/BasicDataSource",<java><database><maven><terminal><pool>
42840253,2017-03-16 16:54:12,0,SQLite Class Not Found Exception - Maven Project using Tomcat,<java><database><sqlite><maven><tomcat>
43988857,2017-05-15 21:09:34,0,Not able to integrate and run liquibase through my spring maven project,<java><database><spring><maven><liquibase>
44660245,2017-06-20 18:12:14,0,Having an error org.hibernate.HibernateException. The error is in the init method (while running the application as java app.),<java><database><spring><hibernate><maven>
46876306,2017-10-22 16:10:51,0,Import H2 Database Engine into IntelliJ IDEA local server,<java><database><maven><intellij-idea><h2>
47407886,2017-11-21 07:53:10,0,Jenkins Build - Can't find Java class,<java><database><oracle><maven><jenkins>
48006657,2017-12-28 11:29:30,0,Java Derby DB in embedded server mode Change Listener,<java><database><maven><vaadin><derby>
48341579,2018-01-19 12:52:31,0,Can I integrate a MySQL and a PostgreSQL database into a Spring MVC Maven Project?,<mysql><database><spring><postgresql><maven>
49555916,2018-03-29 12:19:59,0,Build Failure error when Maven dependency for sql jdbc driver is added in pom.xml,<java><database><eclipse><maven>
52092038,2018-08-30 08:03:51,0,Java SQLite - Unable to access .db-file inside executable jar,<java><database><maven><sqlite>
52160709,2018-09-04 07:09:44,0,JPA datasorce ignores username in properties file,<java><database><spring><maven><jpa>
52708762,2018-10-08 19:19:05,0,"HTTPS Status 500 after deploy on Heroku - Java, Maven",<java><database><maven><heroku><http-status-code-500>
53119005,2018-11-02 12:54:46,0,How to auto-connect interactively to Embedded Derby Database,<java><database><maven><jdbc><derby>
53270199,2018-11-12 21:13:33,0,No suitable driver found for jdbc:derby,<java><database><spring><maven><derby>
54448625,2019-01-30 19:59:48,0,How can I fix this pom.xml problem? (coonection to the database),<mysql><database><maven><jpa><java-11>
