"id","creationdate","score","title","tags"
39331665,2016-09-05 13:27:29,8,Permission denied for protoc on maven build in Teamcity,<maven><ubuntu><docker><teamcity><docker-compose>
52120845,2018-08-31 18:16:34,7,Docker-compose - build with maven that re-uses the maven repository,<maven><docker><docker-compose>
45063118,2017-07-12 16:27:18,6,docker-compose build download few pom dependencies each time,<maven><heroku><docker-compose><dockerfile><dropwizard>
39977955,2016-10-11 13:06:39,4,How to mount docker volume into my docker project using compose?,<maven><docker><docker-compose>
49071113,2018-03-02 14:26:19,3,Integration Testing against a service in docker,<java><maven><unit-testing><docker><docker-compose>
41411593,2016-12-31 20:43:34,3,Install Docker in container for use by GitLab CI build,<maven><docker><gitlab><docker-compose><gitlab-ci>
35594188,2016-02-24 05:44:39,3,How do I run JUnit tests in a Docker container and have the container fail startup when JUnit fails?,<maven><junit><docker><continuous-integration><docker-compose>
46387862,2017-09-24 07:53:45,3,Fabric8 Docker Maven plugin not working for compose.yml on Multi module project,<maven><docker><docker-compose><dockerfile><fabric8>
44242091,2017-05-29 12:06:18,3,Docker | How to build and deploy war file in jboss container hosted in Docker,<maven><docker><jboss><docker-compose>
58681074,2019-11-03 14:23:04,3,Development workflow for Spring Boot + Maven + Docker + IntelliJ,<java><maven><docker><intellij-idea><docker-compose>
57318429,2019-08-02 00:06:22,2,How to deploy maven multi-module spring boot to docker container,<maven><spring-boot><docker><docker-compose><multi-module>
53106535,2018-11-01 17:40:02,2,"Unable to build docker image due to failed to process ""${project.artifactId}"": missing ':' in substitution",<maven><docker><docker-compose><dockerfile>
50805431,2018-06-11 20:20:22,2,How to set environment variables for a java project running through docker?,<java><maven><docker><docker-compose><dockerfile>
45981735,2017-08-31 12:42:28,2,How to use maven-docker on development-environment to avoid repeated download jars?,<java><maven><docker><docker-compose><development-environment>
46719537,2017-10-12 22:00:01,2,Maven child module failing to find parent pom/artifact within image built with Docker,<java><maven><docker><docker-compose><dockerfile>
55345182,2019-03-25 19:32:44,1,NoClassDefFoundError in service on startup. Is jce_policy-8.zip for security the culprit?,<java><maven><docker><docker-compose><alpine>
44890034,2017-07-03 16:11:57,1,how to use docker-compose and maven snaphot dependencies from external repos,<java><maven><docker><docker-compose><snapshot>
44953686,2017-07-06 15:52:05,1,Configure Docker container for spring boot micro services,<java><maven><docker><spring-boot><docker-compose>
47364417,2017-11-18 09:18:08,1,How to set value from Maven to Docker Compose File,<java><maven><docker-compose><maven-plugin>
50932259,2018-06-19 15:41:33,1,Spring Boot and Docker-compose setting arguments,<java><maven><docker><spring-boot><docker-compose>
54315830,2019-01-22 20:15:44,1,Gitlab CICD - Run a mvn clean install before building a docker container,<maven><spring-boot><docker><docker-compose><centos7>
54700920,2019-02-15 00:01:38,1,Is it possible to use a local Docker image in a docker-compose file for DockerComposeContainer?,<java><maven><docker><docker-compose><testcontainers>
39739271,2016-09-28 06:10:59,1,Mount volume not working in docker,<maven><docker><docker-compose><mount>
55515900,2019-04-04 12:21:25,1,Docker Containers for Maven Multi-module Spring Boot project with Angular Frontend module,<maven><docker><docker-compose><multi-module><docker-maven-plugin>
56599603,2019-06-14 13:52:02,1,"SpringBoot project, Environment Variable in application.yml always empty",<maven><spring-boot><docker-compose><environment-variables>
57321812,2019-08-02 07:32:11,1,JIra container cannot find postgresql when run with mvn-docker plugin,<postgresql><maven><docker><docker-compose><jira>
57464720,2019-08-12 16:15:38,1,How to use maven local repository in Multi-stage docker build?,<java><maven><docker-compose><dockerfile><docker-multi-stage-build>
59085091,2019-11-28 09:02:37,1,Execute mvn clean install before docker-compose commands,<maven><spring-boot><docker><compilation><docker-compose>
60709358,2020-03-16 16:06:05,1,Parse environment variables in dockerfile entrypoint for mvn spring-boot:run,<spring-boot><maven><docker><docker-compose>
64511717,2020-10-24 09:05:11,1,Dockerfile can't build app with Maven - No goals specified for this build,<spring><spring-boot><docker><maven><docker-compose>
31156892,2015-07-01 08:58:48,0,mvn jetty:run not reflecting changes when run inside docker,<java><maven><docker><jetty><docker-compose>
57171618,2019-07-23 20:18:15,0,How to automatically rebuild a Java Webapp inside Docker containers,<maven><docker><tomcat><docker-compose>
48591002,2018-02-02 21:18:35,0,mvn docker:stop not called after integration test,<maven><docker-compose><maven-failsafe-plugin><docker-maven-plugin>
45998700,2017-09-01 10:54:58,0,[Docker][Maven] How to add a local maven project as dependency to another maven project?,<java><maven><docker><docker-compose>
35858740,2016-03-08 04:04:28,0,How to externalize the docker container file,<java><maven><jenkins><docker><docker-compose>
57676769,2019-08-27 14:21:07,0,"Unknown lifecycle phase ""clean install test -Dsurefire.suiteXmlFiles=testng.xml"" while running the testng xml from docker file",<maven><docker><docker-compose><dockerfile>
57797106,2019-09-05 00:42:39,0,My command docker-compose up gives me an error when tries to run my spring-boot application,<maven><spring-boot><docker-compose>
48557986,2018-02-01 08:06:41,0,Run docker-compose up in testNG beforesuite,<java><maven><docker><docker-compose><testng>
56634292,2019-06-17 15:19:27,0,Docker Compose unable to find Maven pom,<maven><docker><docker-compose>
38279998,2016-07-09 08:41:23,0,XMLHttpRequest cannot load,<maven><spring-boot><xmlhttprequest><docker-compose>
61028974,2020-04-04 13:41:00,0,How do we configure a maven oracle dependency when we are using a docker-compose file?,<java><oracle><maven><docker-compose><pom.xml>
61141285,2020-04-10 13:26:44,0,Cannot resolve com.palantir.docker.compose:docker-compose-rule-junit4:0.32.0,<java><docker><maven><docker-compose><maven-dependency>
61400808,2020-04-24 03:49:27,0,Wait for docker-compose to start before running another process,<docker><maven><docker-compose><continuous-integration><gitlab>
62036762,2020-05-27 06:30:44,0,"Running mvn install from Dockerfile gives error but, running it from inside the container is successful",<docker><maven><build><docker-compose>
62151013,2020-06-02 11:30:50,0,How to integrate mvn install for depdendency package into docker compose?,<java><maven><docker-compose>
62176462,2020-06-03 15:17:49,0,What are the minimum requirements for Spring JPA,<java><spring-boot><maven><docker-compose>
62782921,2020-07-07 19:53:32,0,Connection to localhost:5432 refused after docker run when port 5432 is clearly open and listening?,<spring><docker><maven><docker-compose><dockerfile>
63024843,2020-07-22 00:10:20,0,Docker Compose File Doesn't Run my Java File with Maven Dependencies,<java><maven><apache-kafka><docker-compose><dockerfile>
63102497,2020-07-26 15:59:03,0,Can't dockerize spring micro-services multi module app,<spring-boot><docker><maven><docker-compose><dockerfile>
63307957,2020-08-07 19:16:56,0,Build a Maven project and submit as the Flink job using Docker,<java><docker><maven><docker-compose><apache-flink>
45853607,2017-08-24 05:30:39,0,How to quickly integrate the maven project into the docker,<java><maven><docker><docker-compose><dockerfile>
65256962,2020-12-11 18:47:04,0,Error de conexion: java.sql.SQLException: No suitable driver found for jdbc:mysql://localhost:3306,<java><mysql><maven><docker-compose><driver>
65602884,2021-01-06 20:21:56,0,Jenkins Docker container can't upload artifact to Nexus Docker container,<maven><jenkins><docker-compose>
65721618,2021-01-14 15:12:28,0,Spring Boot microservices Volumes,<spring-boot><docker><maven><docker-compose>
66388921,2021-02-26 15:54:17,0,"""Permission denied error"" when running integration test using mvn failsafe:integration-test on jenkins node",<maven><jenkins><docker-compose><integration-testing><maven-failsafe-plugin>
66683927,2021-03-18 02:27:59,0,Dockerfile maven value,<docker><maven><docker-compose><dockerfile>
66858280,2021-03-29 16:50:19,0,Docker-compose - Non-resolvable parent POM: Could not find artifact,<spring-boot><docker><maven><docker-compose><pom.xml>
66861985,2021-03-29 21:37:14,0,How can I run two services at the same time with docker-compose.yaml?,<spring-boot><maven><docker-compose><dockerfile><pom.xml>
66989886,2021-04-07 16:06:33,0,Passing Secrets to Docker,<docker><maven><docker-compose>
52518437,2018-09-26 13:04:00,0,Use docker compose with compiling,<maven><docker><compilation><docker-compose>
52707667,2018-10-08 17:52:28,0,Docker-Compose - Control docker-compose execution order,<java><maven><docker><spring-boot><docker-compose>
51628341,2018-08-01 08:08:33,0,Selenium Grid Docker-Compose automation through Jenkins,<maven><jenkins><docker-compose><selenium-grid>
67011915,2021-04-08 21:08:50,0,How to create containerized Spring Boot App on Raspberry Pi 4?,<spring-boot><docker><maven><docker-compose><raspberry-pi4>
67058700,2021-04-12 12:50:27,0,Using a docker image present in Nexus in Integreration test cases,<docker><maven><docker-compose><integration-testing><docker-maven-plugin>
54983164,2019-03-04 12:20:33,0,docker compose integration tests without opening ports to host,<maven><docker><jenkins><docker-compose><integration-testing>
67091667,2021-04-14 12:20:57,0,Proper setup of docker compose with spring boot and postgres,<postgresql><spring-boot><docker><maven><docker-compose>
67169004,2021-04-19 20:34:40,0,Using dockerfile to create maven build with multi-module spring app,<docker><maven><docker-compose><dockerfile><docker-maven-plugin>
56261144,2019-05-22 16:17:45,0,Issue with spring cloud dataflow and Remote Repository: Apps are installed but i can't deploy streams,<maven><docker-compose><nexus><spring-cloud-dataflow>
35886669,2016-03-09 08:39:13,-1,need a equal code for docker run with maven to docker compose with maven,<java><maven><docker><docker-compose><dockerfile>
