"id","creationdate","score","title","tags"
38723833,2016-08-02 14:53:20,319,What is the purpose of mvnw and mvnw.cmd files?,<maven><spring-boot>
26548505,2014-10-24 13:06:54,253,org.hibernate.HibernateException: Access to DialectResolutionInfo cannot be null when 'hibernate.dialect' not set,<java><hibernate><maven><jpa><spring-boot>
21317006,2014-01-23 18:56:16,200,Spring Boot - parent pom when you already have a parent pom,<maven><spring-boot><parent-pom>
23217002,2014-04-22 10:31:21,194,How do I tell Spring Boot which main class to use for the executable jar?,<java><spring><maven><executable-jar><spring-boot>
36151421,2016-03-22 10:08:13,131,Could not autowire field:RestTemplate in Spring boot application,<spring><maven><spring-boot><resttemplate>
56142369,2019-05-15 05:37:01,126,Why am I getting Unknown error in line 1 of pom.xml?,<java><maven><spring-boot><pom.xml>
50387952,2018-05-17 09:28:58,125,How to resolve Unable to load authentication plugin 'caching_sha2_password' issue,<java><mysql><eclipse><maven><spring-boot>
36501017,2016-04-08 13:36:06,103,Maven resource filtering not working - because of spring boot dependency,<java><maven><spring-boot>
46999940,2017-10-29 12:02:53,85,Spring Boot: How to specify the PasswordEncoder?,<spring><maven><spring-boot><spring-security>
49028810,2018-02-28 11:45:31,83,ERROR Source option 1.5 is no longer supported. Use 1.6 or later,<spring-boot><maven><intellij-idea><jetbrains-ide><unsupported-class-version>
27904594,2015-01-12 14:44:29,75,Spring Boot War deployed to Tomcat,<spring><maven><tomcat><spring-boot>
23316843,2014-04-26 21:43:50,69,Get command-line arguments from spring-boot:run,<java><maven><spring-boot><command-line-arguments>
38983934,2016-08-16 20:30:27,66,Cannot get maven project.version property in a Spring application with @Value,<maven><spring-boot>
42937577,2017-03-21 20:30:55,65,"""Unable to find main class"" with Maven on spring-boot project in Eclipse",<eclipse><maven><spring-boot>
49105941,2018-03-05 08:09:14,64,Intellij maven project Fatal error compiling: invalid flag: --release,<java><maven><spring-boot><intellij-idea><maven-compiler-plugin>
50661648,2018-06-02 22:21:14,62,Spring Boot fails to run maven-surefire-plugin ClassNotFoundException org.apache.maven.surefire.booter.ForkedBooter,<spring><maven><spring-boot><maven-surefire-plugin>
56212981,2019-05-20 00:06:14,61,"Eclipse showing ""Maven Configuration Problem: Unknown""",<java><maven><spring-boot>
30207842,2015-05-13 07:03:50,60,Add external library .jar to Spring boot .jar internal /lib,<maven><spring-boot>
40089443,2016-10-17 14:46:07,60,How to add a dependency to a Spring Boot Jar in another project?,<maven><spring-boot><jar><spring-boot-maven-plugin>
50486314,2018-05-23 10:41:59,57,How to Solve 403 Error in Spring Boot Post Request,<spring><rest><maven><spring-boot>
42390860,2017-02-22 12:01:00,55,Configure active profile in SpringBoot via Maven,<java><spring><maven><spring-boot>
52980064,2018-10-25 01:28:25,53,Maven + Spring Boot: Found multiple occurrences of org.json.JSONObject on the class path:,<java><spring><maven><spring-boot><build-dependencies>
36217949,2016-03-25 10:12:27,51,Maven spring boot run debug with arguments,<java><spring><maven><spring-boot><maven-3>
23432651,2014-05-02 16:19:40,49,Terminating mvn spring-boot:run doesn't stop tomcat,<java><spring><maven><tomcat><spring-boot>
28273543,2015-02-02 08:20:32,48,What are `spring-boot-starter` jars?,<java><spring><maven><spring-boot>
37708145,2016-06-08 16:33:42,48,Spring boot - disable Liquibase at startup,<java><spring><maven><spring-boot><liquibase>
35417086,2016-02-15 19:00:55,45,Maven Resource Filtering with Spring Boot: Could not resolve placeholder,<java><spring><maven><spring-boot>
42840576,2017-03-16 17:09:53,45,SpringBoot: Unable to find a single main class from the following candidates,<spring><maven><spring-mvc><spring-boot><spring-profiles>
23138494,2014-04-17 16:21:26,44,Spring boot application.properties maven multi-module projects,<spring><hibernate><maven><spring-boot>
50104172,2018-04-30 16:01:53,42,Could not find or load main class org.apache.maven.wrapper.MavenWrapperMain,<java><spring><maven><spring-boot><travis-ci>
30237768,2015-05-14 12:46:15,41,Run Spring-boot's main using IDE,<java><spring><maven><spring-boot>
39567434,2016-09-19 07:19:22,41,Spring Boot application gives 404 when deployed to Tomcat but works with embedded server,<java><maven><spring-mvc><tomcat><spring-boot>
30782453,2015-06-11 13:38:23,39,Maven - Suppress Overriding managed version warning in Eclipse,<eclipse><maven><spring-boot><m2eclipse>
37462550,2016-05-26 13:39:28,38,Flyway repair with Spring Boot,<java><spring><maven><spring-boot><flyway>
54467287,2019-01-31 18:44:54,38,How to specify Java 11 version in Spring/Spring Boot pom.xml?,<java><spring><maven><spring-boot><pom.xml>
36703499,2016-04-18 20:16:55,37,Using Maven properties in application.properties in Spring Boot,<spring><maven><spring-boot><spring-boot-maven-plugin>
32125025,2015-08-20 17:50:22,36,Maven and Spring Boot - non resolvable parent pom - repo.spring.io (Unknown host),<spring><maven><spring-boot><pom.xml><parent-pom>
